date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-11-23,2020,11,23,port543,Karachi,Pakistan,PAK,1,1,1,0,1,3,4,0,0,2302,0,0,2302,2302,958,30670,1575,0,45044,33204,78249,2994001
2020-11-24,2020,11,24,port543,Karachi,Pakistan,PAK,1,2,0,0,1,3,4,8322,40576,0,0,1054,48899,49953,0,10815,0,0,0,10815,10815,2994002
2020-11-25,2020,11,25,port543,Karachi,Pakistan,PAK,3,0,0,0,0,3,3,15276,0,0,0,0,15276,15276,1512,0,0,0,0,1512,1512,2994003
2020-11-26,2020,11,26,port543,Karachi,Pakistan,PAK,2,1,0,0,0,3,3,33068,18616,0,0,0,51684,51684,0,0,0,0,0,0,0,2994004
2020-11-27,2020,11,27,port543,Karachi,Pakistan,PAK,3,1,0,0,0,4,4,29015,19317,0,0,0,48332,48332,1579,10815,0,0,0,12395,12395,2994005
2020-11-28,2020,11,28,port543,Karachi,Pakistan,PAK,1,1,0,0,0,2,2,4467,11651,0,0,0,16119,16119,0,0,0,0,0,0,0,2994006
2020-11-29,2020,11,29,port543,Karachi,Pakistan,PAK,1,0,1,0,1,2,3,0,0,0,0,11667,0,11667,5859,0,151,0,0,6010,6010,2994007
2020-11-30,2020,11,30,port543,Karachi,Pakistan,PAK,3,2,1,0,0,6,6,15986,44180,2302,0,0,62469,62469,3159,10815,1575,0,0,15550,15550,2994008
2020-12-01,2020,12,1,port543,Karachi,Pakistan,PAK,1,1,1,0,1,3,4,6925,19317,0,0,75360,26242,101602,1579,10815,4232,0,0,16627,16627,2994009
2020-12-02,2020,12,2,port543,Karachi,Pakistan,PAK,4,2,0,0,0,6,6,33725,75603,0,0,0,109328,109328,6004,10815,0,0,0,16820,16820,2994010
2020-12-03,2020,12,3,port543,Karachi,Pakistan,PAK,1,0,0,1,1,2,3,6925,0,0,879,0,7804,7804,1579,0,0,75,1759,1655,3415,2994011
2020-12-04,2020,12,4,port543,Karachi,Pakistan,PAK,2,2,0,0,0,4,4,6925,32268,0,0,0,39193,39193,17319,10815,0,0,0,28135,28135,2994013
2020-12-05,2020,12,5,port543,Karachi,Pakistan,PAK,1,2,0,0,1,3,4,0,85332,0,0,0,85332,85332,970,10815,0,0,0,11786,11786,2994014
2020-12-06,2020,12,6,port543,Karachi,Pakistan,PAK,1,2,0,0,1,3,4,4740,40668,0,0,1748,45408,47156,0,28429,0,0,0,28429,28429,2994015
2020-12-07,2020,12,7,port543,Karachi,Pakistan,PAK,3,1,0,0,2,4,6,12410,19317,0,0,32028,31727,63755,10463,10815,0,0,0,21279,21279,2994016
2020-12-08,2020,12,8,port543,Karachi,Pakistan,PAK,1,0,0,0,0,1,1,8479,0,0,0,0,8479,8479,0,0,0,0,0,0,0,2994017
2020-12-09,2020,12,9,port543,Karachi,Pakistan,PAK,1,4,0,0,0,5,5,8392,140127,0,0,0,148519,148519,0,24974,0,0,0,24974,24974,2994018
2020-12-10,2020,12,10,port543,Karachi,Pakistan,PAK,4,0,0,0,1,4,5,24828,0,0,0,43695,24828,68523,11564,0,0,0,9015,11564,20580,2994019
2020-12-11,2020,12,11,port543,Karachi,Pakistan,PAK,3,3,0,0,0,6,6,2470,19317,0,0,0,21787,21787,7819,84646,0,0,0,92465,92465,2994020
2019-10-20,2019,10,20,port543,Karachi,Pakistan,PAK,0,0,1,1,1,2,3,0,0,1396,0,43695,1396,45091,0,0,0,0,9015,0,9015,2994021
2020-12-12,2020,12,12,port543,Karachi,Pakistan,PAK,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9220,0,9220,2994022
2020-12-13,2020,12,13,port543,Karachi,Pakistan,PAK,3,2,0,0,1,5,6,12597,46397,0,0,0,58994,58994,0,714,0,0,75360,714,76075,2994023
2020-12-14,2020,12,14,port543,Karachi,Pakistan,PAK,1,1,0,0,0,2,2,5235,52571,0,0,0,57806,57806,0,0,0,0,0,0,0,2994024
2020-12-15,2020,12,15,port543,Karachi,Pakistan,PAK,3,1,0,0,0,4,4,20775,19317,0,0,0,40092,40092,4738,10815,0,0,0,15554,15554,2994025
2020-12-16,2020,12,16,port543,Karachi,Pakistan,PAK,0,3,0,0,0,3,3,0,66830,0,0,0,66830,66830,0,17050,0,0,0,17050,17050,2994026
2020-12-17,2020,12,17,port543,Karachi,Pakistan,PAK,1,2,0,0,1,3,4,12594,19317,0,0,3920,31911,35832,0,10815,0,0,0,10815,10815,2994027
2020-12-18,2020,12,18,port543,Karachi,Pakistan,PAK,0,1,0,0,1,1,2,0,51156,0,0,34012,51156,85169,0,0,0,0,0,0,0,2994028
2021-12-28,2021,12,28,port543,Karachi,Pakistan,PAK,3,2,0,1,2,6,8,23837,0,0,879,22385,24716,47102,3159,99016,0,75,0,102251,102251,2994029
2020-12-19,2020,12,19,port543,Karachi,Pakistan,PAK,1,1,0,0,1,2,3,6925,16591,0,0,43695,23516,67211,1579,0,0,0,9015,1579,10595,2994030
2020-12-20,2020,12,20,port543,Karachi,Pakistan,PAK,2,2,0,0,2,4,6,18759,19317,0,0,80873,38076,118950,0,10815,0,0,6891,10815,17707,2994031
2020-12-21,2020,12,21,port543,Karachi,Pakistan,PAK,5,0,1,0,0,6,6,34994,0,4486,0,0,39481,39481,1579,0,0,0,0,1579,1579,2994032
2020-12-22,2020,12,22,port543,Karachi,Pakistan,PAK,3,1,0,0,0,4,4,29770,19317,0,0,0,49087,49087,3159,10815,0,0,0,13975,13975,2994033
2020-12-23,2020,12,23,port543,Karachi,Pakistan,PAK,0,3,0,0,0,3,3,0,94575,0,0,0,94575,94575,0,21631,0,0,0,21631,21631,2994034
2020-12-24,2020,12,24,port543,Karachi,Pakistan,PAK,2,0,0,1,1,3,4,1675,0,0,0,19839,1675,21514,4376,0,0,0,12547,4376,16924,2994035
2020-12-25,2020,12,25,port543,Karachi,Pakistan,PAK,1,1,0,0,0,2,2,0,0,0,0,0,0,0,581,0,0,0,0,581,581,2994036
2020-12-26,2020,12,26,port543,Karachi,Pakistan,PAK,1,4,0,0,0,5,5,6925,57951,0,0,0,64876,64876,1579,87190,0,0,0,88770,88770,2994037
2020-12-27,2020,12,27,port543,Karachi,Pakistan,PAK,1,1,0,0,1,2,3,6925,54308,0,0,75360,61233,136593,1579,0,0,0,0,1579,1579,2994038
2020-12-28,2020,12,28,port543,Karachi,Pakistan,PAK,2,2,0,0,0,4,4,8222,38634,0,0,0,46856,46856,1579,21631,0,0,0,23211,23211,2994039
2020-12-29,2020,12,29,port543,Karachi,Pakistan,PAK,4,0,0,0,1,4,5,20775,0,0,0,43695,20775,64470,9161,0,0,0,9015,9161,18177,2994040
2020-12-30,2020,12,30,port543,Karachi,Pakistan,PAK,2,1,0,0,1,3,4,8877,0,0,0,5996,8877,14873,1579,31013,0,0,6891,32593,39484,2994041
2020-12-31,2020,12,31,port543,Karachi,Pakistan,PAK,4,4,0,0,2,8,10,36031,135057,0,0,75766,171088,246854,1579,25011,0,0,18574,26590,45165,2994042
2021-01-01,2021,1,1,port543,Karachi,Pakistan,PAK,2,0,0,0,0,2,2,14584,0,0,0,0,14584,14584,0,0,0,0,0,0,0,2994043
2021-01-02,2021,1,2,port543,Karachi,Pakistan,PAK,1,1,0,0,1,2,3,6925,19317,0,0,9764,26242,36007,1579,10815,0,0,0,12395,12395,2994044
2021-01-03,2021,1,3,port543,Karachi,Pakistan,PAK,4,3,0,0,2,7,9,32306,107547,0,0,64246,139854,204101,4996,21631,0,0,6891,26627,33519,2994045
2021-01-04,2021,1,4,port543,Karachi,Pakistan,PAK,1,0,1,0,2,2,4,12254,0,571,0,0,12826,12826,0,0,0,0,0,0,0,2994046
2021-01-05,2021,1,5,port543,Karachi,Pakistan,PAK,2,0,0,0,1,2,3,11270,0,0,0,2008,11270,13278,0,0,0,0,0,0,0,2994047
2021-01-06,2021,1,6,port543,Karachi,Pakistan,PAK,1,1,1,0,0,3,3,9213,59892,399,0,0,69504,69504,0,0,0,0,0,0,0,2994048
