date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-12-14,2019,12,14,port548,Kashima-Ibaraki,Japan,JPN,1,2,9,0,11,12,23,1747,29191,5100,0,7735,36039,43775,227,7336,5931,0,17442,13495,30937,1366001
2019-12-15,2019,12,15,port548,Kashima-Ibaraki,Japan,JPN,0,1,9,0,9,10,19,0,29191,6801,0,5106,35992,41098,0,5006,7908,0,16156,12915,29071,1366002
2019-12-16,2019,12,16,port548,Kashima-Ibaraki,Japan,JPN,0,5,8,1,10,14,24,0,176391,5100,68,7020,181560,188580,0,9395,5931,393,15994,15720,31714,1366003
2019-12-17,2019,12,17,port548,Kashima-Ibaraki,Japan,JPN,1,2,9,0,8,12,20,1747,20427,11507,0,6295,33682,39977,227,407,5081,0,9037,5715,14753,1366004
2019-12-18,2019,12,18,port548,Kashima-Ibaraki,Japan,JPN,0,2,10,0,10,12,22,0,62826,13383,0,10852,76210,87062,0,0,6478,0,18266,6478,24745,1366005
2019-12-19,2019,12,19,port548,Kashima-Ibaraki,Japan,JPN,0,3,10,0,7,13,20,0,74877,7891,0,6126,82768,88894,0,24748,5931,0,11726,30679,42405,1366006
2019-12-20,2019,12,20,port548,Kashima-Ibaraki,Japan,JPN,0,3,9,0,12,12,24,0,29191,5951,0,5634,35142,40776,0,5006,14976,0,11803,19983,31787,1366007
2019-12-21,2019,12,21,port548,Kashima-Ibaraki,Japan,JPN,0,3,11,0,12,14,26,0,22619,7651,0,4994,30270,35264,0,1671,9520,0,12565,11192,23757,1366008
2019-12-22,2019,12,22,port548,Kashima-Ibaraki,Japan,JPN,0,2,9,0,9,11,20,0,29191,5951,0,13724,35142,48866,0,8183,6919,0,12254,15103,27358,1366009
2019-12-23,2019,12,23,port548,Kashima-Ibaraki,Japan,JPN,0,5,8,1,13,14,27,0,145957,5951,68,8587,151976,160564,0,25033,6919,393,13156,32347,45504,1366010
