"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2021-09-07","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","2","0","1","0","0","3","3","1083","0","0","0","0","1083","1083","1880","0","157","0","0","2038","2038"
"2021-09-08","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","3","0","2","0","0","5","5","4830","0","0","0","0","4830","4830","1394","0","0","0","0","1394","1394"
"2021-09-09","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","3","1","0","0","0","4","4","4830","5213","0","0","0","10043","10043","1394","3964","0","0","0","5359","5359"
"2021-09-10","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","2","0","0","0","0","2","2","3411","0","0","0","0","3411","3411","464","0","0","0","0","464","464"
"2021-09-11","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","1","1","2","0","0","4","4","3766","0","1101","0","0","4868","4868","0","0","513","0","0","513","513"
"2021-09-12","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","1","0","0","0","0","1","1","1820","0","0","0","0","1820","1820","0","0","0","0","0","0","0"
"2021-09-13","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","4","0","1","0","0","5","5","6440","0","0","0","0","6440","6440","1859","0","0","0","0","1859","1859"
"2021-09-14","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","0","0","2","0","0","2","2","0","0","1101","0","0","1101","1101","0","0","513","0","0","513","513"
"2021-09-15","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","2","0","0","0","0","2","2","1072","0","0","0","0","1072","1072","1175","0","0","0","0","1175","1175"
"2021-09-16","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","1","0","0","0","0","1","1","2461","0","0","0","0","2461","2461","0","0","0","0","0","0","0"
"2021-09-17","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","1","0","2","0","0","3","3","1223","0","2203","0","0","3427","3427","366","0","1026","0","0","1392","1392"
"2021-09-18","port207","Kolkata (Syama Prasad Mookerje Port)","India","IND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
