date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-01-03,2020,1,3,port599,Krishnapatnam Port,India,IND,1,1,1,0,0,3,3,1507,56316,649,0,0,58473,58473,0,0,4273,0,0,4273,4273,3202001
2020-01-04,2020,1,4,port599,Krishnapatnam Port,India,IND,1,1,2,0,1,4,5,0,58805,2596,0,11522,61401,72923,7519,5281,4273,0,374,17074,17448,3202002
2020-01-05,2020,1,5,port599,Krishnapatnam Port,India,IND,0,2,0,0,1,2,3,0,108267,0,0,11051,108267,119318,0,0,0,0,0,0,0,3202003
2020-01-06,2020,1,6,port599,Krishnapatnam Port,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202004
2020-01-07,2020,1,7,port599,Krishnapatnam Port,India,IND,1,1,0,0,0,2,2,0,58805,0,0,0,58805,58805,654,5281,0,0,0,5935,5935,3202005
2020-01-08,2020,1,8,port599,Krishnapatnam Port,India,IND,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,25314,0,0,0,25314,25314,3202006
2020-01-09,2020,1,9,port599,Krishnapatnam Port,India,IND,0,3,0,0,0,3,3,0,176415,0,0,0,176415,176415,0,15843,0,0,0,15843,15843,3202007
2020-01-10,2020,1,10,port599,Krishnapatnam Port,India,IND,1,0,0,0,1,1,2,1462,0,0,0,705,1462,2168,3697,0,0,0,0,3697,3697,3202008
2020-01-11,2020,1,11,port599,Krishnapatnam Port,India,IND,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5945,0,0,0,0,5945,5945,3202009
2020-01-12,2020,1,12,port599,Krishnapatnam Port,India,IND,0,2,0,0,0,2,2,0,113057,0,0,0,113057,113057,0,5281,0,0,0,5281,5281,3202010
2020-01-13,2020,1,13,port599,Krishnapatnam Port,India,IND,0,1,2,0,0,3,3,0,58805,649,0,0,59454,59454,0,5281,7794,0,0,13075,13075,3202011
2020-01-14,2020,1,14,port599,Krishnapatnam Port,India,IND,0,2,1,0,0,3,3,0,117610,0,0,0,117610,117610,0,10562,10804,0,0,21366,21366,3202012
2020-01-15,2020,1,15,port599,Krishnapatnam Port,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202013
2020-01-16,2020,1,16,port599,Krishnapatnam Port,India,IND,0,2,1,0,0,3,3,0,117610,649,0,0,118260,118260,0,10562,4273,0,0,14836,14836,3202014
2020-01-17,2020,1,17,port599,Krishnapatnam Port,India,IND,0,3,0,0,0,3,3,0,87232,0,0,0,87232,87232,0,1695,0,0,0,1695,1695,3202015
2020-01-18,2020,1,18,port599,Krishnapatnam Port,India,IND,1,1,1,0,0,3,3,0,24281,649,0,0,24930,24930,8941,0,4273,0,0,13214,13214,3202016
2020-01-19,2020,1,19,port599,Krishnapatnam Port,India,IND,0,3,0,0,0,3,3,0,117610,0,0,0,117610,117610,0,83868,0,0,0,83868,83868,3202017
2020-01-20,2020,1,20,port599,Krishnapatnam Port,India,IND,0,3,0,0,0,3,3,0,118674,0,0,0,118674,118674,0,5281,0,0,0,5281,5281,3202018
2020-01-21,2020,1,21,port599,Krishnapatnam Port,India,IND,0,1,1,0,1,2,3,0,58805,0,0,0,58805,58805,0,5281,2728,0,0,8009,8009,3202019
2020-01-22,2020,1,22,port599,Krishnapatnam Port,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3202020
2020-01-23,2020,1,23,port599,Krishnapatnam Port,India,IND,1,1,0,0,0,2,2,2377,2719,0,0,0,5097,5097,0,0,0,0,0,0,0,3202021
2020-01-24,2020,1,24,port599,Krishnapatnam Port,India,IND,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5187,0,0,5187,5187,3202022
2020-01-25,2020,1,25,port599,Krishnapatnam Port,India,IND,2,3,0,0,0,5,5,0,96152,0,0,0,96152,96152,13678,21539,0,0,0,35218,35218,3202023
2020-01-26,2020,1,26,port599,Krishnapatnam Port,India,IND,2,1,0,0,0,3,3,7036,58805,0,0,0,65841,65841,9713,5281,0,0,0,14995,14995,3202024
2020-01-27,2020,1,27,port599,Krishnapatnam Port,India,IND,2,1,0,0,0,3,3,1462,0,0,0,0,1462,1462,5202,8692,0,0,0,13894,13894,3202025
2020-01-28,2020,1,28,port599,Krishnapatnam Port,India,IND,0,1,0,0,0,1,1,0,73188,0,0,0,73188,73188,0,0,0,0,0,0,0,3202026
2020-01-29,2020,1,29,port599,Krishnapatnam Port,India,IND,0,2,1,0,0,3,3,0,68603,0,0,0,68603,68603,0,2088,0,0,0,2088,2088,3202027
2020-01-30,2020,1,30,port599,Krishnapatnam Port,India,IND,1,1,2,0,0,4,4,1462,0,1790,0,0,3252,3252,3697,25314,3809,0,0,32822,32822,3202028
2020-01-31,2020,1,31,port599,Krishnapatnam Port,India,IND,2,0,0,0,0,2,2,0,0,0,0,0,0,0,9913,0,0,0,0,9913,9913,3202029
2020-02-01,2020,2,1,port599,Krishnapatnam Port,India,IND,1,0,1,0,0,2,2,1462,0,649,0,0,2112,2112,3697,0,4273,0,0,7971,7971,3202030
