date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-02-12,2020,2,12,port603,Kuantan,Malaysia,MYS,1,1,1,0,0,3,3,4066,0,0,0,0,4066,4066,0,20165,6454,0,0,26619,26619,3536001
2020-02-13,2020,2,13,port603,Kuantan,Malaysia,MYS,1,1,0,0,1,2,3,0,0,0,0,5258,0,5258,511,44646,0,0,552,45157,45710,3536002
2020-02-14,2020,2,14,port603,Kuantan,Malaysia,MYS,1,1,0,0,3,2,5,0,0,0,0,18636,0,18636,1086,29039,0,0,5727,30125,35853,3536003
2020-02-15,2020,2,15,port603,Kuantan,Malaysia,MYS,1,0,2,0,4,3,7,1507,0,2018,0,10902,3525,14428,0,0,2530,0,10641,2530,13172,3536004
2020-02-16,2020,2,16,port603,Kuantan,Malaysia,MYS,1,0,0,0,2,1,3,0,0,0,0,6420,0,6420,1915,0,0,0,0,1915,1915,3536005
2020-02-17,2020,2,17,port603,Kuantan,Malaysia,MYS,1,0,0,0,2,1,3,2430,0,0,0,2055,2430,4485,2445,0,0,0,3358,2445,5804,3536006
2020-02-18,2020,2,18,port603,Kuantan,Malaysia,MYS,0,3,2,0,0,5,5,0,1807,236,0,0,2043,2043,0,68730,18683,0,0,87413,87413,3536007
2020-02-19,2020,2,19,port603,Kuantan,Malaysia,MYS,2,1,1,0,3,4,7,3813,0,737,0,28599,4551,33151,7037,27636,0,0,3911,34674,38585,3536008
2020-02-20,2020,2,20,port603,Kuantan,Malaysia,MYS,2,0,1,0,1,3,4,0,0,0,0,5258,0,5258,1628,0,4005,0,552,5633,6186,3536009
2020-02-21,2020,2,21,port603,Kuantan,Malaysia,MYS,0,4,1,0,3,5,8,0,81830,152,0,11602,81982,93584,0,80551,0,0,5821,80551,86373,3536010
2020-02-22,2020,2,22,port603,Kuantan,Malaysia,MYS,2,1,1,0,4,4,8,1387,0,0,0,8918,1387,10306,6111,9550,889,0,12452,16551,29003,3536011
2020-02-23,2020,2,23,port603,Kuantan,Malaysia,MYS,2,0,3,0,3,5,8,554,0,1258,0,5024,1813,6837,3916,0,8000,0,0,11917,11917,3536012
2020-02-24,2020,2,24,port603,Kuantan,Malaysia,MYS,0,1,0,0,3,1,4,0,45508,0,0,7121,45508,52629,0,0,0,0,4856,0,4856,3536013
2020-02-25,2020,2,25,port603,Kuantan,Malaysia,MYS,1,3,0,0,2,4,6,0,36477,0,0,11864,36477,48341,8347,63812,0,0,2323,72160,74484,3536014
2020-02-26,2020,2,26,port603,Kuantan,Malaysia,MYS,2,2,2,0,0,6,6,3986,0,0,0,0,3986,3986,1596,47195,8160,0,0,56952,56952,3536015
2020-02-27,2020,2,27,port603,Kuantan,Malaysia,MYS,0,2,0,0,2,2,4,0,21906,0,0,5258,21906,27164,0,41971,0,0,6610,41971,48581,3536016
2020-02-28,2020,2,28,port603,Kuantan,Malaysia,MYS,1,0,1,0,5,2,7,0,0,0,0,35893,0,35893,762,0,7133,0,6456,7896,14352,3536017
