date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-05-25,2019,5,25,port361,Fremantle,Australia,AUS,1,0,0,2,2,3,5,4421,0,0,0,113157,4421,117579,3357,0,0,0,38031,3357,41388,2314404
2019-05-26,2019,5,26,port361,Fremantle,Australia,AUS,1,3,0,1,0,5,5,0,0,0,1786,0,1786,1786,9833,48570,0,0,0,58403,58403,2314409
2019-05-27,2019,5,27,port361,Fremantle,Australia,AUS,1,1,2,0,1,4,5,7233,46021,10393,0,0,63648,63648,0,0,1046,0,0,1046,1046,2314410
2019-05-28,2019,5,28,port361,Fremantle,Australia,AUS,1,1,0,1,0,3,3,11512,0,0,1024,0,12536,12536,0,10713,0,0,0,10713,10713,2314411
2019-05-29,2019,5,29,port361,Fremantle,Australia,AUS,2,2,0,1,1,5,6,7908,0,0,1157,6954,9066,16020,0,48508,0,0,0,48508,48508,2314412
2019-05-30,2019,5,30,port361,Fremantle,Australia,AUS,2,0,0,1,2,3,5,0,0,0,0,83068,0,83068,19243,0,0,0,0,19243,19243,2314413
2019-05-31,2019,5,31,port361,Fremantle,Australia,AUS,2,0,0,0,1,2,3,0,0,0,0,0,0,0,16565,0,0,0,39666,16565,56231,2314414
2019-06-01,2019,6,1,port361,Fremantle,Australia,AUS,1,2,0,0,0,3,3,0,55750,0,0,0,55750,55750,6062,35148,0,0,0,41211,41211,2314415
2019-06-02,2019,6,2,port361,Fremantle,Australia,AUS,1,0,0,1,1,2,3,0,0,0,0,84812,0,84812,6714,0,0,0,0,6714,6714,2314416
2019-06-03,2019,6,3,port361,Fremantle,Australia,AUS,2,2,0,1,0,5,5,8720,0,0,3068,0,11789,11789,4379,59034,0,0,0,63414,63414,2314417
2019-06-04,2019,6,4,port361,Fremantle,Australia,AUS,2,1,0,1,2,4,6,21226,6430,0,0,18261,27656,45918,0,21661,0,0,3897,21661,25559,2314418
2019-06-05,2019,6,5,port361,Fremantle,Australia,AUS,1,0,0,0,0,1,1,3743,0,0,0,0,3743,3743,0,0,0,0,0,0,0,2314419
2019-06-06,2019,6,6,port361,Fremantle,Australia,AUS,3,1,0,0,2,4,6,0,6430,0,0,0,6430,6430,26053,21661,0,0,14324,47715,62039,2314420
2019-06-07,2019,6,7,port361,Fremantle,Australia,AUS,1,1,2,0,1,4,5,0,0,1246,0,15975,1246,17221,6413,0,15182,0,0,21596,21596,2314421
2019-06-08,2019,6,8,port361,Fremantle,Australia,AUS,1,1,1,1,0,4,4,0,9250,0,1376,0,10626,10626,1881,0,13994,41,0,15916,15916,2314422
2019-06-09,2019,6,9,port361,Fremantle,Australia,AUS,0,2,0,1,1,3,4,0,0,0,1376,0,1376,1376,0,30930,0,41,8448,30971,39420,2314423
