date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-01-21,2021,1,21,port1197,Laem Chabang,Thailand,THA,15,1,3,1,1,20,21,114885,36386,0,0,0,151271,151271,176472,0,0,0,0,176472,176472,1956401
2022-02-25,2022,2,25,port1197,Laem Chabang,Thailand,THA,13,1,1,2,4,17,21,56775,2836,0,0,771,59611,60383,165040,17320,0,3150,1613,185510,187123,1956402
2022-02-26,2022,2,26,port1197,Laem Chabang,Thailand,THA,11,1,3,3,1,18,19,39843,0,2182,0,0,42026,42026,188606,50111,1777,4598,0,245094,245094,1956405
2021-01-22,2021,1,22,port1197,Laem Chabang,Thailand,THA,10,0,0,0,3,10,13,72973,0,0,0,0,72973,72973,156971,0,0,0,0,156971,156971,1956406
2019-12-18,2019,12,18,port1197,Laem Chabang,Thailand,THA,11,1,1,1,2,14,16,11305,0,0,105,385,11410,11796,92381,0,0,911,806,93292,94099,1956408
2022-02-27,2022,2,27,port1197,Laem Chabang,Thailand,THA,13,0,0,4,1,17,18,73310,0,0,0,385,73310,73696,79387,0,0,919,806,80307,81113,1956409
2021-01-23,2021,1,23,port1197,Laem Chabang,Thailand,THA,8,0,2,0,1,10,11,49945,0,888,0,0,50834,50834,78700,0,180,0,0,78881,78881,1956410
2021-01-24,2021,1,24,port1197,Laem Chabang,Thailand,THA,18,0,1,3,0,22,22,124235,0,0,1829,0,126064,126064,186482,0,0,1482,0,187964,187964,1956411
2021-01-25,2021,1,25,port1197,Laem Chabang,Thailand,THA,8,0,2,1,0,11,11,69022,0,0,0,0,69022,69022,182878,0,306,0,0,183185,183185,1956412
2021-01-26,2021,1,26,port1197,Laem Chabang,Thailand,THA,11,0,0,2,0,13,13,35998,0,0,0,0,35998,35998,160786,0,0,3790,0,164576,164576,1956413
2021-01-27,2021,1,27,port1197,Laem Chabang,Thailand,THA,12,0,0,3,0,15,15,133985,0,0,0,0,133985,133985,157025,0,0,3578,0,160603,160603,1956414
2021-01-28,2021,1,28,port1197,Laem Chabang,Thailand,THA,3,1,0,5,1,9,10,33820,0,0,343,0,34163,34163,80367,18547,0,12544,0,111458,111458,1956415
2021-01-29,2021,1,29,port1197,Laem Chabang,Thailand,THA,5,0,2,1,0,8,8,83368,0,4108,0,0,87476,87476,14107,0,888,2429,0,17425,17425,1956416
2021-01-30,2021,1,30,port1197,Laem Chabang,Thailand,THA,6,1,0,3,1,10,11,70208,8298,0,0,2353,78507,80861,98357,0,0,3522,2924,101880,104805,1956417
2021-01-31,2021,1,31,port1197,Laem Chabang,Thailand,THA,16,0,1,1,0,18,18,178870,0,0,85,0,178955,178955,215128,0,0,1482,0,216610,216610,1956418
2021-02-01,2021,2,1,port1197,Laem Chabang,Thailand,THA,10,0,1,0,0,11,11,71941,0,1091,0,0,73032,73032,114171,0,888,0,0,115060,115060,1956419
2021-02-02,2021,2,2,port1197,Laem Chabang,Thailand,THA,14,0,2,1,0,17,17,155368,0,1091,873,0,157333,157333,117259,0,888,0,0,118148,118148,1956420
2021-02-03,2021,2,3,port1197,Laem Chabang,Thailand,THA,7,1,1,3,1,12,13,124045,0,261,85,0,124392,124392,35499,20407,0,6316,0,62224,62224,1956421
2021-02-04,2021,2,4,port1197,Laem Chabang,Thailand,THA,10,0,1,0,0,11,11,169525,0,1091,0,0,170616,170616,48271,0,888,0,0,49160,49160,1956422
2021-02-05,2021,2,5,port1197,Laem Chabang,Thailand,THA,8,0,1,1,0,10,10,45302,0,1347,85,0,46736,46736,106730,0,0,1482,0,108212,108212,1956423
2021-02-06,2021,2,6,port1197,Laem Chabang,Thailand,THA,15,1,3,0,0,19,19,147947,2836,1649,0,0,152433,152433,184281,17320,1378,0,0,202980,202980,1956424
2021-02-07,2021,2,7,port1197,Laem Chabang,Thailand,THA,16,0,2,2,0,20,20,191995,0,4293,85,0,196374,196374,98993,0,0,3454,0,102448,102448,1956425
2021-02-08,2021,2,8,port1197,Laem Chabang,Thailand,THA,10,0,0,1,0,11,11,126227,0,0,0,0,126227,126227,197806,0,0,3126,0,200933,200933,1956426
2021-02-09,2021,2,9,port1197,Laem Chabang,Thailand,THA,13,1,2,1,0,17,17,250858,0,1091,85,0,252035,252035,142936,41406,2068,1482,0,187893,187893,1956427
