date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port629,Lake Charles,United States,USA,0,2,0,0,2,2,4,0,0,0,0,9176,0,9176,0,31709,0,0,17502,31709,49212,2286430
2019-01-02,2019,1,2,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,72664,0,72664,0,0,0,0,0,0,0,2286431
2019-01-03,2019,1,3,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,75826,0,75826,0,0,0,0,25057,0,25057,2286432
2019-01-04,2019,1,4,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,53766,0,53766,2286433
2019-01-05,2019,1,5,port629,Lake Charles,United States,USA,0,0,0,0,4,0,4,0,0,0,0,41502,0,41502,0,0,0,0,55057,0,55057,2286434
2019-01-06,2019,1,6,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,74800,0,74800,2286435
2019-01-07,2019,1,7,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,41502,0,41502,0,0,0,0,5617,0,5617,2286436
2019-01-08,2019,1,8,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,36383,0,36383,0,0,0,0,0,0,0,2286437
2019-01-09,2019,1,9,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,41575,0,41575,2286438
2019-01-10,2019,1,10,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4250,0,4250,2286439
2019-01-11,2019,1,11,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36329,0,36329,2286440
2019-01-12,2019,1,12,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,73860,0,73860,0,0,0,0,36081,0,36081,2286441
2019-01-13,2019,1,13,port629,Lake Charles,United States,USA,0,1,0,0,2,1,3,0,56130,0,0,0,56130,56130,0,0,0,0,73989,0,73989,2286442
2019-01-14,2019,1,14,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286443
2019-01-15,2019,1,15,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,744,0,744,0,0,0,0,20538,0,20538,2286444
2019-01-16,2019,1,16,port629,Lake Charles,United States,USA,0,1,0,0,2,1,3,0,55832,0,0,744,55832,56577,0,0,0,0,57186,0,57186,2286445
2019-01-17,2019,1,17,port629,Lake Charles,United States,USA,0,0,1,0,1,1,2,0,0,0,0,71679,0,71679,0,0,11522,0,0,11522,11522,2286446
2019-01-18,2019,1,18,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,3973,0,3973,0,0,0,0,50386,0,50386,2286447
2019-01-19,2019,1,19,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,84197,0,84197,0,0,0,0,0,0,0,2286448
2019-01-20,2019,1,20,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,744,0,744,0,0,0,0,49209,0,49209,2286449
2019-01-21,2019,1,21,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,31,0,31,0,0,0,0,6233,0,6233,2286450
2019-01-22,2019,1,22,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,76013,0,76013,0,0,0,0,36188,0,36188,2286451
2019-01-23,2019,1,23,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,43566,0,43566,0,0,0,0,42031,0,42031,2286452
2019-01-24,2019,1,24,port629,Lake Charles,United States,USA,0,1,0,0,1,1,2,0,12491,0,0,0,12491,12491,0,0,0,0,3235,0,3235,2286453
2019-01-25,2019,1,25,port629,Lake Charles,United States,USA,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,3709,0,42468,3709,46178,2286454
2019-01-26,2019,1,26,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,22888,0,22888,0,0,0,0,56654,0,56654,2286455
2019-01-27,2019,1,27,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,71082,0,71082,0,0,0,0,0,0,0,2286456
2019-01-28,2019,1,28,port629,Lake Charles,United States,USA,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,85462,0,85462,2286457
2019-01-29,2019,1,29,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,32866,0,32866,0,0,0,0,38867,0,38867,2286458
2019-01-30,2019,1,30,port629,Lake Charles,United States,USA,0,0,1,0,2,1,3,0,0,1098,0,0,1098,1098,0,0,3872,0,11490,3872,15362,2286459
2019-01-31,2019,1,31,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286460
2019-02-01,2019,2,1,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,744,0,744,0,0,0,0,65237,0,65237,2286461
2019-02-02,2019,2,2,port629,Lake Charles,United States,USA,1,2,0,0,0,3,3,553,2862,0,0,0,3415,3415,3025,24762,0,0,0,27787,27787,2286462
2019-02-03,2019,2,3,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286463
2019-02-04,2019,2,4,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,307,0,307,2286464
2019-02-05,2019,2,5,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286465
2019-02-06,2019,2,6,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286466
2019-02-07,2019,2,7,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,41757,0,41757,2286467
2019-02-08,2019,2,8,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,80177,0,80177,0,0,0,0,1047,0,1047,2286468
2019-02-09,2019,2,9,port629,Lake Charles,United States,USA,0,1,1,0,5,2,7,0,0,1098,0,36960,1098,38058,0,19726,3872,0,63302,23599,86901,2286469
2019-02-10,2019,2,10,port629,Lake Charles,United States,USA,0,1,0,0,3,1,4,0,0,0,0,1489,0,1489,0,7556,0,0,54860,7556,62416,2286470
2019-02-11,2019,2,11,port629,Lake Charles,United States,USA,0,0,0,0,4,0,4,0,0,0,0,41502,0,41502,0,0,0,0,42893,0,42893,2286471
2019-02-12,2019,2,12,port629,Lake Charles,United States,USA,0,1,0,1,1,2,3,0,0,0,0,77487,0,77487,0,17913,0,0,0,17913,17913,2286472
2019-02-13,2019,2,13,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286473
2019-02-14,2019,2,14,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11490,0,11490,2286474
2019-02-15,2019,2,15,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,68848,0,68848,0,0,0,0,36938,0,36938,2286475
2019-02-16,2019,2,16,port629,Lake Charles,United States,USA,0,1,0,0,0,1,1,0,11486,0,0,0,11486,11486,0,12448,0,0,0,12448,12448,2286476
2019-02-17,2019,2,17,port629,Lake Charles,United States,USA,0,2,0,0,2,2,4,0,56130,0,0,0,56130,56130,0,26637,0,0,76894,26637,103532,2286477
2019-02-18,2019,2,18,port629,Lake Charles,United States,USA,0,1,0,0,1,1,2,0,3643,0,0,744,3643,4388,0,0,0,0,20538,0,20538,2286478
2019-02-19,2019,2,19,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,75081,0,75081,0,0,0,0,0,0,0,2286479
2019-02-20,2019,2,20,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,744,0,744,0,0,0,0,58270,0,58270,2286480
2019-02-21,2019,2,21,port629,Lake Charles,United States,USA,0,1,1,0,0,2,2,0,17648,0,0,0,17648,17648,0,0,8789,0,0,8789,8789,2286481
2019-02-22,2019,2,22,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286482
2019-02-23,2019,2,23,port629,Lake Charles,United States,USA,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,3923,0,73715,3923,77638,2286483
2019-02-24,2019,2,24,port629,Lake Charles,United States,USA,0,1,0,0,3,1,4,0,11486,0,0,0,11486,11486,0,12448,0,0,40659,12448,53108,2286484
2019-02-25,2019,2,25,port629,Lake Charles,United States,USA,0,3,0,0,2,3,5,0,77182,0,0,78175,77182,155358,0,28798,0,0,20538,28798,49337,2286485
2019-02-26,2019,2,26,port629,Lake Charles,United States,USA,0,1,2,0,4,3,7,0,0,0,0,744,0,744,0,0,12623,0,56688,12623,69311,2286486
2019-02-27,2019,2,27,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,34382,0,34382,2286487
2019-02-28,2019,2,28,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286488
2019-03-01,2019,3,1,port629,Lake Charles,United States,USA,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,48570,0,0,48723,48570,97293,2286489
2019-03-02,2019,3,2,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286490
2019-03-03,2019,3,3,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286491
2019-03-04,2019,3,4,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,74744,0,74744,0,0,0,0,0,0,0,2286492
2019-03-05,2019,3,5,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,76709,0,76709,2286493
2019-03-06,2019,3,6,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,38903,0,38903,2286494
2019-03-07,2019,3,7,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32805,0,32805,2286495
2019-03-08,2019,3,8,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,84131,0,84131,2286496
2019-03-09,2019,3,9,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286497
2019-03-10,2019,3,10,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286498
2019-03-11,2019,3,11,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286499
2019-03-12,2019,3,12,port629,Lake Charles,United States,USA,0,1,0,0,3,1,4,0,0,0,0,744,0,744,0,8043,0,0,88470,8043,96514,2286500
2019-03-13,2019,3,13,port629,Lake Charles,United States,USA,0,2,0,0,0,2,2,0,31841,0,0,0,31841,31841,0,27771,0,0,0,27771,27771,2286501
2019-03-14,2019,3,14,port629,Lake Charles,United States,USA,0,0,0,0,4,0,4,0,0,0,0,77198,0,77198,0,0,0,0,85967,0,85967,2286502
2019-03-15,2019,3,15,port629,Lake Charles,United States,USA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,40442,0,40442,2286503
2019-03-16,2019,3,16,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,76923,0,76923,0,0,0,0,0,0,0,2286504
2019-03-17,2019,3,17,port629,Lake Charles,United States,USA,0,1,0,0,2,1,3,0,0,0,0,0,0,0,0,50181,0,0,56294,50181,106476,2286505
2019-03-18,2019,3,18,port629,Lake Charles,United States,USA,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,3509,0,25398,3509,28908,2286506
2019-03-19,2019,3,19,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286507
2019-03-20,2019,3,20,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,30005,0,30005,0,0,0,0,33052,0,33052,2286508
2019-03-21,2019,3,21,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,38768,0,38768,2286509
2019-03-22,2019,3,22,port629,Lake Charles,United States,USA,0,0,1,0,1,1,2,0,0,0,0,77128,0,77128,0,0,3358,0,0,3358,3358,2286510
2019-03-23,2019,3,23,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,72783,0,72783,0,0,0,0,50930,0,50930,2286511
2019-03-24,2019,3,24,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11435,0,11435,2286512
2019-03-25,2019,3,25,port629,Lake Charles,United States,USA,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,42009,0,0,80419,42009,122428,2286513
2019-03-26,2019,3,26,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,38827,0,38827,2286514
2019-03-27,2019,3,27,port629,Lake Charles,United States,USA,1,0,0,0,1,1,2,0,0,0,0,13889,0,13889,3039,0,0,0,0,3039,3039,2286515
2019-03-28,2019,3,28,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,39929,0,39929,0,0,0,0,0,0,0,2286516
2019-03-29,2019,3,29,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14577,0,14577,2286544
2019-03-30,2019,3,30,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,39320,0,39320,2286545
2019-03-31,2019,3,31,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,42990,0,42990,2286546
2019-04-01,2019,4,1,port629,Lake Charles,United States,USA,0,0,0,0,3,0,3,0,0,0,0,1059,0,1059,0,0,0,0,18255,0,18255,2286547
2019-04-02,2019,4,2,port629,Lake Charles,United States,USA,0,0,1,0,3,1,4,0,0,0,0,0,0,0,0,0,4652,0,78435,4652,83088,2286548
2019-04-03,2019,4,3,port629,Lake Charles,United States,USA,0,0,0,0,4,0,4,0,0,0,0,76360,0,76360,0,0,0,0,81395,0,81395,2286549
2019-04-04,2019,4,4,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286550
2019-04-05,2019,4,5,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286551
2019-04-06,2019,4,6,port629,Lake Charles,United States,USA,0,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,6455,0,18394,6455,24849,2286552
2019-04-07,2019,4,7,port629,Lake Charles,United States,USA,0,1,0,0,4,1,5,0,11486,0,0,78893,11486,90380,0,12448,0,0,102752,12448,115200,2286553
2019-04-08,2019,4,8,port629,Lake Charles,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286554
2019-04-09,2019,4,9,port629,Lake Charles,United States,USA,0,1,0,0,1,1,2,0,11486,0,0,0,11486,11486,0,12448,0,0,36556,12448,49005,2286555
2019-04-10,2019,4,10,port629,Lake Charles,United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,26402,0,26402,2286556
2019-04-11,2019,4,11,port629,Lake Charles,United States,USA,0,0,1,0,1,1,2,0,0,1098,0,813,1098,1911,0,0,3872,0,0,3872,3872,2286557
