date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port644,Lianyungang,China,CHN,2,3,0,1,1,6,7,0,307165,0,0,0,307165,307165,15152,957,0,2394,402,18504,18906,1797122
2019-01-02,2019,1,2,port644,Lianyungang,China,CHN,5,4,1,0,3,10,13,9351,220020,2157,0,2371,231528,233900,9652,27891,0,0,4379,37543,41922,1797123
2019-01-03,2019,1,3,port644,Lianyungang,China,CHN,6,5,2,0,1,13,14,2383,276664,5894,0,1001,284941,285942,35372,7698,1626,0,0,44696,44696,1797124
2019-01-04,2019,1,4,port644,Lianyungang,China,CHN,8,2,4,0,4,14,18,4782,183977,1851,0,7056,190612,197668,16462,0,6921,0,631,23383,24015,1797125
2019-01-05,2019,1,5,port644,Lianyungang,China,CHN,2,6,4,1,2,13,15,29888,380866,11506,0,7624,422261,429885,2693,25303,1626,1378,0,31001,31001,1797126
2019-01-06,2019,1,6,port644,Lianyungang,China,CHN,1,1,1,1,0,4,4,0,62182,0,0,0,62182,62182,0,0,2499,1102,0,3602,3602,1797127
2019-01-07,2019,1,7,port644,Lianyungang,China,CHN,0,7,5,1,0,13,13,0,117152,9195,195,0,126544,126544,0,88150,2882,0,0,91032,91032,1797128
2019-01-08,2019,1,8,port644,Lianyungang,China,CHN,4,3,2,0,3,9,12,3338,77385,7708,0,1240,88432,89672,10772,30519,0,0,2303,41292,43595,1797129
2019-01-09,2019,1,9,port644,Lianyungang,China,CHN,5,6,2,0,1,13,14,8013,305579,1851,0,3507,315444,318951,5386,27619,1626,0,343,34632,34975,1797130
2019-01-10,2019,1,10,port644,Lianyungang,China,CHN,5,4,4,0,2,13,15,834,154471,9261,0,6165,164567,170732,9586,0,5311,0,489,14897,15386,1797131
2019-01-11,2019,1,11,port644,Lianyungang,China,CHN,5,3,3,2,2,13,15,5770,425317,419,0,4446,431508,435955,11479,0,2438,2417,86,16334,16421,1797132
2019-01-12,2019,1,12,port644,Lianyungang,China,CHN,5,5,4,0,3,14,17,2503,270689,17085,0,25547,290279,315826,20821,23440,1819,0,2300,46082,48382,1797133
2019-01-13,2019,1,13,port644,Lianyungang,China,CHN,2,4,4,0,1,10,11,0,205797,12246,0,1396,218043,219439,2420,64465,2922,0,0,69809,69809,1797134
2019-01-14,2019,1,14,port644,Lianyungang,China,CHN,2,1,4,0,0,7,7,0,0,10106,0,0,10106,10106,3713,1254,24280,0,0,29247,29247,1797135
2019-01-15,2019,1,15,port644,Lianyungang,China,CHN,0,1,0,0,0,1,1,0,203483,0,0,0,203483,203483,0,0,0,0,0,0,0,1797136
2019-01-16,2019,1,16,port644,Lianyungang,China,CHN,5,8,4,1,4,18,22,2899,234882,4244,4170,13333,246197,259530,14282,137520,6777,0,3181,158581,161763,1797137
2019-01-17,2019,1,17,port644,Lianyungang,China,CHN,4,5,7,0,4,16,20,834,63688,6907,0,11990,71430,83420,8671,77434,8225,0,2838,94331,97169,1797138
2019-01-18,2019,1,18,port644,Lianyungang,China,CHN,4,6,1,0,1,11,12,834,356947,1013,0,718,358795,359513,8637,23590,0,0,0,32227,32227,1797139
2019-01-19,2019,1,19,port644,Lianyungang,China,CHN,3,3,1,1,2,8,10,1669,26941,1851,0,262,30462,30725,5386,18889,1626,194,0,26097,26097,1797140
2019-01-20,2019,1,20,port644,Lianyungang,China,CHN,5,2,2,0,3,9,12,2225,12621,0,0,2964,14847,17811,25003,21762,8778,0,5996,55545,61541,1797141
2019-01-21,2019,1,21,port644,Lianyungang,China,CHN,3,2,1,0,2,6,8,834,83465,0,0,140,84300,84440,3453,0,3453,0,0,6906,6906,1797142
2019-01-22,2019,1,22,port644,Lianyungang,China,CHN,4,4,0,0,3,8,11,1157,198560,0,0,2262,199718,201980,3822,4815,0,0,2679,8638,11317,1797143
2019-01-23,2019,1,23,port644,Lianyungang,China,CHN,2,2,1,0,4,5,9,834,37475,0,0,11834,38310,50144,4766,2187,1444,0,343,8398,8741,1797144
2019-01-24,2019,1,24,port644,Lianyungang,China,CHN,5,4,4,0,2,13,15,0,136230,1412,0,7154,137643,144797,7955,0,2541,0,343,10496,10840,1797145
2019-01-25,2019,1,25,port644,Lianyungang,China,CHN,5,2,1,0,1,8,9,5151,82406,0,0,2964,87557,90521,12027,8430,1281,0,2838,21738,24577,1797146
2019-01-26,2019,1,26,port644,Lianyungang,China,CHN,5,4,2,0,3,11,14,12331,209687,9541,0,17112,231560,248673,10101,54685,0,0,3861,64787,68649,1797147
2019-01-27,2019,1,27,port644,Lianyungang,China,CHN,5,2,2,0,1,9,10,6195,0,1249,0,2213,7445,9658,8820,44545,1733,0,0,55099,55099,1797148
2019-01-28,2019,1,28,port644,Lianyungang,China,CHN,0,6,1,1,2,8,10,0,334390,1851,0,4616,336242,340858,0,23219,1626,1017,0,25863,25863,1797149
2019-01-29,2019,1,29,port644,Lianyungang,China,CHN,5,4,2,0,2,11,13,834,216366,8132,0,12953,225333,238287,35448,13544,7587,0,0,56579,56579,1797150
2019-01-30,2019,1,30,port644,Lianyungang,China,CHN,2,4,1,0,0,7,7,1669,245753,0,0,0,247423,247423,5386,30978,1649,0,0,38014,38014,1797151
2019-01-31,2019,1,31,port644,Lianyungang,China,CHN,5,7,1,0,0,13,13,3038,450625,1851,0,0,455515,455515,6016,3100,1626,0,0,10743,10743,1797152
2019-02-01,2019,2,1,port644,Lianyungang,China,CHN,7,4,6,0,2,17,19,1464,181433,6102,0,3507,189000,192507,24054,0,9307,0,343,33362,33705,1797153
2019-02-02,2019,2,2,port644,Lianyungang,China,CHN,3,1,3,0,3,7,10,834,72058,5557,0,16823,78451,95274,6104,0,1220,0,292,7324,7616,1797154
2019-02-03,2019,2,3,port644,Lianyungang,China,CHN,1,5,2,1,0,9,9,0,133948,0,0,0,133948,133948,767,555,2766,1025,0,5114,5114,1797155
2019-02-04,2019,2,4,port644,Lianyungang,China,CHN,5,2,1,1,2,9,11,834,72551,1851,0,2302,75237,77540,9401,625,1626,0,3559,11653,15212,1797156
2019-02-05,2019,2,5,port644,Lianyungang,China,CHN,0,2,0,0,2,2,4,0,54313,0,0,3282,54313,57596,0,0,0,0,292,0,292,1797157
2019-02-06,2019,2,6,port644,Lianyungang,China,CHN,3,4,0,1,0,8,8,3226,101099,0,0,0,104325,104325,2749,35098,0,1481,0,39328,39328,1797158
2019-02-07,2019,2,7,port644,Lianyungang,China,CHN,0,2,0,0,0,2,2,0,225645,0,0,0,225645,225645,0,0,0,0,0,0,0,1797159
2019-02-08,2019,2,8,port644,Lianyungang,China,CHN,3,4,2,0,1,9,10,4114,213429,22284,0,2061,239829,241890,2693,16375,0,0,960,19068,20028,1797160
2019-02-09,2019,2,9,port644,Lianyungang,China,CHN,7,3,0,0,3,10,13,29271,180756,0,0,4125,210028,214154,9256,2459,0,0,400,11716,12116,1797161
2019-02-10,2019,2,10,port644,Lianyungang,China,CHN,0,1,1,0,2,2,4,0,23559,0,0,5209,23559,28768,0,0,0,0,0,0,0,1797162
2019-02-11,2019,2,11,port644,Lianyungang,China,CHN,0,3,1,0,1,4,5,0,172906,0,0,1252,172906,174159,0,45582,3613,0,0,49196,49196,1797163
2019-02-12,2019,2,12,port644,Lianyungang,China,CHN,1,4,3,1,2,9,11,2497,305178,3518,0,3507,311194,314701,0,49412,2559,0,343,51972,52315,1797164
2019-02-13,2019,2,13,port644,Lianyungang,China,CHN,2,4,1,0,3,7,10,0,119054,0,0,6069,119054,125123,3231,41334,9108,0,2838,53674,56513,1797165
2019-02-14,2019,2,14,port644,Lianyungang,China,CHN,3,10,3,0,4,16,20,5273,902730,35501,0,5865,943505,949370,3073,0,0,0,86,3073,3160,1797166
2019-02-15,2019,2,15,port644,Lianyungang,China,CHN,5,1,5,0,0,11,11,3661,44014,2932,0,0,50608,50608,11137,7698,8400,0,0,27236,27236,1797167
2019-02-16,2019,2,16,port644,Lianyungang,China,CHN,2,4,1,0,2,7,9,834,262484,0,0,555,263318,263874,11567,0,11950,0,15234,23517,38752,1797168
2019-02-17,2019,2,17,port644,Lianyungang,China,CHN,0,6,3,0,2,9,11,0,597774,8683,0,2061,606457,608519,0,0,419,0,1221,419,1641,1797169
