date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port2267,Longview,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572070
2019-01-02,2019,1,2,port2267,Longview,United States,USA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,33615,0,0,0,33615,33615,4572071
2019-01-03,2019,1,3,port2267,Longview,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572072
2019-01-04,2019,1,4,port2267,Longview,United States,USA,0,1,0,0,0,1,1,0,694,0,0,0,694,694,0,0,0,0,0,0,0,4572073
2019-01-05,2019,1,5,port2267,Longview,United States,USA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572074
2019-01-06,2019,1,6,port2267,Longview,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572075
2019-01-07,2019,1,7,port2267,Longview,United States,USA,0,0,0,1,0,1,1,0,0,0,2334,0,2334,2334,0,0,0,63,0,63,63,4572076
2019-01-08,2019,1,8,port2267,Longview,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572077
2019-01-09,2019,1,9,port2267,Longview,United States,USA,0,1,0,0,1,1,2,0,0,0,0,1041,0,1041,0,66705,0,0,0,66705,66705,4572078
2019-01-10,2019,1,10,port2267,Longview,United States,USA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7777,0,0,0,7777,7777,4572079
2019-01-11,2019,1,11,port2267,Longview,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4572080
