date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-04-17,2019,4,17,port694,Manila,Philippines,PHL,11,0,8,0,8,19,27,40288,0,857,0,0,41146,41146,0,0,2118,0,0,2118,2118,606001
2021-06-25,2021,6,25,port694,Manila,Philippines,PHL,10,0,7,0,7,17,24,25761,0,0,0,0,25761,25761,0,0,3549,0,1522,3549,5071,606002
2021-06-26,2021,6,26,port694,Manila,Philippines,PHL,9,8,7,0,7,24,31,43252,137082,9939,0,3404,190274,193679,581,25578,1414,0,3540,27574,31114,606003
2019-04-18,2019,4,18,port694,Manila,Philippines,PHL,4,0,9,1,5,14,19,37155,0,8695,0,0,45851,45851,0,0,0,0,0,0,0,606004
2020-05-21,2020,5,21,port694,Manila,Philippines,PHL,3,2,4,0,1,9,10,21383,11573,0,0,0,32956,32956,0,15442,0,0,0,15442,15442,606005
2021-06-27,2021,6,27,port694,Manila,Philippines,PHL,6,3,8,1,5,18,23,19062,16473,5954,1510,578,43001,43580,0,8302,2710,0,451,11012,11464,606006
2019-04-19,2019,4,19,port694,Manila,Philippines,PHL,9,0,12,1,3,22,25,10241,0,2823,0,0,13064,13064,0,0,0,0,0,0,0,606007
2020-05-22,2020,5,22,port694,Manila,Philippines,PHL,9,1,8,0,1,18,19,41808,0,1382,0,0,43190,43190,334,0,0,0,0,334,334,606008
2021-06-28,2021,6,28,port694,Manila,Philippines,PHL,7,3,8,0,4,18,22,36002,27859,0,0,0,63862,63862,0,0,0,0,0,0,0,606009
2019-04-20,2019,4,20,port694,Manila,Philippines,PHL,11,1,8,1,3,21,24,53201,0,6653,907,0,60762,60762,755,0,0,0,0,755,755,606010
2020-05-23,2020,5,23,port694,Manila,Philippines,PHL,4,0,6,1,1,11,12,11531,0,0,0,0,11531,11531,0,0,0,0,0,0,0,606011
