"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2020-02-24","port702","Maputo","Mozambique","MOZ","0","1","0","0","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-02-25","port702","Maputo","Mozambique","MOZ","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-03-30","port702","Maputo","Mozambique","MOZ","0","2","1","0","1","3","4","0","0","1121","0","1563","1121","2684","0","12804","0","0","0","12804","12804"
"2019-01-20","port702","Maputo","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-02-26","port702","Maputo","Mozambique","MOZ","1","1","1","0","0","3","3","4270","29677","6902","0","0","40850","40850","0","0","0","0","0","0","0"
"2021-03-31","port702","Maputo","Mozambique","MOZ","0","1","0","0","1","1","2","0","0","0","0","1883","0","1883","0","90172","0","0","0","90172","90172"
"2019-01-21","port702","Maputo","Mozambique","MOZ","0","3","0","0","2","3","5","0","0","0","0","13856","0","13856","0","169202","0","0","731","169202","169933"
"2020-02-27","port702","Maputo","Mozambique","MOZ","0","1","1","0","1","2","3","0","0","0","0","40034","0","40034","0","3289","2829","0","0","6118","6118"
"2021-04-01","port702","Maputo","Mozambique","MOZ","1","1","0","0","2","2","4","0","31033","0","0","36322","31033","67356","8978","0","0","0","0","8978","8978"
"2019-01-22","port702","Maputo","Mozambique","MOZ","1","1","0","0","0","2","2","2429","0","0","0","0","2429","2429","0","25616","0","0","0","25616","25616"
"2020-02-28","port702","Maputo","Mozambique","MOZ","1","0","0","0","1","1","2","273","0","0","0","0","273","273","0","0","0","0","490","0","490"
"2021-04-02","port702","Maputo","Mozambique","MOZ","1","1","1","0","0","3","3","1368","0","0","0","0","1368","1368","0","31619","0","0","0","31619","31619"
"2019-01-23","port702","Maputo","Mozambique","MOZ","0","2","0","1","1","3","4","0","0","0","0","1133","0","1133","0","51444","0","0","0","51444","51444"
"2020-02-29","port702","Maputo","Mozambique","MOZ","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","69448","0","0","0","69448","69448"
"2021-04-03","port702","Maputo","Mozambique","MOZ","0","2","1","1","0","4","4","0","0","1252","761","0","2014","2014","0","69452","0","224","0","69677","69677"
"2020-03-01","port702","Maputo","Mozambique","MOZ","1","2","0","0","0","3","3","0","52516","0","0","0","52516","52516","9104","20999","0","0","0","30104","30104"
"2021-04-04","port702","Maputo","Mozambique","MOZ","1","3","0","0","0","4","4","10445","18511","0","0","0","28956","28956","0","74260","0","0","0","74260","74260"
"2019-01-24","port702","Maputo","Mozambique","MOZ","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","55074","0","0","0","55074","55074"
"2019-01-25","port702","Maputo","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2021-04-05","port702","Maputo","Mozambique","MOZ","1","1","0","0","0","2","2","2236","32750","0","0","0","34987","34987","0","0","0","0","0","0","0"
"2020-03-02","port702","Maputo","Mozambique","MOZ","0","0","0","1","1","1","2","0","0","0","1165","5325","1165","6490","0","0","0","0","0","0","0"
"2019-01-26","port702","Maputo","Mozambique","MOZ","0","0","0","0","2","0","2","0","0","0","0","324","0","324","0","0","0","0","29930","0","29930"
"2021-04-06","port702","Maputo","Mozambique","MOZ","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","118509","0","0","0","118509","118509"
"2020-03-03","port702","Maputo","Mozambique","MOZ","0","2","0","0","2","2","4","0","0","0","0","13856","0","13856","0","15154","0","0","731","15154","15886"
"2019-01-27","port702","Maputo","Mozambique","MOZ","0","2","0","0","0","2","2","0","4108","0","0","0","4108","4108","0","101948","0","0","0","101948","101948"
"2021-04-07","port702","Maputo","Mozambique","MOZ","0","1","1","0","0","2","2","0","50580","3569","0","0","54150","54150","0","0","0","0","0","0","0"
"2020-03-04","port702","Maputo","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-01-28","port702","Maputo","Mozambique","MOZ","2","3","0","0","0","5","5","2936","48799","0","0","0","51736","51736","817","136556","0","0","0","137373","137373"
"2021-04-08","port702","Maputo","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-03-05","port702","Maputo","Mozambique","MOZ","1","1","0","0","1","2","3","6245","0","0","0","19308","6245","25554","0","17577","0","0","2553","17577","20130"
"2019-01-29","port702","Maputo","Mozambique","MOZ","0","0","1","0","1","1","2","0","0","0","0","0","0","0","0","0","4625","0","0","4625","4625"
"2021-04-09","port702","Maputo","Mozambique","MOZ","1","1","0","0","0","2","2","1572","0","0","0","0","1572","1572","0","3786","0","0","0","3786","3786"
"2020-03-06","port702","Maputo","Mozambique","MOZ","1","0","0","0","0","1","1","0","0","0","0","0","0","0","2260","0","0","0","0","2260","2260"
"2019-01-30","port702","Maputo","Mozambique","MOZ","1","1","0","0","0","2","2","2641","0","0","0","0","2641","2641","817","43317","0","0","0","44134","44134"
"2021-04-10","port702","Maputo","Mozambique","MOZ","1","2","0","0","0","3","3","845","0","0","0","0","845","845","1346","117232","0","0","0","118579","118579"
"2020-03-07","port702","Maputo","Mozambique","MOZ","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","89566","0","0","0","89566","89566"
"2019-01-31","port702","Maputo","Mozambique","MOZ","1","0","0","1","1","2","3","479","0","0","0","27696","479","28176","0","0","0","0","0","0","0"
