date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-10-15,2020,10,15,port752,Mizushima,Japan,JPN,1,4,13,0,26,18,44,613,39826,7152,0,10700,47591,58292,0,4751,9271,0,23828,14023,37851,1416041
2019-09-11,2019,9,11,port752,Mizushima,Japan,JPN,4,1,7,3,19,15,34,1257,244,1418,0,13624,2919,16544,504,0,2689,0,16344,3194,19538,1416095
2019-01-01,2019,1,1,port752,Mizushima,Japan,JPN,1,1,1,0,5,3,8,566,22811,2140,0,890,25518,26408,0,0,0,0,2314,0,2314,1416151
2019-01-02,2019,1,2,port752,Mizushima,Japan,JPN,2,2,4,0,12,8,20,672,0,2902,0,6079,3574,9653,252,0,0,0,13733,252,13985,1416152
2019-01-03,2019,1,3,port752,Mizushima,Japan,JPN,2,1,6,0,19,9,28,1049,0,1385,0,7679,2434,10114,504,0,3586,0,135077,4090,139168,1416153
2019-01-04,2019,1,4,port752,Mizushima,Japan,JPN,0,5,6,0,25,11,36,0,101557,1038,0,198246,102596,300842,0,35866,8078,0,19712,43945,63657,1416154
2019-01-05,2019,1,5,port752,Mizushima,Japan,JPN,1,3,8,0,19,12,31,524,171272,1731,0,5582,173529,179111,252,0,4966,0,13223,5218,18442,1416155
2019-01-06,2019,1,6,port752,Mizushima,Japan,JPN,1,0,5,3,17,9,26,1648,0,692,0,43175,2340,45516,0,0,1793,55,9694,1848,11543,1416156
2019-01-07,2019,1,7,port752,Mizushima,Japan,JPN,3,5,16,1,20,25,45,1622,3236,4218,0,10136,9077,19213,504,27458,12475,0,11729,40438,52168,1416157
2019-01-08,2019,1,8,port752,Mizushima,Japan,JPN,0,2,9,2,29,13,42,0,38204,2423,0,191015,40628,231643,0,6837,6275,0,15818,13113,28931,1416158
2019-01-09,2019,1,9,port752,Mizushima,Japan,JPN,2,4,9,2,19,17,36,1980,180243,1385,26,7951,183635,191586,252,0,6296,404,16870,6954,23824,1416159
2019-01-10,2019,1,10,port752,Mizushima,Japan,JPN,1,5,15,1,24,22,46,2291,66846,3809,0,185055,72947,258002,0,4356,9947,0,12849,14304,27154,1416160
2019-01-11,2019,1,11,port752,Mizushima,Japan,JPN,6,1,9,1,16,17,33,3856,42500,1385,0,181373,47742,229115,1161,0,10368,0,11321,11530,22851,1416161
2019-01-12,2019,1,12,port752,Mizushima,Japan,JPN,0,4,9,1,25,14,39,0,136144,1676,0,20524,137820,158345,0,14187,6094,0,20862,20281,41143,1416162
2019-01-13,2019,1,13,port752,Mizushima,Japan,JPN,1,3,9,0,20,13,33,612,33642,2077,0,16366,36332,52698,0,210,8711,0,16900,8922,25823,1416163
2019-01-14,2019,1,14,port752,Mizushima,Japan,JPN,2,2,13,1,32,18,50,524,31919,7566,0,12926,40011,52938,1050,0,4482,0,45882,5533,51415,1416164
2019-01-15,2019,1,15,port752,Mizushima,Japan,JPN,2,4,13,3,20,22,42,3042,2138,8509,0,234683,13690,248373,0,42097,8043,0,16822,50141,66963,1416165
2019-01-16,2019,1,16,port752,Mizushima,Japan,JPN,1,3,11,2,21,17,38,1499,26734,4639,26,8925,32898,41823,0,394,3760,404,11022,4560,15582,1416166
2019-01-17,2019,1,17,port752,Mizushima,Japan,JPN,1,4,11,2,22,18,40,524,695,2423,0,12976,3644,16621,252,2914,12623,0,21812,15790,37603,1416167
2019-01-18,2019,1,18,port752,Mizushima,Japan,JPN,3,2,11,0,25,16,41,2406,2147,2077,0,36242,6632,42874,252,0,10371,0,53430,10623,64054,1416168
2019-01-19,2019,1,19,port752,Mizushima,Japan,JPN,0,5,9,1,15,15,30,0,24572,1578,0,6479,26151,32630,0,50788,3339,0,13896,54128,68024,1416169
2019-01-20,2019,1,20,port752,Mizushima,Japan,JPN,1,4,4,1,25,10,35,610,174265,346,0,174417,175222,349639,0,1765,6550,0,18626,8315,26941,1416170
2019-01-21,2019,1,21,port752,Mizushima,Japan,JPN,3,1,11,2,24,17,41,1049,0,3919,0,15739,4969,20709,695,0,8534,0,15121,9229,24350,1416171
2019-01-22,2019,1,22,port752,Mizushima,Japan,JPN,0,3,14,2,23,19,42,0,1329,2715,26,16733,4071,20805,0,1376,6650,460,56429,8487,64917,1416172
2019-01-23,2019,1,23,port752,Mizushima,Japan,JPN,3,5,9,2,17,19,36,428,161299,2555,0,11977,164283,176261,2031,394,3938,0,51729,6365,58094,1416173
2019-01-24,2019,1,24,port752,Mizushima,Japan,JPN,1,3,8,1,23,13,36,524,143361,1385,0,13717,145271,158989,252,2709,11252,0,16762,14214,30976,1416174
2019-01-25,2019,1,25,port752,Mizushima,Japan,JPN,2,2,4,3,29,11,40,1131,39066,0,0,111723,40198,151922,252,4146,158,0,42029,4556,46586,1416175
2019-01-26,2019,1,26,port752,Mizushima,Japan,JPN,0,3,10,1,16,14,30,0,50673,1759,0,9835,52433,62268,0,0,4482,0,16117,4482,20599,1416176
2019-01-27,2019,1,27,port752,Mizushima,Japan,JPN,1,1,6,1,20,9,29,0,38204,3920,0,15942,42124,58066,1648,4146,3586,0,15139,9380,24520,1416177
2019-01-28,2019,1,28,port752,Mizushima,Japan,JPN,3,2,11,2,15,18,33,2385,26971,3512,0,4302,32869,37172,504,0,6438,0,5353,6943,12297,1416178
2019-01-29,2019,1,29,port752,Mizushima,Japan,JPN,0,2,2,2,4,6,10,0,4832,255,0,1661,5088,6750,0,941,2132,0,1608,3073,4682,1416179
2019-01-30,2019,1,30,port752,Mizushima,Japan,JPN,3,2,5,1,10,11,21,1049,0,2265,0,105317,3315,108633,746,1209,2885,0,5156,4841,9997,1416180
2019-01-31,2019,1,31,port752,Mizushima,Japan,JPN,0,2,4,2,8,8,16,0,4453,692,0,1685,5145,6831,0,0,3469,0,12065,3469,15534,1416181
2019-02-01,2019,2,1,port752,Mizushima,Japan,JPN,1,5,11,1,13,18,31,1617,84439,8948,0,60379,95005,155385,0,2459,7608,55,7522,10123,17645,1416182
2019-02-02,2019,2,2,port752,Mizushima,Japan,JPN,0,2,5,1,9,8,17,0,13482,346,0,4318,13828,18147,0,181,1226,0,11740,1408,13148,1416183
2019-02-03,2019,2,3,port752,Mizushima,Japan,JPN,2,2,3,1,7,8,15,576,0,1038,0,2582,1615,4197,0,0,2689,0,8268,2689,10958,1416184
2019-02-04,2019,2,4,port752,Mizushima,Japan,JPN,2,3,13,2,17,20,37,524,21554,2865,0,3894,24945,28839,453,9895,13875,0,128133,24224,152357,1416185
2019-02-05,2019,2,5,port752,Mizushima,Japan,JPN,1,4,8,3,14,16,30,2771,77104,2377,0,215146,82253,297399,0,8502,5524,0,14267,14027,28294,1416186
2019-02-06,2019,2,6,port752,Mizushima,Japan,JPN,2,2,5,3,7,12,19,975,470,1385,0,2107,2830,4937,2240,594,3586,0,9772,6421,16193,1416187
2019-02-07,2019,2,7,port752,Mizushima,Japan,JPN,2,1,2,0,9,5,14,2304,0,0,0,5124,2304,7429,0,0,1477,0,7266,1477,8743,1416188
2019-02-08,2019,2,8,port752,Mizushima,Japan,JPN,2,2,5,1,10,10,20,524,199478,1731,0,2049,201734,203783,454,0,4482,0,17384,4937,22321,1416189
2019-02-09,2019,2,9,port752,Mizushima,Japan,JPN,0,2,4,2,9,8,17,0,150729,692,0,1712,151421,153134,0,0,1793,0,3849,1793,5642,1416190
2019-02-10,2019,2,10,port752,Mizushima,Japan,JPN,2,2,3,2,12,9,21,1925,150555,692,0,989,153174,154163,0,8815,2147,55,7092,11018,18110,1416191
2019-02-11,2019,2,11,port752,Mizushima,Japan,JPN,1,9,16,1,23,27,50,1306,148688,4495,0,48814,154489,203304,0,4567,16665,0,18640,21233,39874,1416192
2019-02-12,2019,2,12,port752,Mizushima,Japan,JPN,1,3,4,1,12,9,21,524,41840,346,0,2187,42711,44898,252,4356,4450,0,6926,9059,15986,1416193
2019-02-13,2019,2,13,port752,Mizushima,Japan,JPN,2,3,5,1,13,11,24,858,9959,1385,0,195118,12202,207321,1458,362,3586,0,11109,5407,16516,1416194
2019-02-14,2019,2,14,port752,Mizushima,Japan,JPN,0,5,7,1,29,13,42,0,174481,1385,0,12088,175866,187954,0,6837,3814,0,65204,10652,75856,1416195
2019-02-15,2019,2,15,port752,Mizushima,Japan,JPN,2,7,3,1,8,13,21,1049,55322,3559,0,37746,59931,97677,504,4988,1793,0,8743,7285,16029,1416196
2019-02-16,2019,2,16,port752,Mizushima,Japan,JPN,0,1,15,2,10,18,28,0,156734,4549,0,4740,161283,166024,0,0,7014,0,9445,7014,16460,1416197
2019-02-17,2019,2,17,port752,Mizushima,Japan,JPN,2,1,9,0,12,12,24,4130,78769,6096,0,9733,88996,98729,0,0,3586,0,48193,3586,51779,1416198
2019-02-18,2019,2,18,port752,Mizushima,Japan,JPN,3,3,9,3,29,18,47,524,38204,2519,0,16186,41248,57435,855,4878,3586,55,19705,9375,29081,1416199
2019-02-19,2019,2,19,port752,Mizushima,Japan,JPN,1,4,9,1,17,15,32,524,50266,1385,0,6198,52176,58374,252,33713,3737,0,15889,37703,53593,1416200
2019-02-20,2019,2,20,port752,Mizushima,Japan,JPN,3,5,8,2,19,18,37,1781,695,2469,0,8240,4946,13186,504,2914,12105,0,12429,15525,27954,1416201
2019-02-21,2019,2,21,port752,Mizushima,Japan,JPN,0,5,8,1,26,14,40,0,210376,1731,26,7307,212134,219441,0,4356,7489,404,12023,12251,24274,1416202
2019-02-22,2019,2,22,port752,Mizushima,Japan,JPN,4,2,14,3,28,23,51,3248,37442,3578,0,157869,44269,202139,504,0,13100,0,22666,13605,36272,1416203
2019-02-23,2019,2,23,port752,Mizushima,Japan,JPN,0,4,7,1,18,12,30,0,25791,2423,0,40473,28215,68688,0,12636,6275,0,11337,18912,30250,1416204
2019-02-24,2019,2,24,port752,Mizushima,Japan,JPN,2,3,10,1,20,16,36,524,2239,2770,0,11723,5534,17257,2493,0,10027,0,12123,12520,24643,1416205
2019-02-25,2019,2,25,port752,Mizushima,Japan,JPN,2,3,15,1,23,21,44,2165,492,4539,0,15054,7196,22251,252,0,8789,0,13061,9042,22103,1416206
2019-02-26,2019,2,26,port752,Mizushima,Japan,JPN,0,2,14,1,24,17,41,0,666,3116,0,9456,3783,13239,0,2691,8068,0,24037,10760,34798,1416207
2019-02-27,2019,2,27,port752,Mizushima,Japan,JPN,1,9,14,2,29,26,55,834,214965,3688,0,46995,219488,266483,0,210,7172,0,26588,7382,33971,1416208
