date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-11-19,2020,11,19,port754,Mobile,United States,USA,0,3,2,1,0,6,6,0,88100,2194,429,0,90724,90724,0,32423,4447,651,0,37522,37522,2404001
2020-11-20,2020,11,20,port754,Mobile,United States,USA,0,2,1,0,1,3,4,0,55421,0,0,18688,55421,74110,0,82405,4368,0,0,86773,86773,2404002
2020-11-21,2020,11,21,port754,Mobile,United States,USA,2,1,0,0,0,3,3,2566,0,0,0,0,2566,2566,8270,59178,0,0,0,67449,67449,2404003
2020-11-22,2020,11,22,port754,Mobile,United States,USA,0,1,0,0,1,1,2,0,46384,0,0,68579,46384,114963,0,0,0,0,0,0,0,2404004
2020-11-23,2020,11,23,port754,Mobile,United States,USA,0,2,2,0,0,4,4,0,0,0,0,0,0,0,0,120235,7228,0,0,127463,127463,2404005
2020-11-24,2020,11,24,port754,Mobile,United States,USA,0,3,1,0,0,4,4,0,146202,0,0,0,146202,146202,0,25303,3765,0,0,29068,29068,2404006
2020-11-25,2020,11,25,port754,Mobile,United States,USA,3,0,0,0,1,3,4,21966,0,0,0,53663,21966,75630,3373,0,0,0,0,3373,3373,2404007
2020-11-26,2020,11,26,port754,Mobile,United States,USA,0,0,0,0,1,0,1,0,0,0,0,8013,0,8013,0,0,0,0,0,0,0,2404008
2020-11-27,2020,11,27,port754,Mobile,United States,USA,1,1,1,0,0,3,3,8547,4894,0,0,0,13441,13441,0,0,4377,0,0,4377,4377,2404009
2020-11-28,2020,11,28,port754,Mobile,United States,USA,1,2,0,1,0,4,4,0,0,0,1023,0,1023,1023,1300,94061,0,0,0,95361,95361,2404010
2020-11-29,2020,11,29,port754,Mobile,United States,USA,1,2,2,1,2,6,8,0,0,1187,429,68138,1617,69756,750,76798,3396,651,38766,81597,120363,2404011
2020-11-30,2020,11,30,port754,Mobile,United States,USA,0,2,0,0,0,2,2,0,10074,0,0,0,10074,10074,0,24568,0,0,0,24568,24568,2404012
2020-12-01,2020,12,1,port754,Mobile,United States,USA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1092,0,0,0,0,1092,1092,2404013
2020-12-02,2020,12,2,port754,Mobile,United States,USA,1,1,1,0,0,3,3,2566,0,2194,0,0,4760,4760,1694,20355,2460,0,0,24510,24510,2404014
2020-12-03,2020,12,3,port754,Mobile,United States,USA,1,1,1,0,0,3,3,2259,49186,0,0,0,51446,51446,0,0,4952,0,0,4952,4952,2404015
2020-12-04,2020,12,4,port754,Mobile,United States,USA,0,2,1,1,1,4,5,0,0,0,0,2613,0,2613,0,134209,0,2045,0,136254,136254,2404016
2020-12-05,2020,12,5,port754,Mobile,United States,USA,0,0,1,0,1,1,2,0,0,0,0,40531,0,40531,0,0,10731,0,0,10731,10731,2404017
2020-12-06,2020,12,6,port754,Mobile,United States,USA,1,2,0,0,0,3,3,3207,0,0,0,0,3207,3207,0,87177,0,0,0,87177,87177,2404018
2020-12-07,2020,12,7,port754,Mobile,United States,USA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,68583,0,0,0,68583,68583,2404019
2020-12-08,2020,12,8,port754,Mobile,United States,USA,1,1,1,0,1,3,4,0,54938,0,0,0,54938,54938,5449,0,898,0,0,6347,6347,2404020
2020-12-09,2020,12,9,port754,Mobile,United States,USA,1,2,0,0,1,3,4,6507,0,0,0,974,6507,7482,0,78465,0,0,4058,78465,82523,2404021
2020-12-10,2020,12,10,port754,Mobile,United States,USA,2,2,2,0,1,6,7,24750,0,0,0,7057,24750,31807,0,104639,9256,0,0,113896,113896,2404022
2020-12-11,2020,12,11,port754,Mobile,United States,USA,2,3,1,0,0,6,6,4448,50307,5648,0,0,60405,60405,1694,91345,0,0,0,93040,93040,2404023
2020-12-12,2020,12,12,port754,Mobile,United States,USA,0,2,0,0,0,2,2,0,50893,0,0,0,50893,50893,0,0,0,0,0,0,0,2404024
2020-12-13,2020,12,13,port754,Mobile,United States,USA,1,1,1,0,1,3,4,1308,50521,5257,0,0,57087,57087,0,0,0,0,35133,0,35133,2404025
2020-12-14,2020,12,14,port754,Mobile,United States,USA,0,0,1,1,2,2,4,0,0,0,0,74633,0,74633,0,0,4954,295,0,5249,5249,2404026
2020-12-15,2020,12,15,port754,Mobile,United States,USA,0,2,0,1,0,3,3,0,62776,0,1959,0,64735,64735,0,0,0,323,0,323,323,2404027
2020-12-16,2020,12,16,port754,Mobile,United States,USA,0,2,0,1,0,3,3,0,0,0,0,0,0,0,0,142443,0,4352,0,146795,146795,2404028
2020-12-17,2020,12,17,port754,Mobile,United States,USA,2,2,0,0,0,4,4,3313,0,0,0,0,3313,3313,953,135825,0,0,0,136779,136779,2404029
2020-12-18,2020,12,18,port754,Mobile,United States,USA,1,2,0,0,2,3,5,1501,33851,0,0,6948,35353,42302,0,72640,0,0,1147,72640,73787,2404030
2020-12-19,2020,12,19,port754,Mobile,United States,USA,0,1,0,0,0,1,1,0,14381,0,0,0,14381,14381,0,28813,0,0,0,28813,28813,2404031
2020-12-20,2020,12,20,port754,Mobile,United States,USA,1,2,1,0,0,4,4,2566,50259,0,0,0,52826,52826,1694,71809,4942,0,0,78446,78446,2404032
2020-12-21,2020,12,21,port754,Mobile,United States,USA,1,4,1,1,0,7,7,1099,26840,0,0,0,27939,27939,0,71652,2633,3840,0,78126,78126,2404033
2020-12-22,2020,12,22,port754,Mobile,United States,USA,0,1,1,0,1,2,3,0,0,4087,0,69462,4087,73550,0,70156,0,0,0,70156,70156,2404034
2020-12-23,2020,12,23,port754,Mobile,United States,USA,1,0,0,0,0,1,1,4824,0,0,0,0,4824,4824,0,0,0,0,0,0,0,2404035
2020-12-24,2020,12,24,port754,Mobile,United States,USA,0,0,1,0,2,1,3,0,0,2194,0,104823,2194,107017,0,0,2460,0,0,2460,2460,2404036
2020-12-25,2020,12,25,port754,Mobile,United States,USA,0,0,0,0,1,0,1,0,0,0,0,40001,0,40001,0,0,0,0,0,0,0,2404037
2020-12-26,2020,12,26,port754,Mobile,United States,USA,2,1,1,0,1,4,5,2566,2338,0,0,71078,4905,75983,2628,0,4370,0,0,6998,6998,2404038
2020-12-27,2020,12,27,port754,Mobile,United States,USA,1,0,0,0,1,1,2,1878,0,0,0,0,1878,1878,0,0,0,0,40787,0,40787,2404039
2020-12-28,2020,12,28,port754,Mobile,United States,USA,0,0,1,0,1,1,2,0,0,0,0,76492,0,76492,0,0,450,0,0,450,450,2404040
2020-12-29,2020,12,29,port754,Mobile,United States,USA,1,4,0,1,0,6,6,0,162066,0,4406,0,166473,166473,4373,0,0,0,0,4373,4373,2404041
2020-12-30,2020,12,30,port754,Mobile,United States,USA,0,1,1,0,1,2,3,0,52560,0,0,0,52560,52560,0,0,3425,0,0,3425,3425,2404042
2020-12-31,2020,12,31,port754,Mobile,United States,USA,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,3891,0,0,3891,3891,2404043
2021-01-01,2021,1,1,port754,Mobile,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404044
2021-01-02,2021,1,2,port754,Mobile,United States,USA,1,3,1,2,1,7,8,2879,102614,0,4634,40001,110128,150129,0,148478,1813,651,0,150943,150943,2404045
2021-01-03,2021,1,3,port754,Mobile,United States,USA,0,1,0,0,2,1,3,0,0,0,0,29843,0,29843,0,22184,0,0,15308,22184,37493,2404046
2021-01-04,2021,1,4,port754,Mobile,United States,USA,1,1,1,1,0,4,4,2566,0,2194,0,0,4760,4760,1694,71050,2460,0,0,75205,75205,2404047
2021-01-05,2021,1,5,port754,Mobile,United States,USA,1,0,0,0,0,1,1,1103,0,0,0,0,1103,1103,0,0,0,0,0,0,0,2404048
2021-01-06,2021,1,6,port754,Mobile,United States,USA,0,1,0,0,1,1,2,0,0,0,0,23700,0,23700,0,59421,0,0,0,59421,59421,2404049
2021-01-07,2021,1,7,port754,Mobile,United States,USA,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,4140,0,0,4140,4140,2404050
2021-01-08,2021,1,8,port754,Mobile,United States,USA,2,1,0,0,0,3,3,1310,0,0,0,0,1310,1310,2523,32518,0,0,0,35042,35042,2404051
2021-01-09,2021,1,9,port754,Mobile,United States,USA,0,1,2,0,0,3,3,0,46707,461,0,0,47169,47169,0,0,4696,0,0,4696,4696,2404052
2021-01-10,2021,1,10,port754,Mobile,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404053
2021-01-11,2021,1,11,port754,Mobile,United States,USA,2,2,1,0,0,5,5,4814,0,5244,0,0,10059,10059,1893,144723,0,0,0,146616,146616,2404054
2021-01-12,2021,1,12,port754,Mobile,United States,USA,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,14005,0,0,0,14005,14005,2404055
2021-01-13,2021,1,13,port754,Mobile,United States,USA,1,0,0,1,1,2,3,1297,0,0,0,81122,1297,82419,0,0,0,4352,0,4352,4352,2404056
2021-01-14,2021,1,14,port754,Mobile,United States,USA,1,1,1,0,0,3,3,0,40671,454,0,0,41125,41125,5510,0,0,0,0,5510,5510,2404057
2021-01-15,2021,1,15,port754,Mobile,United States,USA,0,1,1,1,0,3,3,0,0,0,0,0,0,0,0,52513,0,0,0,52513,52513,2404058
2021-01-16,2021,1,16,port754,Mobile,United States,USA,0,3,0,0,1,3,4,0,46550,0,0,0,46550,46550,0,109459,0,0,37869,109459,147328,2404059
2021-01-17,2021,1,17,port754,Mobile,United States,USA,2,1,0,0,0,3,3,5465,17401,0,0,0,22866,22866,1694,0,0,0,0,1694,1694,2404060
2021-01-18,2021,1,18,port754,Mobile,United States,USA,0,1,1,0,2,2,4,0,44772,2194,0,9077,46966,56044,0,0,2460,0,7561,2460,10022,2404061
2021-01-19,2021,1,19,port754,Mobile,United States,USA,1,2,1,0,0,4,4,0,117336,0,0,0,117336,117336,1093,0,7391,0,0,8484,8484,2404062
2021-01-20,2021,1,20,port754,Mobile,United States,USA,0,0,0,0,1,0,1,0,0,0,0,54211,0,54211,0,0,0,0,0,0,0,2404063
2021-01-21,2021,1,21,port754,Mobile,United States,USA,1,1,4,1,1,7,8,2566,54248,2869,2941,89454,62625,152080,1694,0,8390,0,0,10085,10085,2404064
2021-01-22,2021,1,22,port754,Mobile,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404065
2021-01-23,2021,1,23,port754,Mobile,United States,USA,0,0,0,1,2,1,3,0,0,0,0,77643,0,77643,0,0,0,2765,0,2765,2765,2404066
2021-01-24,2021,1,24,port754,Mobile,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404067
2021-01-25,2021,1,25,port754,Mobile,United States,USA,1,3,0,0,1,4,5,9631,96994,0,0,0,106626,106626,0,103354,0,0,0,103354,103354,2404068
2021-01-26,2021,1,26,port754,Mobile,United States,USA,2,0,1,1,0,4,4,22506,0,0,2918,0,25424,25424,1694,0,824,0,0,2519,2519,2404069
2021-01-27,2021,1,27,port754,Mobile,United States,USA,1,1,0,1,1,3,4,0,0,0,589,11341,589,11930,9734,68780,0,0,0,78514,78514,2404070
2021-01-28,2021,1,28,port754,Mobile,United States,USA,0,1,2,0,2,3,5,0,0,353,0,0,353,353,0,21365,3700,0,7166,25065,32232,2404071
2021-01-29,2021,1,29,port754,Mobile,United States,USA,2,1,0,1,1,4,5,2996,0,0,429,0,3426,3426,0,78345,0,651,0,78997,78997,2404072
2021-01-30,2021,1,30,port754,Mobile,United States,USA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,84368,0,0,0,84368,84368,2404073
2021-01-31,2021,1,31,port754,Mobile,United States,USA,2,0,2,0,0,4,4,6426,0,18567,0,0,24993,24993,1694,0,4951,0,0,6646,6646,2404074
2021-02-01,2021,2,1,port754,Mobile,United States,USA,0,1,3,0,0,4,4,0,0,0,0,0,0,0,0,70353,17422,0,0,87775,87775,2404075
2021-02-02,2021,2,2,port754,Mobile,United States,USA,1,0,0,0,1,1,2,654,0,0,0,40001,654,40656,0,0,0,0,0,0,0,2404076
2021-02-03,2021,2,3,port754,Mobile,United States,USA,1,0,0,0,1,1,2,0,0,0,0,0,0,0,12011,0,0,0,0,12011,12011,2404077
2021-02-04,2021,2,4,port754,Mobile,United States,USA,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5065,0,0,5065,5065,2404078
2021-02-05,2021,2,5,port754,Mobile,United States,USA,0,2,1,1,1,4,5,0,102614,0,0,44628,102614,147243,0,0,4846,896,0,5742,5742,2404079
2021-02-06,2021,2,6,port754,Mobile,United States,USA,1,2,1,0,1,4,5,2842,0,2162,0,0,5004,5004,0,157019,0,0,39842,157019,196861,2404080
2021-02-07,2021,2,7,port754,Mobile,United States,USA,1,0,2,0,1,3,4,0,0,413,0,69065,413,69478,2816,0,11447,0,0,14263,14263,2404081
2021-02-08,2021,2,8,port754,Mobile,United States,USA,0,1,0,0,1,1,2,0,5280,0,0,10671,5280,15951,0,0,0,0,0,0,0,2404082
2021-02-09,2021,2,9,port754,Mobile,United States,USA,0,3,0,0,0,3,3,0,3592,0,0,0,3592,3592,0,93276,0,0,0,93276,93276,2404083
2021-02-10,2021,2,10,port754,Mobile,United States,USA,0,2,2,1,1,5,6,0,62163,0,0,0,62163,62163,0,102693,9906,0,4415,112599,117015,2404084
2021-02-11,2021,2,11,port754,Mobile,United States,USA,2,1,1,0,0,4,4,584,46213,4755,0,0,51552,51552,1840,0,0,0,0,1840,1840,2404085
2021-02-12,2021,2,12,port754,Mobile,United States,USA,1,0,0,1,0,2,2,0,0,0,2905,0,2905,2905,13148,0,0,0,0,13148,13148,2404086
2021-02-13,2021,2,13,port754,Mobile,United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404087
2021-02-14,2021,2,14,port754,Mobile,United States,USA,1,0,1,0,1,2,3,0,0,12981,0,78353,12981,91334,6605,0,0,0,0,6605,6605,2404088
2021-02-15,2021,2,15,port754,Mobile,United States,USA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,73225,0,0,0,73225,73225,2404089
2021-02-16,2021,2,16,port754,Mobile,United States,USA,1,1,1,0,0,3,3,9725,7652,3717,0,0,21095,21095,0,0,0,0,0,0,0,2404090
