date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-08-21,2020,8,21,port757,Mombasa,Kenya,KEN,1,0,1,1,0,3,3,10404,0,2103,2856,0,15364,15364,0,0,927,0,0,927,927,3044011
2019-07-18,2019,7,18,port757,Mombasa,Kenya,KEN,2,1,1,1,1,5,6,13908,0,0,964,7985,14873,22858,0,0,976,23,1380,999,2380,3044116
2019-01-01,2019,1,1,port757,Mombasa,Kenya,KEN,0,2,0,0,1,2,3,0,74006,0,0,2634,74006,76640,0,0,0,0,0,0,0,3044205
2019-01-02,2019,1,2,port757,Mombasa,Kenya,KEN,2,1,0,0,0,3,3,4191,49497,0,0,0,53688,53688,4903,0,0,0,0,4903,4903,3044206
2019-01-03,2019,1,3,port757,Mombasa,Kenya,KEN,0,0,0,0,2,0,2,0,0,0,0,151440,0,151440,0,0,0,0,0,0,0,3044207
2019-01-04,2019,1,4,port757,Mombasa,Kenya,KEN,2,0,0,0,0,2,2,37613,0,0,0,0,37613,37613,0,0,0,0,0,0,0,3044208
2019-01-05,2019,1,5,port757,Mombasa,Kenya,KEN,1,1,0,0,1,2,3,10420,37445,0,0,0,47865,47865,0,0,0,0,4278,0,4278,3044209
2019-01-06,2019,1,6,port757,Mombasa,Kenya,KEN,1,1,0,0,2,2,4,0,48228,0,0,103494,48228,151722,828,0,0,0,0,828,828,3044210
2019-01-07,2019,1,7,port757,Mombasa,Kenya,KEN,0,3,0,0,0,3,3,0,104988,0,0,0,104988,104988,0,0,0,0,0,0,0,3044211
2019-01-08,2019,1,8,port757,Mombasa,Kenya,KEN,2,1,0,0,2,3,5,28801,23260,0,0,43936,52061,95997,0,0,0,0,1380,0,1380,3044212
2019-01-09,2019,1,9,port757,Mombasa,Kenya,KEN,1,1,0,0,1,2,3,0,42335,0,0,0,42335,42335,4840,0,0,0,2491,4840,7331,3044213
2019-01-10,2019,1,10,port757,Mombasa,Kenya,KEN,2,0,0,0,1,2,3,26972,0,0,0,0,26972,26972,0,0,0,0,0,0,0,3044214
2019-01-11,2019,1,11,port757,Mombasa,Kenya,KEN,2,0,0,0,1,2,3,27986,0,0,0,63000,27986,90986,659,0,0,0,0,659,659,3044215
2019-01-12,2019,1,12,port757,Mombasa,Kenya,KEN,2,3,0,0,1,5,6,9653,133008,0,0,30129,142661,172791,6772,0,0,0,0,6772,6772,3044216
2019-01-13,2019,1,13,port757,Mombasa,Kenya,KEN,2,0,0,2,0,4,4,22113,0,0,964,0,23077,23077,0,0,0,23,0,23,23,3044217
2019-01-14,2019,1,14,port757,Mombasa,Kenya,KEN,1,0,1,1,0,3,3,10424,0,5031,0,0,15456,15456,0,0,0,0,0,0,0,3044218
2019-01-15,2019,1,15,port757,Mombasa,Kenya,KEN,3,0,1,1,2,5,7,54243,0,1053,1923,14001,57220,71222,0,0,239,0,1453,239,1692,3044219
2019-01-16,2019,1,16,port757,Mombasa,Kenya,KEN,0,3,0,0,0,3,3,0,122950,0,0,0,122950,122950,0,0,0,0,0,0,0,3044220
2019-01-17,2019,1,17,port757,Mombasa,Kenya,KEN,2,0,0,1,0,3,3,4159,0,0,0,0,4159,4159,10680,0,0,0,0,10680,10680,3044221
2019-01-18,2019,1,18,port757,Mombasa,Kenya,KEN,3,0,0,1,0,4,4,41144,0,0,0,0,41144,41144,659,0,0,0,0,659,659,3044222
2019-01-19,2019,1,19,port757,Mombasa,Kenya,KEN,0,0,0,0,1,0,1,0,0,0,0,40974,0,40974,0,0,0,0,0,0,0,3044223
2019-01-20,2019,1,20,port757,Mombasa,Kenya,KEN,1,0,0,2,2,3,5,24610,0,0,1178,57456,25788,83245,0,0,0,0,0,0,0,3044224
2019-01-21,2019,1,21,port757,Mombasa,Kenya,KEN,2,2,0,0,0,4,4,24559,30124,0,0,0,54684,54684,0,1289,0,0,0,1289,1289,3044225
2019-01-22,2019,1,22,port757,Mombasa,Kenya,KEN,2,0,0,1,1,3,4,14471,0,0,3075,30070,17547,47618,0,0,0,0,0,0,0,3044226
2019-01-23,2019,1,23,port757,Mombasa,Kenya,KEN,3,0,1,0,2,4,6,0,0,2295,0,90401,2295,92696,14086,0,0,0,58797,14086,72883,3044227
2019-01-24,2019,1,24,port757,Mombasa,Kenya,KEN,2,1,0,0,0,3,3,18566,9351,0,0,0,27918,27918,0,0,0,0,0,0,0,3044228
2019-01-25,2019,1,25,port757,Mombasa,Kenya,KEN,1,0,0,0,0,1,1,11155,0,0,0,0,11155,11155,0,0,0,0,0,0,0,3044229
2019-01-26,2019,1,26,port757,Mombasa,Kenya,KEN,2,0,0,0,0,2,2,16681,0,0,0,0,16681,16681,0,0,0,0,0,0,0,3044230
2019-01-27,2019,1,27,port757,Mombasa,Kenya,KEN,2,0,0,1,1,3,4,40378,0,0,2037,60372,42415,102788,0,0,0,0,0,0,0,3044231
2019-01-28,2019,1,28,port757,Mombasa,Kenya,KEN,1,1,0,0,1,2,3,0,15405,0,0,39207,15405,54613,7285,0,0,0,0,7285,7285,3044232
2019-01-29,2019,1,29,port757,Mombasa,Kenya,KEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044233
2019-01-30,2019,1,30,port757,Mombasa,Kenya,KEN,3,0,1,1,1,5,6,39494,0,8436,0,18462,47931,66393,0,0,0,0,0,0,0,3044234
2019-01-31,2019,1,31,port757,Mombasa,Kenya,KEN,0,2,0,0,1,2,3,0,44404,0,0,91589,44404,135994,0,1289,0,0,0,1289,1289,3044235
