date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-04-15,2021,4,15,port777,Mundra,India,IND,4,1,0,0,1,5,6,3264,49279,0,0,3328,52544,55872,47901,0,0,0,0,47901,47901,3214005
2022-05-20,2022,5,20,port777,Mundra,India,IND,5,0,0,0,2,5,7,9450,0,0,0,14148,9450,23598,40392,0,0,0,1916,40392,42309,3214010
2020-03-11,2020,3,11,port777,Mundra,India,IND,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9850,0,0,0,0,9850,9850,3214011
2021-04-16,2021,4,16,port777,Mundra,India,IND,2,1,0,0,1,3,4,3264,165440,0,0,6808,168705,175513,17351,0,0,0,0,17351,17351,3214012
2022-05-21,2022,5,21,port777,Mundra,India,IND,5,2,0,1,0,8,8,27294,177530,0,0,0,204825,204825,9516,0,0,3411,0,12927,12927,3214014
2020-03-12,2020,3,12,port777,Mundra,India,IND,2,2,0,1,1,5,6,11573,175951,0,0,1054,187524,188578,376,0,0,0,0,376,376,3214015
2021-04-17,2021,4,17,port777,Mundra,India,IND,5,0,0,1,1,6,7,12038,0,0,0,5346,12038,17385,22422,0,0,0,0,22422,22422,3214016
2019-02-05,2019,2,5,port777,Mundra,India,IND,1,1,0,0,0,2,2,0,57129,0,0,0,57129,57129,5488,6038,0,0,0,11527,11527,3214017
2022-05-22,2022,5,22,port777,Mundra,India,IND,6,1,0,0,1,7,8,5336,44342,0,0,34686,49678,84365,51778,0,0,0,1783,51778,53562,3214019
2020-03-13,2020,3,13,port777,Mundra,India,IND,4,0,0,0,1,4,5,3264,0,0,0,10170,3264,13435,37037,0,0,0,1529,37037,38567,3214020
2020-03-14,2020,3,14,port777,Mundra,India,IND,2,1,0,0,0,3,3,0,57129,0,0,0,57129,57129,55188,6038,0,0,0,61227,61227,3214021
2020-03-15,2020,3,15,port777,Mundra,India,IND,3,0,0,0,0,3,3,4027,0,0,0,0,4027,4027,13892,0,0,0,0,13892,13892,3214022
2020-03-16,2020,3,16,port777,Mundra,India,IND,2,1,0,0,0,3,3,6528,163382,0,0,0,169910,169910,12386,0,0,0,0,12386,12386,3214023
2020-03-17,2020,3,17,port777,Mundra,India,IND,2,2,0,0,0,4,4,4535,7225,0,0,0,11760,11760,4993,3464,0,0,0,8458,8458,3214024
2020-03-18,2020,3,18,port777,Mundra,India,IND,3,1,0,1,1,5,6,0,163520,0,0,1334,163520,164854,38709,0,0,2696,0,41406,41406,3214025
2020-03-19,2020,3,19,port777,Mundra,India,IND,6,2,0,0,1,8,9,13180,0,0,0,0,13180,13180,22111,40839,0,0,0,62950,62950,3214026
2020-03-20,2020,3,20,port777,Mundra,India,IND,4,1,0,1,1,6,7,0,0,0,0,5240,0,5240,49123,0,0,0,0,49123,49123,3214027
2020-03-21,2020,3,21,port777,Mundra,India,IND,7,2,0,0,1,9,10,10998,79888,0,0,49944,90887,140831,37608,0,0,0,0,37608,37608,3214028
2020-03-22,2020,3,22,port777,Mundra,India,IND,6,0,0,0,1,6,7,4492,0,0,0,12201,4492,16694,37254,0,0,0,1916,37254,39171,3214029
2020-03-23,2020,3,23,port777,Mundra,India,IND,4,1,0,0,1,5,6,12348,16870,0,0,37407,29218,66626,58459,0,0,0,0,58459,58459,3214030
2020-03-24,2020,3,24,port777,Mundra,India,IND,4,0,2,0,0,6,6,0,0,894,0,0,894,894,31625,0,6868,0,0,38493,38493,3214031
2020-03-25,2020,3,25,port777,Mundra,India,IND,6,1,0,0,0,7,7,13979,172605,0,0,0,186585,186585,27216,0,0,0,0,27216,27216,3214032
2020-03-26,2020,3,26,port777,Mundra,India,IND,3,1,0,0,0,4,4,11940,57129,0,0,0,69069,69069,14871,6038,0,0,0,20910,20910,3214033
2020-03-27,2020,3,27,port777,Mundra,India,IND,3,0,0,0,0,3,3,3264,0,0,0,0,3264,3264,21102,0,0,0,0,21102,21102,3214034
2020-03-28,2020,3,28,port777,Mundra,India,IND,0,2,0,0,1,2,3,0,18518,0,0,17268,18518,35787,0,0,0,0,0,0,0,3214035
2020-03-29,2020,3,29,port777,Mundra,India,IND,3,0,0,0,1,3,4,22066,0,0,0,12201,22066,34267,0,0,0,0,1916,0,1916,3214036
2020-03-30,2020,3,30,port777,Mundra,India,IND,3,1,0,0,0,4,4,10155,57129,0,0,0,67284,67284,0,6038,0,0,0,6038,6038,3214037
