date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-11-16,2019,11,16,port779,Murmansk,Russian Federation,RUS,1,1,0,0,2,2,4,0,0,0,0,67163,0,67163,8564,1370,0,0,0,9935,9935,1688024
2019-11-17,2019,11,17,port779,Murmansk,Russian Federation,RUS,0,1,2,0,2,3,5,0,0,1285,0,1915,1285,3201,0,34597,2230,0,7333,36828,44161,1688413
2019-11-18,2019,11,18,port779,Murmansk,Russian Federation,RUS,0,2,2,0,3,4,7,0,0,309,0,0,309,309,0,74693,6283,0,99675,80976,180652,1688417
2019-11-19,2019,11,19,port779,Murmansk,Russian Federation,RUS,1,2,1,0,3,4,7,3615,0,0,0,95548,3615,99164,0,43885,4268,0,109271,48154,157425,1688421
2019-11-20,2019,11,20,port779,Murmansk,Russian Federation,RUS,0,0,1,0,3,1,4,0,0,445,0,18186,445,18632,0,0,0,0,111394,0,111394,1688425
2019-11-21,2019,11,21,port779,Murmansk,Russian Federation,RUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,32283,291,0,0,32575,32575,1688429
2019-11-22,2019,11,22,port779,Murmansk,Russian Federation,RUS,0,1,1,0,3,2,5,0,0,0,0,0,0,0,0,26584,1671,0,59646,28256,87903,1688433
2019-11-23,2019,11,23,port779,Murmansk,Russian Federation,RUS,0,1,2,0,1,3,4,0,0,0,0,0,0,0,0,23823,4813,0,99236,28636,127873,1688437
2019-11-24,2019,11,24,port779,Murmansk,Russian Federation,RUS,0,2,1,0,2,3,5,0,693,0,0,71315,693,72008,0,67477,1619,0,65887,69096,134984,1688438
2019-11-25,2019,11,25,port779,Murmansk,Russian Federation,RUS,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,66341,0,0,66812,66341,133153,1688439
2019-11-26,2019,11,26,port779,Murmansk,Russian Federation,RUS,2,0,0,0,1,2,3,2806,0,0,0,6104,2806,8910,9209,0,0,0,0,9209,9209,1688440
2019-11-27,2019,11,27,port779,Murmansk,Russian Federation,RUS,0,2,0,0,3,2,5,0,0,0,0,106296,0,106296,0,101196,0,0,0,101196,101196,1688441
2019-11-28,2019,11,28,port779,Murmansk,Russian Federation,RUS,0,1,0,0,1,1,2,0,0,0,0,3444,0,3444,0,0,0,0,3527,0,3527,1688442
2019-11-29,2019,11,29,port779,Murmansk,Russian Federation,RUS,1,3,1,0,1,5,6,3512,693,0,0,3444,4206,7650,0,148282,6575,0,3527,154857,158385,1688443
2019-11-30,2019,11,30,port779,Murmansk,Russian Federation,RUS,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688444
2019-12-01,2019,12,1,port779,Murmansk,Russian Federation,RUS,0,0,0,0,1,0,1,0,0,0,0,762,0,762,0,0,0,0,0,0,0,1688445
2019-12-02,2019,12,2,port779,Murmansk,Russian Federation,RUS,0,0,0,0,3,0,3,0,0,0,0,32156,0,32156,0,0,0,0,7882,0,7882,1688446
2019-12-03,2019,12,3,port779,Murmansk,Russian Federation,RUS,0,0,1,0,1,1,2,0,0,4720,0,0,4720,4720,0,0,0,0,0,0,0,1688447
2019-12-04,2019,12,4,port779,Murmansk,Russian Federation,RUS,0,3,3,0,3,6,9,0,0,0,0,69115,0,69115,0,178225,12843,0,26609,191068,217678,1688448
2019-12-05,2019,12,5,port779,Murmansk,Russian Federation,RUS,1,2,0,0,3,3,6,0,0,0,0,2286,0,2286,2763,5688,0,0,103249,8451,111700,1688449
2019-12-06,2019,12,6,port779,Murmansk,Russian Federation,RUS,1,0,0,0,3,1,4,3969,0,0,0,2549,3969,6519,0,0,0,0,65887,0,65887,1688450
2019-12-07,2019,12,7,port779,Murmansk,Russian Federation,RUS,0,1,1,0,4,2,6,0,0,144,0,70184,144,70328,0,26687,0,0,65887,26687,92574,1688451
2019-12-08,2019,12,8,port779,Murmansk,Russian Federation,RUS,0,1,0,0,3,1,4,0,0,0,0,1152,0,1152,0,70865,0,0,111704,70865,182570,1688452
2019-12-09,2019,12,9,port779,Murmansk,Russian Federation,RUS,0,1,0,0,2,1,3,0,0,0,0,2549,0,2549,0,81406,0,0,103494,81406,184900,1688453
2019-12-10,2019,12,10,port779,Murmansk,Russian Federation,RUS,1,1,1,0,1,3,4,1666,693,0,0,66812,2360,69172,1397,42872,2319,0,0,46589,46589,1688454
2019-12-11,2019,12,11,port779,Murmansk,Russian Federation,RUS,0,2,1,0,1,3,4,0,693,309,0,68765,1002,69768,0,113805,2011,0,0,115816,115816,1688455
2019-12-12,2019,12,12,port779,Murmansk,Russian Federation,RUS,1,0,0,0,2,1,3,1666,0,0,0,5098,1666,6765,1397,0,0,0,131775,1397,133172,1688456
2019-12-13,2019,12,13,port779,Murmansk,Russian Federation,RUS,1,0,0,0,1,1,2,2452,0,0,0,0,2452,2452,0,0,0,0,101625,0,101625,1688457
2019-12-14,2019,12,14,port779,Murmansk,Russian Federation,RUS,1,2,1,0,4,4,8,1666,693,0,0,31391,2360,33751,1397,79949,4720,0,27127,86067,113195,1688458
2019-12-15,2019,12,15,port779,Murmansk,Russian Federation,RUS,0,1,3,0,1,4,5,0,693,2667,0,68765,3360,72126,0,42872,2011,0,0,44883,44883,1688459
2019-12-16,2019,12,16,port779,Murmansk,Russian Federation,RUS,0,1,0,0,3,1,4,0,693,0,0,0,693,693,0,42872,0,0,18672,42872,61545,1688460
2019-12-17,2019,12,17,port779,Murmansk,Russian Federation,RUS,0,1,0,0,2,1,3,0,0,0,0,4206,0,4206,0,66241,0,0,3527,66241,69768,1688461
2019-12-18,2019,12,18,port779,Murmansk,Russian Federation,RUS,1,1,1,0,3,3,6,1666,693,0,0,69712,2360,72072,1397,42872,4192,0,65887,48462,114350,1688462
2019-12-19,2019,12,19,port779,Murmansk,Russian Federation,RUS,0,3,0,0,2,3,5,0,1387,0,0,27676,1387,29063,0,122857,0,0,7882,122857,130739,1688463
2019-12-20,2019,12,20,port779,Murmansk,Russian Federation,RUS,0,0,1,0,1,1,2,0,0,186,0,383,186,570,0,0,506,0,0,506,506,1688464
2019-12-21,2019,12,21,port779,Murmansk,Russian Federation,RUS,0,1,1,0,3,2,5,0,0,0,0,1916,0,1916,0,25538,1828,0,9241,27366,36608,1688465
2019-12-22,2019,12,22,port779,Murmansk,Russian Federation,RUS,0,2,2,0,5,4,9,0,693,0,0,73694,693,74387,0,113932,767,0,104694,114699,219394,1688466
2019-12-23,2019,12,23,port779,Murmansk,Russian Federation,RUS,0,0,2,0,1,2,3,0,0,495,0,0,495,495,0,0,2517,0,3709,2517,6227,1688467
2019-12-24,2019,12,24,port779,Murmansk,Russian Federation,RUS,2,4,1,0,2,7,9,4574,0,186,0,1523,4761,6284,1397,120373,506,0,0,122278,122278,1688468
2019-12-25,2019,12,25,port779,Murmansk,Russian Federation,RUS,1,2,0,0,3,3,6,1666,696,0,0,30134,2363,32497,1397,59935,0,0,73770,61333,135103,1688469
2019-12-26,2019,12,26,port779,Murmansk,Russian Federation,RUS,0,0,1,0,3,1,4,0,0,309,0,71315,309,71624,0,0,2011,0,69696,2011,71707,1688470
2019-12-27,2019,12,27,port779,Murmansk,Russian Federation,RUS,0,0,3,0,1,3,4,0,0,618,0,0,618,618,0,0,4022,0,2985,4022,7008,1688471
2019-12-28,2019,12,28,port779,Murmansk,Russian Federation,RUS,0,3,0,0,1,3,4,0,693,0,0,0,693,693,0,94276,0,0,2288,94276,96564,1688472
2019-12-29,2019,12,29,port779,Murmansk,Russian Federation,RUS,1,1,1,0,0,3,3,3598,693,309,0,0,4600,4600,0,42872,2011,0,0,44883,44883,1688473
2019-12-30,2019,12,30,port779,Murmansk,Russian Federation,RUS,0,2,0,0,4,2,6,0,693,0,0,72262,693,72955,0,123468,0,0,133299,123468,256767,1688474
2019-12-31,2019,12,31,port779,Murmansk,Russian Federation,RUS,0,0,0,0,3,0,3,0,0,0,0,6725,0,6725,0,0,0,0,346,0,346,1688475
2020-01-01,2020,1,1,port779,Murmansk,Russian Federation,RUS,0,1,0,0,2,1,3,0,0,0,0,109957,0,109957,0,33666,0,0,0,33666,33666,1688476
2020-01-02,2020,1,2,port779,Murmansk,Russian Federation,RUS,1,1,0,0,2,2,4,0,0,0,0,67963,0,67963,0,0,0,0,0,0,0,1688477
2020-01-03,2020,1,3,port779,Murmansk,Russian Federation,RUS,0,2,0,0,2,2,4,0,0,0,0,67504,0,67504,0,59119,0,0,102598,59119,161718,1688478
2020-01-04,2020,1,4,port779,Murmansk,Russian Federation,RUS,0,3,0,0,3,3,6,0,0,0,0,2549,0,2549,0,90952,0,0,69704,90952,160656,1688479
