"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2019-03-12","port784","Nacala","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-03-13","port784","Nacala","Mozambique","MOZ","1","0","0","0","1","1","2","1360","0","0","0","0","1360","1360","0","0","0","0","36333","0","36333"
"2019-03-14","port784","Nacala","Mozambique","MOZ","0","0","0","0","1","0","1","0","0","0","0","1581","0","1581","0","0","0","0","0","0","0"
"2019-03-15","port784","Nacala","Mozambique","MOZ","0","1","0","0","0","1","1","0","6696","0","0","0","6696","6696","0","0","0","0","0","0","0"
"2019-03-16","port784","Nacala","Mozambique","MOZ","1","0","0","0","0","1","1","6247","0","0","0","0","6247","6247","0","0","0","0","0","0","0"
"2019-03-17","port784","Nacala","Mozambique","MOZ","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","54817","0","0","0","54817","54817"
"2019-03-18","port784","Nacala","Mozambique","MOZ","0","1","0","0","0","1","1","0","5027","0","0","0","5027","5027","0","49803","0","0","0","49803","49803"
"2019-03-19","port784","Nacala","Mozambique","MOZ","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","54472","0","0","0","54472","54472"
"2020-04-15","port784","Nacala","Mozambique","MOZ","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","530","0","530"
"2019-03-20","port784","Nacala","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-16","port784","Nacala","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-03-21","port784","Nacala","Mozambique","MOZ","1","1","0","0","0","2","2","2923","0","0","0","0","2923","2923","0","78557","0","0","0","78557","78557"
"2020-04-17","port784","Nacala","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-03-22","port784","Nacala","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-18","port784","Nacala","Mozambique","MOZ","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-03-23","port784","Nacala","Mozambique","MOZ","1","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-19","port784","Nacala","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-03-24","port784","Nacala","Mozambique","MOZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-04-20","port784","Nacala","Mozambique","MOZ","1","2","0","0","1","3","4","6159","5027","0","0","2777","11186","13964","0","128474","0","0","1377","128474","129851"
"2019-03-25","port784","Nacala","Mozambique","MOZ","0","2","0","0","1","2","3","0","55311","0","0","0","55311","55311","0","72629","0","0","1000","72629","73629"
"2020-04-21","port784","Nacala","Mozambique","MOZ","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
