date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2022-06-08,2022,6,8,port792,Nantong,China,CHN,0,11,0,0,9,11,20,0,271920,0,0,18643,271920,290563,0,0,0,0,5870,0,5870,1842001
2022-06-09,2022,6,9,port792,Nantong,China,CHN,0,6,4,0,10,10,20,0,199347,2777,0,29735,202124,231859,0,0,6028,0,5801,6028,11829,1842002
2022-06-10,2022,6,10,port792,Nantong,China,CHN,2,6,0,0,6,8,14,1328,178673,0,0,15402,180001,195403,1406,2496,0,0,3796,3902,7699,1842003
2022-06-11,2022,6,11,port792,Nantong,China,CHN,1,6,5,0,6,12,18,0,170287,5420,0,17996,175707,193704,146,1374,5308,0,759,6829,7589,1842004
2022-06-12,2022,6,12,port792,Nantong,China,CHN,0,6,0,0,4,6,10,0,145027,0,0,8999,145027,154026,0,3909,0,0,3674,3909,7583,1842005
2022-06-13,2022,6,13,port792,Nantong,China,CHN,2,8,3,0,8,13,21,1441,156131,4330,0,19395,161903,181298,0,1412,3098,0,525,4511,5036,1842006
2022-06-14,2022,6,14,port792,Nantong,China,CHN,1,7,1,0,7,9,16,1328,207173,7236,0,21180,215739,236919,586,58367,0,0,2970,58953,61924,1842007
2022-06-15,2022,6,15,port792,Nantong,China,CHN,2,7,0,0,10,9,19,5036,219099,0,0,38804,224136,262940,0,1374,0,0,3087,1374,4461,1842008
2022-06-16,2022,6,16,port792,Nantong,China,CHN,1,10,2,0,7,13,20,1328,224477,3613,0,22791,229419,252210,586,4122,1456,0,153,6165,6318,1842009
2022-06-17,2022,6,17,port792,Nantong,China,CHN,4,5,1,0,6,10,16,3820,94377,6575,0,25270,104773,130043,586,25987,0,0,2071,26574,28645,1842010
2022-06-18,2022,6,18,port792,Nantong,China,CHN,1,4,6,0,7,11,18,725,107580,10353,0,33486,118659,152145,0,1374,1142,0,2043,2516,4559,1842011
2019-02-24,2019,2,24,port792,Nantong,China,CHN,0,6,2,0,3,8,11,0,78774,1806,0,9807,80581,90389,0,2748,728,0,1059,3476,4535,1842012
2022-06-19,2022,6,19,port792,Nantong,China,CHN,1,5,5,0,5,11,16,0,159016,1806,0,14880,160822,175702,0,2748,3919,0,794,6667,7461,1842014
2022-06-20,2022,6,20,port792,Nantong,China,CHN,0,7,1,1,6,9,15,0,98354,1806,0,16603,100161,116765,0,4122,728,0,1059,4850,5910,1842015
2022-06-21,2022,6,21,port792,Nantong,China,CHN,0,11,1,0,5,12,17,0,325314,21723,0,7623,347038,354661,0,5496,0,0,491,5496,5987,1842016
2022-06-22,2022,6,22,port792,Nantong,China,CHN,2,3,0,0,8,5,13,0,61470,0,0,33436,61470,94906,1441,1374,0,0,606,2815,3422,1842017
2022-06-23,2022,6,23,port792,Nantong,China,CHN,1,9,2,0,8,12,20,0,349440,1806,0,34379,351247,385627,291,5496,728,0,3808,6516,10325,1842018
2022-06-24,2022,6,24,port792,Nantong,China,CHN,1,7,5,0,2,13,15,1328,235123,7226,0,12006,243678,255684,586,4755,5320,0,2594,10662,13256,1842019
