date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port811,New Mangalore,India,IND,1,0,0,0,0,1,1,2923,0,0,0,0,2923,2923,1283,0,0,0,0,1283,1283,3219839
2019-01-02,2019,1,2,port811,New Mangalore,India,IND,0,1,1,0,0,2,2,0,35094,0,0,0,35094,35094,0,8664,0,0,0,8664,8664,3219841
2019-01-03,2019,1,3,port811,New Mangalore,India,IND,1,0,0,0,2,1,3,1141,0,0,0,19099,1141,20240,0,0,0,0,13316,0,13316,3219843
2019-01-04,2019,1,4,port811,New Mangalore,India,IND,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,54877,0,0,17542,54877,72420,3219845
2019-01-05,2019,1,5,port811,New Mangalore,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3219847
2019-01-06,2019,1,6,port811,New Mangalore,India,IND,1,0,0,0,1,1,2,1943,0,0,0,0,1943,1943,0,0,0,0,41979,0,41979,3219849
2019-01-07,2019,1,7,port811,New Mangalore,India,IND,1,0,0,0,1,1,2,5083,0,0,0,5407,5083,10490,0,0,0,0,0,0,0,3219851
2019-01-08,2019,1,8,port811,New Mangalore,India,IND,0,1,0,0,1,1,2,0,90495,0,0,0,90495,90495,0,0,0,0,400,0,400,3219853
2019-01-09,2019,1,9,port811,New Mangalore,India,IND,0,1,0,0,0,1,1,0,35094,0,0,0,35094,35094,0,8664,0,0,0,8664,8664,3219855
2019-01-10,2019,1,10,port811,New Mangalore,India,IND,1,0,0,0,0,1,1,569,0,0,0,0,569,569,0,0,0,0,0,0,0,3219857
2019-01-11,2019,1,11,port811,New Mangalore,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3219859
2019-01-12,2019,1,12,port811,New Mangalore,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3219861
2019-01-13,2019,1,13,port811,New Mangalore,India,IND,0,2,0,0,0,2,2,0,68643,0,0,0,68643,68643,0,0,0,0,0,0,0,3219863
