date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-10-15,2019,10,15,port812,New Orleans,United States,USA,1,9,1,0,3,11,14,0,70039,2183,0,0,72223,72223,3514,80633,3453,0,2794,87601,90395,308060
2020-11-18,2020,11,18,port812,New Orleans,United States,USA,1,8,0,0,6,9,15,992,27956,0,0,5555,28949,34504,0,231324,0,0,59498,231324,290823,308100
2019-10-16,2019,10,16,port812,New Orleans,United States,USA,1,8,2,0,4,11,15,0,28650,0,0,29453,28650,58104,937,70883,11321,0,85933,83142,169075,308408
2020-11-19,2020,11,19,port812,New Orleans,United States,USA,3,8,1,0,8,12,20,877,24137,0,0,38679,25015,63694,11855,301572,3520,0,71827,316948,388775,308410
2019-10-17,2019,10,17,port812,New Orleans,United States,USA,2,6,3,0,5,11,16,0,86658,0,0,44010,86658,130669,21025,183570,23189,0,14505,227785,242290,308411
2020-11-20,2020,11,20,port812,New Orleans,United States,USA,1,8,0,0,9,9,18,0,13978,0,0,5366,13978,19345,1718,223113,0,0,139402,224832,364234,308414
2019-10-18,2019,10,18,port812,New Orleans,United States,USA,1,4,2,1,6,8,14,2610,9040,0,186,38063,11837,49901,0,85594,9889,0,78992,95484,174476,308415
2020-11-21,2020,11,21,port812,New Orleans,United States,USA,1,4,1,0,6,6,12,0,22528,0,0,16421,22528,38949,433,62359,0,0,45837,62792,108629,308417
2019-10-19,2019,10,19,port812,New Orleans,United States,USA,3,5,0,0,8,8,16,0,6989,0,0,37442,6989,44431,14862,165062,0,0,157355,179924,337280,308418
2020-11-22,2020,11,22,port812,New Orleans,United States,USA,2,6,3,0,4,11,15,0,44994,3857,0,7561,48851,56412,2152,135548,4949,0,70226,142649,212876,308419
2019-10-20,2019,10,20,port812,New Orleans,United States,USA,1,5,0,0,3,6,9,3831,109430,0,0,11261,113261,124523,0,64548,0,0,12981,64548,77530,308421
2020-11-23,2020,11,23,port812,New Orleans,United States,USA,2,8,2,0,2,12,14,0,105668,13615,0,0,119283,119283,13789,152766,3238,0,19154,169794,188948,308423
2019-10-21,2019,10,21,port812,New Orleans,United States,USA,2,7,1,0,4,10,14,0,68445,1174,0,34748,69620,104368,9904,229452,0,0,27537,239356,266894,308425
2020-11-24,2020,11,24,port812,New Orleans,United States,USA,1,9,2,0,6,12,18,0,40262,9492,0,5031,49754,54786,876,157353,3453,0,76088,161684,237772,308427
2019-10-22,2019,10,22,port812,New Orleans,United States,USA,3,4,0,0,8,7,15,1711,19920,0,0,82301,21632,103933,14148,54978,0,0,84105,69126,153232,308429
2020-11-25,2020,11,25,port812,New Orleans,United States,USA,1,10,1,0,5,12,17,0,67394,2285,0,94830,69680,164511,6685,404448,0,0,12578,411134,423712,308431
2019-10-23,2019,10,23,port812,New Orleans,United States,USA,2,10,0,0,3,12,15,0,38910,0,0,29453,38910,68363,7815,178344,0,0,11861,186160,198021,308433
2020-11-26,2020,11,26,port812,New Orleans,United States,USA,2,4,1,0,6,7,13,663,9264,0,0,5673,9928,15601,15593,45140,3069,0,63365,63803,127168,308435
2019-10-24,2019,10,24,port812,New Orleans,United States,USA,1,5,2,0,4,8,12,0,321,2183,0,9209,2505,11715,6768,107420,11990,0,16553,126179,142733,308437
2020-11-27,2020,11,27,port812,New Orleans,United States,USA,1,6,1,0,1,8,9,0,35339,2183,0,3780,37523,41304,986,264028,3453,0,11387,268468,279855,308439
2019-10-25,2019,10,25,port812,New Orleans,United States,USA,2,5,3,0,8,10,18,1086,38035,7027,0,96381,46148,142530,10317,82838,17325,0,80862,110481,191344,308441
2020-11-28,2020,11,28,port812,New Orleans,United States,USA,2,6,1,0,6,9,15,10072,43872,1585,0,7561,55531,63092,1178,173744,0,0,37067,174922,211990,308443
2019-10-26,2019,10,26,port812,New Orleans,United States,USA,1,3,0,0,12,4,16,0,0,0,0,75660,0,75660,5186,66973,0,0,104961,72160,177121,308445
2020-11-29,2020,11,29,port812,New Orleans,United States,USA,1,7,1,0,5,9,14,0,125028,374,0,128926,125402,254329,750,104888,0,0,11387,105638,117025,308447
2019-10-27,2019,10,27,port812,New Orleans,United States,USA,2,2,1,0,2,5,7,0,56733,1506,0,1774,58239,60014,13603,34219,0,0,43532,47822,91355,308449
2020-11-30,2020,11,30,port812,New Orleans,United States,USA,2,4,1,0,7,7,14,864,13978,0,0,8415,14842,23258,5444,114741,472,0,135745,120657,256403,308451
2019-10-28,2019,10,28,port812,New Orleans,United States,USA,3,9,3,0,8,15,23,3830,39944,4708,0,125350,48483,173834,11129,201101,19519,0,127092,231750,358842,308453
2019-10-29,2019,10,29,port812,New Orleans,United States,USA,0,8,0,0,7,8,15,0,24445,0,0,60644,24445,85089,0,135649,0,0,100662,135649,236311,308456
2020-12-01,2020,12,1,port812,New Orleans,United States,USA,1,9,1,0,7,11,18,0,72068,0,0,13014,72068,85082,1966,229281,6769,0,99921,238016,337938,308458
2019-10-30,2019,10,30,port812,New Orleans,United States,USA,1,5,3,0,11,9,20,2050,8713,0,0,202181,10764,212946,0,160191,14293,0,121960,174484,296445,308461
2020-12-02,2020,12,2,port812,New Orleans,United States,USA,0,9,2,0,4,11,15,0,71556,4367,0,7795,75923,83719,0,210253,6906,0,28140,217160,245300,308462
2019-10-31,2019,10,31,port812,New Orleans,United States,USA,0,3,1,0,10,4,14,0,0,5223,0,144351,5223,149574,0,93026,0,0,50822,93026,143849,308465
2020-12-03,2020,12,3,port812,New Orleans,United States,USA,2,6,2,0,5,10,15,0,23581,2842,0,52767,26424,79192,12710,96585,4278,0,66501,113573,180074,308466
2019-11-01,2019,11,1,port812,New Orleans,United States,USA,1,4,2,0,10,7,17,579,6989,13900,0,40796,21469,62265,4030,202617,4942,0,192560,211590,404150,308469
2020-12-04,2020,12,4,port812,New Orleans,United States,USA,1,9,1,0,4,11,15,944,13978,0,0,10898,14922,25821,0,314596,774,0,14745,315370,330116,308470
2019-11-02,2019,11,2,port812,New Orleans,United States,USA,2,10,0,0,7,12,19,0,63106,0,0,90188,63106,153294,9853,185430,0,0,41091,195283,236375,308473
2020-12-05,2020,12,5,port812,New Orleans,United States,USA,1,8,2,0,6,11,17,0,23995,6769,0,7967,30765,38732,1634,203513,3453,0,29645,208601,238247,308474
2019-11-03,2019,11,3,port812,New Orleans,United States,USA,2,4,1,0,7,7,14,0,64109,5309,0,40796,69418,110214,6389,72857,0,0,137146,79247,216393,308477
2020-12-06,2020,12,6,port812,New Orleans,United States,USA,2,5,0,0,4,7,11,0,55642,0,0,95129,55642,150772,7845,78216,0,0,70615,86061,156676,308478
