"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2019-01-22","port816","Newcastle","Australia","AUS","0","7","1","0","1","8","9","0","0","3903","0","3098","3903","7001","0","442561","0","0","0","442561","442561"
"2019-01-23","port816","Newcastle","Australia","AUS","0","8","0","0","0","8","8","0","0","0","0","0","0","0","0","434756","0","0","0","434756","434756"
"2019-01-24","port816","Newcastle","Australia","AUS","0","3","3","0","0","6","6","0","0","5127","0","0","5127","5127","0","185501","9323","0","0","194825","194825"
"2019-01-25","port816","Newcastle","Australia","AUS","1","5","0","0","0","6","6","0","0","0","0","0","0","0","559","367734","0","0","0","368294","368294"
"2019-01-26","port816","Newcastle","Australia","AUS","0","7","1","0","1","8","9","0","0","0","0","0","0","0","0","611571","1743","0","7679","613314","620994"
"2019-01-27","port816","Newcastle","Australia","AUS","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","354397","0","0","0","354397","354397"
"2019-01-28","port816","Newcastle","Australia","AUS","0","6","1","0","1","7","8","0","0","0","0","30172","0","30172","0","336140","2521","0","2139","338662","340802"
"2019-01-29","port816","Newcastle","Australia","AUS","0","5","1","0","1","6","7","0","0","0","0","181","0","181","0","439347","0","0","0","439347","439347"
"2019-01-30","port816","Newcastle","Australia","AUS","0","6","1","0","0","7","7","0","0","0","0","0","0","0","0","282842","29962","0","0","312805","312805"
"2019-01-31","port816","Newcastle","Australia","AUS","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","254571","0","0","0","254571","254571"
"2019-02-01","port816","Newcastle","Australia","AUS","0","8","0","0","0","8","8","0","0","0","0","0","0","0","0","366881","0","0","0","366881","366881"
"2019-02-02","port816","Newcastle","Australia","AUS","0","5","0","0","0","5","5","0","0","0","0","0","0","0","0","184228","0","0","0","184228","184228"
"2019-02-03","port816","Newcastle","Australia","AUS","0","5","0","0","0","5","5","0","0","0","0","0","0","0","0","517907","0","0","0","517907","517907"
"2019-02-04","port816","Newcastle","Australia","AUS","0","6","0","0","0","6","6","0","0","0","0","0","0","0","0","341501","0","0","0","341501","341501"
"2019-02-05","port816","Newcastle","Australia","AUS","0","6","0","0","1","6","7","0","0","0","0","38650","0","38650","0","249118","0","0","0","249118","249118"
"2019-02-06","port816","Newcastle","Australia","AUS","0","7","1","0","0","8","8","0","0","5098","0","0","5098","5098","0","496730","0","0","0","496730","496730"
"2019-02-07","port816","Newcastle","Australia","AUS","0","5","1","0","1","6","7","0","0","2294","0","3776","2294","6071","0","376439","1884","0","0","378324","378324"
"2019-02-08","port816","Newcastle","Australia","AUS","0","4","1","0","0","5","5","0","0","3847","0","0","3847","3847","0","141462","0","0","0","141462","141462"
"2019-02-09","port816","Newcastle","Australia","AUS","0","5","0","0","0","5","5","0","0","0","0","0","0","0","0","568726","0","0","0","568726","568726"
"2019-02-10","port816","Newcastle","Australia","AUS","1","4","1","0","0","6","6","205","0","1910","0","0","2115","2115","14831","263833","0","0","0","278664","278664"
"2019-02-11","port816","Newcastle","Australia","AUS","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","271166","0","0","0","271166","271166"
"2019-02-12","port816","Newcastle","Australia","AUS","0","7","2","0","0","9","9","0","0","18509","0","0","18509","18509","0","314831","0","0","0","314831","314831"
"2019-02-13","port816","Newcastle","Australia","AUS","0","4","1","0","0","5","5","0","0","1016","0","0","1016","1016","0","333202","0","0","0","333202","333202"
"2019-02-14","port816","Newcastle","Australia","AUS","0","7","0","0","2","7","9","0","0","0","0","38013","0","38013","0","458983","0","0","0","458983","458983"
"2019-02-15","port816","Newcastle","Australia","AUS","0","5","0","1","1","6","7","0","0","0","0","2537","0","2537","0","286470","0","11564","0","298035","298035"
"2019-02-16","port816","Newcastle","Australia","AUS","0","6","1","0","0","7","7","0","0","2294","0","0","2294","2294","0","387175","1884","0","0","389060","389060"
"2019-02-17","port816","Newcastle","Australia","AUS","0","6","0","0","0","6","6","0","0","0","0","0","0","0","0","485994","0","0","0","485994","485994"
"2019-02-18","port816","Newcastle","Australia","AUS","0","7","2","0","2","9","11","0","0","7379","0","43317","7379","50697","0","505390","0","0","7679","505390","513069"
"2019-02-19","port816","Newcastle","Australia","AUS","0","2","1","0","1","3","4","0","0","0","0","8340","0","8340","0","85222","1289","0","0","86511","86511"
"2019-02-20","port816","Newcastle","Australia","AUS","0","6","0","0","0","6","6","0","0","0","0","0","0","0","0","356676","0","0","0","356676","356676"
"2019-02-21","port816","Newcastle","Australia","AUS","0","4","0","0","1","4","5","0","0","0","0","40918","0","40918","0","330631","0","0","0","330631","330631"
"2019-02-22","port816","Newcastle","Australia","AUS","0","2","0","0","1","2","3","0","0","0","0","44000","0","44000","0","173345","0","0","0","173345","173345"
"2019-02-23","port816","Newcastle","Australia","AUS","0","2","1","0","0","3","3","0","0","1559","0","0","1559","1559","0","206025","0","0","0","206025","206025"
"2019-02-24","port816","Newcastle","Australia","AUS","0","4","1","0","0","5","5","0","0","1171","0","0","1171","1171","0","146885","0","0","0","146885","146885"
