date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-03-13,2019,3,13,port824,Ningbo,China,CHN,34,5,2,0,17,41,58,560590,382526,1903,0,109641,945020,1054661,401792,0,654,0,28801,402446,431248,1844004
2019-03-14,2019,3,14,port824,Ningbo,China,CHN,24,6,2,1,14,33,47,459170,252735,5146,0,455975,717053,1173029,420034,64225,1800,2394,44714,488455,533169,1844007
2019-03-15,2019,3,15,port824,Ningbo,China,CHN,31,8,0,2,15,41,56,120314,302200,0,735,220565,423250,643815,489157,42865,0,252,59369,532276,591645,1844009
2019-03-16,2019,3,16,port824,Ningbo,China,CHN,28,6,5,1,19,40,59,471712,197879,16373,735,216573,686700,903273,507326,15096,3601,252,41751,526276,568027,1844012
2020-04-16,2020,4,16,port824,Ningbo,China,CHN,13,6,3,0,9,22,31,89366,427504,5289,0,48318,522159,570478,70419,59500,1800,0,10505,131720,142225,1844013
2019-03-17,2019,3,17,port824,Ningbo,China,CHN,24,3,0,2,15,29,44,253094,217796,0,1470,99683,472362,572046,368503,0,0,505,14332,369009,383341,1844017
2020-04-17,2020,4,17,port824,Ningbo,China,CHN,33,7,1,0,16,41,57,355769,244856,3212,0,55572,603838,659410,656746,38028,0,0,47607,694775,742382,1844018
2019-03-18,2019,3,18,port824,Ningbo,China,CHN,34,5,3,0,15,42,57,478639,129369,4160,0,627652,612169,1239821,368989,238,2462,0,44939,371690,416629,1844022
2020-04-18,2020,4,18,port824,Ningbo,China,CHN,29,3,5,0,16,37,53,281174,233626,14713,0,452009,529514,981524,737855,0,7322,0,9121,745177,754299,1844023
2019-03-19,2019,3,19,port824,Ningbo,China,CHN,31,6,2,2,10,41,51,222770,168198,3875,1470,379699,396315,776014,483100,1061,4263,505,54999,488930,543930,1844027
2019-03-20,2019,3,20,port824,Ningbo,China,CHN,15,2,3,0,7,20,27,282590,112284,3031,0,31075,397905,428980,163089,0,3987,0,39257,167077,206335,1844028
2019-03-21,2019,3,21,port824,Ningbo,China,CHN,38,6,2,1,16,47,63,574340,168343,1651,735,110037,745071,855109,602213,28273,1800,252,14155,632539,646695,1844029
