date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-03-19,2020,3,19,port830,Nouadhibou,Mauritania,MRT,0,0,1,0,0,1,1,0,0,624,0,0,624,624,0,0,0,0,0,0,0,3280001
2020-03-20,2020,3,20,port830,Nouadhibou,Mauritania,MRT,0,2,0,0,0,2,2,0,58529,0,0,0,58529,58529,0,152487,0,0,0,152487,152487,3280002
2020-03-21,2020,3,21,port830,Nouadhibou,Mauritania,MRT,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280003
2020-03-22,2020,3,22,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11625,0,11625,3280004
2020-03-23,2020,3,23,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,2,1,3,0,1192,0,0,9203,1192,10395,0,0,0,0,3992,0,3992,3280005
2020-03-24,2020,3,24,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280006
2020-03-25,2020,3,25,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280007
2020-03-26,2020,3,26,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280008
2020-03-27,2020,3,27,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280009
2020-03-28,2020,3,28,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,14146,0,0,0,14146,14146,3280010
2020-03-29,2020,3,29,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11625,0,11625,3280011
2020-03-30,2020,3,30,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,1,0,1,0,0,0,0,8551,0,8551,0,0,0,0,3992,0,3992,3280012
2020-03-31,2020,3,31,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280013
2019-02-13,2019,2,13,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280014
2020-04-01,2020,4,1,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280015
2020-04-02,2020,4,2,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,36114,0,0,0,36114,36114,3280016
2020-04-03,2020,4,3,port830,Nouadhibou,Mauritania,MRT,1,1,0,0,0,2,2,648,26681,0,0,0,27330,27330,755,0,0,0,0,755,755,3280017
2019-02-14,2019,2,14,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,2,0,2,0,0,0,0,4126,0,4126,0,0,0,0,3418,0,3418,3280018
2020-04-04,2020,4,4,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,58832,0,0,0,58832,58832,3280019
2019-02-15,2019,2,15,port830,Nouadhibou,Mauritania,MRT,1,1,0,0,1,2,3,648,0,0,0,328,648,977,755,47972,0,0,0,48727,48727,3280020
2020-04-05,2020,4,5,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280022
2019-02-16,2019,2,16,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,1,0,1,0,0,0,0,1642,0,1642,0,0,0,0,0,0,0,3280023
2020-04-06,2020,4,6,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,2,1,3,0,0,0,0,2732,0,2732,0,10706,0,0,11625,10706,22331,3280026
2019-02-17,2019,2,17,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280027
2020-04-07,2020,4,7,port830,Nouadhibou,Mauritania,MRT,1,0,0,0,0,1,1,3104,0,0,0,0,3104,3104,0,0,0,0,0,0,0,3280030
2019-02-18,2019,2,18,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,1,1,2,0,2617,0,0,7643,2617,10261,0,64568,0,0,0,64568,64568,3280031
2020-04-08,2020,4,8,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280035
2019-02-19,2019,2,19,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,2,1,3,0,0,0,0,9520,0,9520,0,53929,0,0,3992,53929,57922,3280036
2020-04-09,2020,4,9,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,1,0,1,0,0,0,0,6283,0,6283,0,0,0,0,0,0,0,3280040
2019-02-20,2019,2,20,port830,Nouadhibou,Mauritania,MRT,0,0,1,0,0,1,1,0,0,2370,0,0,2370,2370,0,0,0,0,0,0,0,3280041
2019-02-21,2019,2,21,port830,Nouadhibou,Mauritania,MRT,0,1,0,1,0,2,2,0,0,0,542,0,542,542,0,156632,0,340,0,156973,156973,3280438
2020-04-10,2020,4,10,port830,Nouadhibou,Mauritania,MRT,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280441
2019-02-22,2019,2,22,port830,Nouadhibou,Mauritania,MRT,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,464,0,0,464,464,3280442
2020-04-11,2020,4,11,port830,Nouadhibou,Mauritania,MRT,1,1,0,0,0,2,2,0,57962,0,0,0,57962,57962,0,0,0,0,0,0,0,3280445
2019-02-23,2019,2,23,port830,Nouadhibou,Mauritania,MRT,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3504,0,0,0,0,3504,3504,3280446
2020-04-12,2020,4,12,port830,Nouadhibou,Mauritania,MRT,1,0,0,0,0,1,1,705,0,0,0,0,705,705,671,0,0,0,0,671,671,3280449
2019-02-24,2019,2,24,port830,Nouadhibou,Mauritania,MRT,0,0,1,0,1,1,2,0,0,889,0,948,889,1837,0,0,352,0,0,352,352,3280450
2020-04-13,2020,4,13,port830,Nouadhibou,Mauritania,MRT,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,47371,0,0,0,47371,47371,3280453
2019-02-25,2019,2,25,port830,Nouadhibou,Mauritania,MRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3280454
