date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-01-23,2021,1,23,port833,Novorossiysk,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694001
2021-01-24,2021,1,24,port833,Novorossiysk,Russian Federation,RUS,4,6,4,2,2,16,18,9801,0,237,1244,0,11284,11284,0,260936,9928,0,47928,270865,318793,1694002
2021-01-25,2021,1,25,port833,Novorossiysk,Russian Federation,RUS,2,1,1,0,0,4,4,2702,0,237,0,0,2939,2939,1248,21844,2522,0,0,25615,25615,1694003
2021-01-26,2021,1,26,port833,Novorossiysk,Russian Federation,RUS,1,1,0,1,2,3,5,0,0,0,837,0,837,837,17496,65401,0,89,31016,82987,114003,1694004
2021-01-27,2021,1,27,port833,Novorossiysk,Russian Federation,RUS,1,0,0,1,0,2,2,0,0,0,837,0,837,837,1811,0,0,89,0,1901,1901,1694005
2021-01-28,2021,1,28,port833,Novorossiysk,Russian Federation,RUS,7,8,8,0,3,23,26,6483,566,1059,0,214,8110,8324,25997,229062,12139,0,80271,267200,347471,1694006
2021-01-29,2021,1,29,port833,Novorossiysk,Russian Federation,RUS,4,0,3,0,2,7,9,12125,0,0,0,0,12125,12125,4110,0,11670,0,0,15781,15781,1694007
2021-01-30,2021,1,30,port833,Novorossiysk,Russian Federation,RUS,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,11111,18285,0,0,29396,29396,1694008
2021-01-31,2021,1,31,port833,Novorossiysk,Russian Federation,RUS,2,2,0,0,1,4,5,1613,0,0,0,0,1613,1613,3578,87383,0,0,8351,90961,99312,1694009
2021-02-01,2021,2,1,port833,Novorossiysk,Russian Federation,RUS,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694010
2021-02-02,2021,2,2,port833,Novorossiysk,Russian Federation,RUS,5,5,5,1,6,16,22,4299,25756,3675,664,539,34395,34934,25911,163631,8071,0,335712,197615,533327,1694011
2021-02-03,2021,2,3,port833,Novorossiysk,Russian Federation,RUS,1,2,7,0,5,10,15,987,0,1924,0,0,2912,2912,0,57592,15334,0,135264,72926,208190,1694012
2021-02-04,2021,2,4,port833,Novorossiysk,Russian Federation,RUS,4,2,5,0,6,11,17,7448,0,237,0,0,7685,7685,4283,109738,18293,0,174079,132315,306395,1694013
2021-02-05,2021,2,5,port833,Novorossiysk,Russian Federation,RUS,3,2,4,0,6,9,15,4638,0,0,0,2591,4638,7229,7735,84468,12632,0,178322,104836,283158,1694014
2021-02-06,2021,2,6,port833,Novorossiysk,Russian Federation,RUS,1,2,0,0,5,3,8,0,0,0,0,6778,0,6778,19420,83340,0,0,233316,102760,336077,1694015
2021-02-07,2021,2,7,port833,Novorossiysk,Russian Federation,RUS,3,2,8,1,9,14,23,3513,0,1995,817,402,6326,6729,4786,37136,15564,0,192531,57488,250020,1694016
2021-02-08,2021,2,8,port833,Novorossiysk,Russian Federation,RUS,3,4,5,0,5,12,17,250,0,0,0,292,250,543,6301,133837,7974,0,91222,148113,239335,1694017
2019-12-20,2019,12,20,port833,Novorossiysk,Russian Federation,RUS,2,4,5,1,6,12,18,1613,1133,1882,837,986,5466,6452,5600,114079,10140,89,142357,129909,272267,1694021
2021-02-09,2021,2,9,port833,Novorossiysk,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694022
2021-02-10,2021,2,10,port833,Novorossiysk,Russian Federation,RUS,4,7,5,2,10,18,28,1183,0,0,0,1881,1183,3064,15560,208341,14480,0,340462,238382,578845,1694023
2021-02-11,2021,2,11,port833,Novorossiysk,Russian Federation,RUS,5,3,5,0,2,13,15,6082,566,1978,0,0,8627,8627,16853,101586,9738,0,16632,128179,144811,1694024
2021-02-12,2021,2,12,port833,Novorossiysk,Russian Federation,RUS,2,3,0,0,0,5,5,10148,0,0,0,0,10148,10148,470,77395,0,0,0,77866,77866,1694025
2021-02-13,2021,2,13,port833,Novorossiysk,Russian Federation,RUS,3,4,6,0,5,13,18,1406,0,17326,0,6778,18733,25511,4036,149181,10676,0,219808,163894,383702,1694026
