date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port843,Odessa,Ukraine,UKR,2,1,0,0,0,3,3,1302,0,0,0,0,1302,1302,5291,61543,0,0,0,66835,66835,3055255
2019-01-02,2019,1,2,port843,Odessa,Ukraine,UKR,0,1,0,1,1,2,3,0,0,0,244,0,244,244,0,11109,0,23,4492,11133,15625,3055258
2019-01-03,2019,1,3,port843,Odessa,Ukraine,UKR,2,1,0,0,0,3,3,0,255,0,0,0,255,255,5466,34117,0,0,0,39584,39584,3055261
2019-01-04,2019,1,4,port843,Odessa,Ukraine,UKR,1,1,0,0,0,2,2,0,0,0,0,0,0,0,17861,30421,0,0,0,48282,48282,3055264
2019-01-05,2019,1,5,port843,Odessa,Ukraine,UKR,1,0,2,0,0,3,3,0,0,0,0,0,0,0,864,0,5678,0,0,6543,6543,3055267
2019-01-06,2019,1,6,port843,Odessa,Ukraine,UKR,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,46148,0,0,9631,46148,55780,3055270
2019-01-07,2019,1,7,port843,Odessa,Ukraine,UKR,1,1,2,1,0,5,5,0,255,461,1242,0,1960,1960,1953,34117,2705,0,0,38775,38775,3055273
2019-01-08,2019,1,8,port843,Odessa,Ukraine,UKR,1,2,1,0,0,4,4,0,0,4650,0,0,4650,4650,2880,45227,0,0,0,48107,48107,3055276
2019-01-09,2019,1,9,port843,Odessa,Ukraine,UKR,0,0,0,0,1,0,1,0,0,0,0,2841,0,2841,0,0,0,0,1277,0,1277,3055279
2019-01-10,2019,1,10,port843,Odessa,Ukraine,UKR,2,0,0,0,0,2,2,2574,0,0,0,0,2574,2574,0,0,0,0,0,0,0,3055282
