date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-24,2019,1,24,port846,Oita,Japan,JPN,1,2,9,0,14,12,26,0,163460,1249,0,9698,164710,174408,171,35,3284,0,67283,3492,70775,1444001
2019-01-25,2019,1,25,port846,Oita,Japan,JPN,0,2,8,0,7,10,17,0,92154,2563,0,6724,94718,101443,0,0,6726,0,4969,6726,11696,1444002
2019-01-26,2019,1,26,port846,Oita,Japan,JPN,0,1,9,0,8,10,18,0,0,732,0,3721,732,4453,0,0,4073,0,18564,4073,22638,1444003
2019-01-27,2019,1,27,port846,Oita,Japan,JPN,1,2,9,1,10,13,23,0,0,3309,180,7423,3490,10913,505,26438,4436,1405,3576,32786,36362,1444005
2019-01-28,2019,1,28,port846,Oita,Japan,JPN,1,1,9,1,15,12,27,240,0,2563,0,14516,2804,17320,642,0,6210,0,8393,6853,15247,1444006
2020-02-28,2020,2,28,port846,Oita,Japan,JPN,0,2,12,0,18,14,32,0,54362,4786,0,58771,59149,117921,0,35,9672,0,14673,9707,24381,1444007
2019-01-29,2019,1,29,port846,Oita,Japan,JPN,0,1,13,0,10,14,24,0,0,3482,0,5560,3482,9043,0,614,7010,0,7567,7625,15192,1444009
2022-05-08,2022,5,8,port846,Oita,Japan,JPN,3,0,9,0,11,12,23,1085,0,2194,0,3895,3279,7174,1630,0,5047,0,8581,6678,15259,1444011
2020-02-29,2020,2,29,port846,Oita,Japan,JPN,1,1,9,1,11,12,23,0,30821,2197,180,118604,33200,151804,1005,9743,8545,1405,8308,20698,29007,1444012
2019-01-30,2019,1,30,port846,Oita,Japan,JPN,1,2,9,0,11,12,23,336,0,4145,0,32548,4481,37030,0,31316,10072,0,5215,41388,46604,1444013
2022-05-09,2022,5,9,port846,Oita,Japan,JPN,0,1,6,0,12,7,19,0,0,1465,0,90066,1465,91531,0,0,3548,0,6978,3548,10527,1444015
2020-03-01,2020,3,1,port846,Oita,Japan,JPN,0,2,5,1,10,8,18,0,32483,1098,0,11947,33582,45529,0,9743,3284,745,13002,13773,26776,1444016
2019-01-31,2019,1,31,port846,Oita,Japan,JPN,1,1,10,0,10,12,22,240,289749,1831,0,12772,291821,304593,642,0,10295,0,6520,10937,17458,1444017
2021-04-03,2021,4,3,port846,Oita,Japan,JPN,1,2,9,1,15,13,28,240,85034,2197,0,11658,87473,99132,642,19983,6292,0,9331,26918,36249,1444019
2022-05-10,2022,5,10,port846,Oita,Japan,JPN,1,1,11,0,7,13,20,0,0,3606,0,3186,3606,6792,204,32966,5323,0,6490,38494,44984,1444020
2022-05-11,2022,5,11,port846,Oita,Japan,JPN,0,1,11,0,15,12,27,0,222025,2197,0,11624,224223,235847,0,0,6511,0,18912,6511,25424,1444021
2022-05-12,2022,5,12,port846,Oita,Japan,JPN,1,1,7,0,8,9,17,1473,0,1831,0,11990,3305,15295,0,55764,4436,0,6667,60200,66867,1444022
2022-05-13,2022,5,13,port846,Oita,Japan,JPN,0,3,12,1,9,16,25,0,827,2563,180,2747,3571,6318,0,42926,8441,1405,16264,52773,69037,1444023
2022-05-14,2022,5,14,port846,Oita,Japan,JPN,0,2,10,0,16,12,28,0,13448,3296,0,10107,16745,26853,0,125,7985,0,9092,8111,17203,1444024
2022-05-15,2022,5,15,port846,Oita,Japan,JPN,1,2,3,0,9,6,15,335,82216,2715,0,5118,85267,90386,0,0,1592,0,6204,1592,7797,1444025
2022-05-16,2022,5,16,port846,Oita,Japan,JPN,1,1,6,1,10,9,19,240,0,9922,180,10175,10343,20519,642,0,6183,1405,4245,8231,12476,1444026
2022-05-17,2022,5,17,port846,Oita,Japan,JPN,0,4,9,0,13,13,26,0,195958,732,0,125101,196691,321793,0,0,8946,0,6719,8946,15665,1444027
2022-05-18,2022,5,18,port846,Oita,Japan,JPN,1,1,4,0,7,6,13,0,39018,366,0,4444,39384,43829,419,0,2563,0,4647,2982,7630,1444028
2022-05-19,2022,5,19,port846,Oita,Japan,JPN,1,2,9,0,10,12,22,0,30821,1465,0,2334,32286,34621,747,40128,5644,0,13964,46520,60484,1444029
2022-05-20,2022,5,20,port846,Oita,Japan,JPN,0,3,10,1,18,14,32,0,874,2197,180,72151,3252,75404,0,27073,6866,1405,9439,35345,44785,1444030
2022-05-21,2022,5,21,port846,Oita,Japan,JPN,2,4,10,0,5,16,21,0,38986,732,0,1564,39719,41283,168,53419,5580,0,8293,59167,67460,1444031
2022-05-22,2022,5,22,port846,Oita,Japan,JPN,0,0,6,0,11,6,17,0,0,2273,0,96014,2273,98288,0,0,3548,0,6830,3548,10379,1444032
2022-05-23,2022,5,23,port846,Oita,Japan,JPN,0,3,9,0,10,12,22,0,217124,2981,0,1523,220105,221629,0,166468,5059,0,17724,171527,189251,1444033
2022-05-24,2022,5,24,port846,Oita,Japan,JPN,1,2,3,0,8,6,14,0,0,732,0,3259,732,3992,204,28152,1774,0,3982,30131,34113,1444034
