date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-11-12,2020,11,12,port875,Palembang,Indonesia,IDN,0,1,2,0,1,3,4,0,2190,4788,0,0,6979,6979,0,34484,1081,0,0,35565,35565,2206001
2020-11-13,2020,11,13,port875,Palembang,Indonesia,IDN,0,1,1,0,3,2,5,0,0,687,0,2236,687,2923,0,66168,1081,0,5003,67249,72253,2206002
2020-11-14,2020,11,14,port875,Palembang,Indonesia,IDN,1,1,3,1,3,6,9,539,0,2063,0,3698,2602,6301,653,0,3243,0,5424,3896,9320,2206003
2020-11-15,2020,11,15,port875,Palembang,Indonesia,IDN,0,0,1,0,2,1,3,0,0,687,0,1967,687,2655,0,0,1081,0,4034,1081,5115,2206004
2020-11-16,2020,11,16,port875,Palembang,Indonesia,IDN,1,1,2,0,2,4,6,870,0,1375,0,1425,2245,3671,0,32253,2162,0,6849,34415,41265,2206005
2020-11-17,2020,11,17,port875,Palembang,Indonesia,IDN,1,5,2,1,2,9,11,0,11563,1391,0,2851,12955,15807,239,178939,2031,0,3426,181211,184637,2206006
2020-11-18,2020,11,18,port875,Palembang,Indonesia,IDN,1,2,1,0,1,4,5,576,2190,0,0,2975,2767,5743,0,34484,0,0,1277,34484,35761,2206007
2020-11-19,2020,11,19,port875,Palembang,Indonesia,IDN,0,1,1,1,5,3,8,0,4262,687,0,2851,4949,7801,0,0,1081,2609,6602,3690,10292,2206008
2020-11-20,2020,11,20,port875,Palembang,Indonesia,IDN,2,0,1,0,6,3,9,0,0,298,0,573,298,871,627,0,0,0,7052,627,7680,2206009
2020-11-21,2020,11,21,port875,Palembang,Indonesia,IDN,0,1,0,0,3,1,4,0,0,0,0,2333,0,2333,0,7182,0,0,2480,7182,9662,2206010
2020-11-22,2020,11,22,port875,Palembang,Indonesia,IDN,0,1,3,0,4,4,8,0,2190,1221,0,3393,3412,6805,0,34484,3941,0,5748,38426,44174,2206011
2020-11-23,2020,11,23,port875,Palembang,Indonesia,IDN,0,1,3,0,3,4,7,0,0,1213,0,4401,1213,5615,0,52858,458,0,2990,53317,56307,2206012
2020-11-24,2020,11,24,port875,Palembang,Indonesia,IDN,1,1,1,1,4,4,8,0,0,687,0,4701,687,5389,239,72030,1081,0,3623,73350,76973,2206013
2020-11-25,2020,11,25,port875,Palembang,Indonesia,IDN,0,2,1,0,2,3,5,0,2190,687,0,268,2878,3147,0,34484,1081,0,968,35565,36533,2206014
2020-11-26,2020,11,26,port875,Palembang,Indonesia,IDN,1,0,1,0,4,2,6,0,0,687,0,3120,687,3808,570,0,1081,0,4395,1651,6046,2206015
2020-11-27,2020,11,27,port875,Palembang,Indonesia,IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2206016
