"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2019-03-28","port883","Paradip","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2019-03-29","port883","Paradip","India","IND","0","4","0","0","0","4","4","0","95206","0","0","0","95206","95206","0","84820","0","0","0","84820","84820"
"2019-03-30","port883","Paradip","India","IND","0","2","0","0","0","2","2","0","21779","0","0","0","21779","21779","0","54494","0","0","0","54494","54494"
"2019-03-31","port883","Paradip","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","54000","0","0","0","54000","54000"
"2019-04-01","port883","Paradip","India","IND","0","2","0","0","0","2","2","0","99208","0","0","0","99208","99208","0","30190","0","0","0","30190","30190"
"2019-04-02","port883","Paradip","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","66331","0","0","0","66331","66331"
"2020-05-01","port883","Paradip","India","IND","0","1","0","0","0","1","1","0","389","0","0","0","389","389","0","0","0","0","0","0","0"
"2019-04-03","port883","Paradip","India","IND","0","2","0","0","0","2","2","0","58584","0","0","0","58584","58584","0","73626","0","0","0","73626","73626"
"2021-06-05","port883","Paradip","India","IND","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","52885","0","0","0","52885","52885"
"2020-05-02","port883","Paradip","India","IND","0","3","0","0","1","3","4","0","76139","0","0","0","76139","76139","0","30190","0","0","31938","30190","62129"
"2019-04-04","port883","Paradip","India","IND","0","1","0","0","0","1","1","0","24038","0","0","0","24038","24038","0","0","0","0","0","0","0"
"2021-06-06","port883","Paradip","India","IND","0","5","0","0","0","5","5","0","684","0","0","0","684","684","0","221668","0","0","0","221668","221668"
"2020-05-03","port883","Paradip","India","IND","0","5","0","0","0","5","5","0","106365","0","0","0","106365","106365","0","142983","0","0","0","142983","142983"
"2019-04-05","port883","Paradip","India","IND","0","2","0","0","0","2","2","0","60983","0","0","0","60983","60983","0","68683","0","0","0","68683","68683"
"2021-06-07","port883","Paradip","India","IND","0","6","0","0","0","6","6","0","211884","0","0","0","211884","211884","0","84427","0","0","0","84427","84427"
"2020-05-04","port883","Paradip","India","IND","0","3","0","0","0","3","3","0","20348","0","0","0","20348","20348","0","140829","0","0","0","140829","140829"
