date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-04-12,2021,4,12,port915,Pohang,Korea,KOR,0,0,6,0,0,6,6,0,0,5871,0,0,5871,5871,0,0,3953,0,0,3953,3953,3606001
2021-04-13,2021,4,13,port915,Pohang,Korea,KOR,0,1,6,1,1,8,9,0,52319,5581,263,814,58164,58979,0,0,2342,385,2206,2727,4934,3606002
2021-04-14,2021,4,14,port915,Pohang,Korea,KOR,0,3,3,0,0,6,6,0,5037,1085,0,0,6123,6123,0,14440,1826,0,0,16266,16266,3606003
2021-04-15,2021,4,15,port915,Pohang,Korea,KOR,1,7,13,2,2,23,25,1245,87977,7707,527,700,97458,98159,617,106500,15494,770,121,123383,123504,3606004
2021-04-16,2021,4,16,port915,Pohang,Korea,KOR,1,4,7,0,2,12,14,1217,191519,3009,0,1673,195747,197420,0,0,3399,0,0,3399,3399,3606005
2021-04-17,2021,4,17,port915,Pohang,Korea,KOR,0,2,7,0,1,9,10,0,15680,4878,0,0,20559,20559,0,1528,5494,0,2260,7023,9283,3606006
2021-04-18,2021,4,18,port915,Pohang,Korea,KOR,2,1,5,2,0,10,10,1245,83673,5642,263,0,90824,90824,1376,0,4149,385,0,5911,5911,3606007
2021-04-19,2021,4,19,port915,Pohang,Korea,KOR,0,6,9,1,0,16,16,0,211302,12704,263,0,224270,224270,0,43599,4315,385,0,48300,48300,3606008
2021-04-20,2021,4,20,port915,Pohang,Korea,KOR,0,1,3,3,0,7,7,0,0,762,791,0,1553,1553,0,26952,1672,1156,0,29780,29780,3606009
2021-04-21,2021,4,21,port915,Pohang,Korea,KOR,0,3,4,0,1,7,8,0,56554,11757,0,700,68311,69012,0,1630,1808,0,0,3438,3439,3606010
2021-04-22,2021,4,22,port915,Pohang,Korea,KOR,3,5,9,0,0,17,17,1245,112858,7801,0,0,121905,121905,1447,60124,3473,0,0,65045,65045,3606011
2021-04-23,2021,4,23,port915,Pohang,Korea,KOR,1,1,7,1,0,10,10,1245,25635,5847,0,0,32728,32728,617,0,4816,0,0,5434,5434,3606012
2021-04-24,2021,4,24,port915,Pohang,Korea,KOR,2,0,2,1,0,5,5,15120,0,2337,263,0,17721,17721,2236,0,471,385,0,3093,3093,3606013
2021-04-25,2021,4,25,port915,Pohang,Korea,KOR,1,3,3,0,0,7,7,0,42906,1465,0,0,44371,44371,763,6757,427,0,0,7948,7948,3606014
2021-04-26,2021,4,26,port915,Pohang,Korea,KOR,0,5,8,0,0,13,13,0,188375,6080,0,0,194455,194455,0,0,2478,0,0,2478,2478,3606015
2021-04-27,2021,4,27,port915,Pohang,Korea,KOR,0,1,6,2,0,9,9,0,199267,6699,527,0,206494,206494,0,0,4434,770,0,5205,5205,3606016
2021-04-28,2021,4,28,port915,Pohang,Korea,KOR,1,4,6,0,0,11,11,1245,58969,4626,0,0,64841,64841,617,2324,3143,0,0,6085,6085,3606017
2021-04-29,2021,4,29,port915,Pohang,Korea,KOR,1,3,6,1,0,11,11,0,255220,10732,263,0,266215,266215,0,0,797,385,0,1182,1182,3606018
2021-04-30,2021,4,30,port915,Pohang,Korea,KOR,0,2,6,0,2,8,10,0,30498,3751,0,1515,34249,35765,0,2704,5449,0,2206,8153,10359,3606019
