date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-12-04,2019,12,4,port506,Itaqui,Brazil,BRA,0,4,0,0,2,4,6,0,0,0,0,20098,0,20098,0,412492,0,0,0,412492,412492,1560402
2019-12-05,2019,12,5,port506,Itaqui,Brazil,BRA,0,5,0,0,1,5,6,0,0,0,0,18954,0,18954,0,597141,0,0,0,597141,597141,1560405
2019-12-06,2019,12,6,port506,Itaqui,Brazil,BRA,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,471616,0,0,0,471616,471616,1560407
2019-12-07,2019,12,7,port506,Itaqui,Brazil,BRA,0,3,0,0,1,3,4,0,0,0,0,0,0,0,0,378591,0,0,0,378591,378591,1560409
2019-12-08,2019,12,8,port506,Itaqui,Brazil,BRA,0,5,0,0,2,5,7,0,0,0,0,3511,0,3511,0,548907,0,0,0,548907,548907,1560411
2019-12-09,2019,12,9,port506,Itaqui,Brazil,BRA,1,5,0,0,2,6,8,0,0,0,0,44643,0,44643,372,472243,0,0,42248,472615,514864,1560413
2019-12-10,2019,12,10,port506,Itaqui,Brazil,BRA,0,4,1,0,0,5,5,0,0,0,0,0,0,0,0,368239,21828,0,0,390067,390067,1560415
2019-12-11,2019,12,11,port506,Itaqui,Brazil,BRA,0,3,0,0,2,3,5,0,0,0,0,34805,0,34805,0,60845,0,0,6436,60845,67281,1560417
2019-12-12,2019,12,12,port506,Itaqui,Brazil,BRA,0,2,0,0,1,2,3,0,0,0,0,17402,0,17402,0,89196,0,0,3218,89196,92414,1560419
2019-12-13,2019,12,13,port506,Itaqui,Brazil,BRA,0,4,0,0,2,4,6,0,0,0,0,21105,0,21105,0,121691,0,0,3461,121691,125152,1560421
2019-12-14,2019,12,14,port506,Itaqui,Brazil,BRA,0,5,0,0,1,5,6,0,0,0,0,0,0,0,0,464422,0,0,0,464422,464422,1560461
2019-12-15,2019,12,15,port506,Itaqui,Brazil,BRA,1,2,0,0,1,3,4,1041,0,0,0,0,1041,1041,0,60845,0,0,1710,60845,62555,1560816
2019-12-16,2019,12,16,port506,Itaqui,Brazil,BRA,0,5,0,0,1,5,6,0,0,0,0,69289,0,69289,0,397611,0,0,0,397611,397611,1560817
2019-12-17,2019,12,17,port506,Itaqui,Brazil,BRA,0,5,1,0,1,6,7,0,0,0,0,17402,0,17402,0,243382,0,0,3218,243382,246600,1560818
2019-12-18,2019,12,18,port506,Itaqui,Brazil,BRA,0,4,0,0,1,4,5,0,0,0,0,17402,0,17402,0,266632,0,0,3218,266632,269850,1560821
2019-12-19,2019,12,19,port506,Itaqui,Brazil,BRA,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,429085,0,0,0,429085,429085,1560824
2019-12-20,2019,12,20,port506,Itaqui,Brazil,BRA,0,2,0,0,2,2,4,0,0,0,0,17402,0,17402,0,368239,0,0,3218,368239,371457,1560827
2019-12-21,2019,12,21,port506,Itaqui,Brazil,BRA,0,2,0,0,2,2,4,0,0,0,0,40120,0,40120,0,307393,0,0,0,307393,307393,1560830
2019-12-22,2019,12,22,port506,Itaqui,Brazil,BRA,0,6,0,0,1,6,7,0,0,0,0,11024,0,11024,0,463633,0,0,0,463633,463633,1560833
2019-12-23,2019,12,23,port506,Itaqui,Brazil,BRA,1,3,0,0,1,4,5,0,0,0,0,0,0,0,372,255486,0,0,145980,255859,401840,1560836
2019-12-24,2019,12,24,port506,Itaqui,Brazil,BRA,0,4,0,0,1,4,5,0,0,0,0,0,0,0,0,472650,0,0,0,472650,472650,1560839
2019-12-25,2019,12,25,port506,Itaqui,Brazil,BRA,0,4,0,0,1,4,5,0,0,0,0,34184,0,34184,0,429466,0,0,0,429466,429466,1560842
2019-12-26,2019,12,26,port506,Itaqui,Brazil,BRA,0,4,0,0,2,4,6,0,0,0,0,5246,0,5246,0,731886,0,0,0,731886,731886,1560845
2019-12-27,2019,12,27,port506,Itaqui,Brazil,BRA,0,4,0,0,1,4,5,0,0,0,0,1549,0,1549,0,656744,0,0,0,656744,656744,1560850
2019-12-28,2019,12,28,port506,Itaqui,Brazil,BRA,0,5,0,0,2,5,7,0,0,0,0,0,0,0,0,682627,0,0,0,682627,682627,1560853
2019-12-29,2019,12,29,port506,Itaqui,Brazil,BRA,0,5,0,0,1,5,6,0,0,0,0,0,0,0,0,385474,0,0,0,385474,385474,1560856
2019-12-30,2019,12,30,port506,Itaqui,Brazil,BRA,0,4,2,0,1,6,7,0,0,2463,0,17402,2463,19866,0,631513,11322,0,3218,642836,646054,1560859
2019-12-31,2019,12,31,port506,Itaqui,Brazil,BRA,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,37009,0,37009,1560862
2020-01-01,2020,1,1,port506,Itaqui,Brazil,BRA,0,5,0,0,4,5,9,0,0,0,0,134315,0,134315,0,1353847,0,0,3218,1353847,1357065,1560865
2020-01-02,2020,1,2,port506,Itaqui,Brazil,BRA,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,342446,0,0,0,342446,342446,1560868
2020-01-03,2020,1,3,port506,Itaqui,Brazil,BRA,0,4,0,0,3,4,7,0,0,0,0,81022,0,81022,0,403859,0,0,243,403859,404102,1560871
2020-01-04,2020,1,4,port506,Itaqui,Brazil,BRA,1,2,0,0,0,3,3,0,0,0,0,0,0,0,19649,560720,0,0,0,580370,580370,1560874
