date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2023-04-04,2023,4,4,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,30414,0,0,0,30414,30414,0,0,0,0,0,0,0,1564001
2023-04-05,2023,4,5,port929,Port Adelaide,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564002
2023-04-06,2023,4,6,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,0,0,0,7916,0,7916,0,0,0,0,496,0,496,1564003
2023-04-07,2023,4,7,port929,Port Adelaide,Australia,AUS,0,2,0,0,0,2,2,0,2505,0,0,0,2505,2505,0,29911,0,0,0,29911,29911,1564004
2023-04-08,2023,4,8,port929,Port Adelaide,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564005
2023-04-09,2023,4,9,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,26182,0,0,0,26182,26182,1564006
2023-04-10,2023,4,10,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564007
2023-04-11,2023,4,11,port929,Port Adelaide,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564008
2023-04-12,2023,4,12,port929,Port Adelaide,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564009
2023-04-13,2023,4,13,port929,Port Adelaide,Australia,AUS,0,0,1,0,1,1,2,0,0,2426,0,31949,2426,34376,0,0,0,0,0,0,0,1564010
2023-04-14,2023,4,14,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,34915,0,0,0,34915,34915,0,0,0,0,0,0,0,1564011
2023-04-15,2023,4,15,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,575,0,0,7916,575,8492,0,0,0,0,496,0,496,1564012
2023-04-16,2023,4,16,port929,Port Adelaide,Australia,AUS,0,1,1,0,1,2,3,0,0,461,0,0,461,461,0,25741,0,0,0,25741,25741,1564013
2023-04-17,2023,4,17,port929,Port Adelaide,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,2565,0,2565,0,0,0,0,0,0,0,1564014
2023-04-18,2023,4,18,port929,Port Adelaide,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,32741,407,0,0,33148,33148,1564015
2023-04-19,2023,4,19,port929,Port Adelaide,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,51210,0,0,0,51210,51210,1564016
2023-04-20,2023,4,20,port929,Port Adelaide,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,52449,0,0,0,52449,52449,1564017
2023-04-21,2023,4,21,port929,Port Adelaide,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564018
2023-04-22,2023,4,22,port929,Port Adelaide,Australia,AUS,0,2,0,0,1,2,3,0,22269,0,0,43982,22269,66251,0,0,0,0,0,0,0,1564019
2023-04-23,2023,4,23,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,0,0,0,1779,0,1779,0,0,0,0,0,0,0,1564020
2023-04-24,2023,4,24,port929,Port Adelaide,Australia,AUS,0,2,0,0,1,2,3,0,35272,0,0,31301,35272,66574,0,0,0,0,0,0,0,1564021
2023-04-25,2023,4,25,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,12699,0,0,0,12699,12699,1564022
2023-04-26,2023,4,26,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2191,0,0,0,2191,2191,1564023
2023-04-27,2023,4,27,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,4849,0,0,11595,4849,16445,0,0,0,0,0,0,0,1564024
2023-04-28,2023,4,28,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,23934,0,0,0,23934,23934,1564025
2023-04-29,2023,4,29,port929,Port Adelaide,Australia,AUS,0,0,2,0,0,2,2,0,0,1943,0,0,1943,1943,0,0,7978,0,0,7978,7978,1564026
2023-04-30,2023,4,30,port929,Port Adelaide,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564027
2023-05-01,2023,5,1,port929,Port Adelaide,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,48853,0,0,0,48853,48853,1564028
2023-05-02,2023,5,2,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,31157,0,0,0,31157,31157,1564029
2023-05-03,2023,5,3,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,5805,0,0,0,5805,5805,0,0,0,0,0,0,0,1564030
2023-05-04,2023,5,4,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,28955,0,0,0,28955,28955,1564031
2023-05-05,2023,5,5,port929,Port Adelaide,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,32936,0,32936,0,0,0,0,0,0,0,1564032
2023-05-06,2023,5,6,port929,Port Adelaide,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,30861,0,0,0,30861,30861,1564033
2023-05-07,2023,5,7,port929,Port Adelaide,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564034
2023-05-08,2023,5,8,port929,Port Adelaide,Australia,AUS,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,57371,0,0,0,57371,57371,1564035
2023-05-09,2023,5,9,port929,Port Adelaide,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,29200,0,0,0,29200,29200,1564036
2023-05-10,2023,5,10,port929,Port Adelaide,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564037
2023-05-11,2023,5,11,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,8143,0,0,0,8143,8143,1564038
2023-05-12,2023,5,12,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,3881,0,0,42210,3881,46092,0,0,0,0,0,0,0,1564039
2023-05-13,2023,5,13,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564040
2023-05-14,2023,5,14,port929,Port Adelaide,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564041
2023-05-15,2023,5,15,port929,Port Adelaide,Australia,AUS,0,1,0,0,0,1,1,0,11641,0,0,0,11641,11641,0,0,0,0,0,0,0,1564042
2023-05-16,2023,5,16,port929,Port Adelaide,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564043
2023-05-17,2023,5,17,port929,Port Adelaide,Australia,AUS,0,1,0,0,1,1,2,0,0,0,0,31895,0,31895,0,27275,0,0,0,27275,27275,1564044
