date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port955,Port Hedland,Australia,AUS,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,944007,0,0,0,944007,944007,1541328
2019-01-02,2019,1,2,port955,Port Hedland,Australia,AUS,0,8,1,0,0,9,9,0,0,1488,0,0,1488,1488,0,1461139,0,0,0,1461139,1461139,1541331
2019-01-03,2019,1,3,port955,Port Hedland,Australia,AUS,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,1199037,0,0,0,1199037,1199037,1541334
2019-01-04,2019,1,4,port955,Port Hedland,Australia,AUS,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,1325673,0,0,0,1325673,1325673,1541337
2019-01-05,2019,1,5,port955,Port Hedland,Australia,AUS,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,1753875,0,0,0,1753875,1753875,1541340
2019-01-06,2019,1,6,port955,Port Hedland,Australia,AUS,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,460007,0,0,0,460007,460007,1541343
2019-01-07,2019,1,7,port955,Port Hedland,Australia,AUS,0,10,1,0,0,11,11,0,0,3096,0,0,3096,3096,0,1480770,0,0,0,1480770,1480770,1541346
2019-01-08,2019,1,8,port955,Port Hedland,Australia,AUS,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,1105266,0,0,0,1105266,1105266,1541349
2019-01-09,2019,1,9,port955,Port Hedland,Australia,AUS,0,5,0,1,0,6,6,0,0,0,0,0,0,0,0,685152,0,0,0,685152,685152,1541352
2019-01-10,2019,1,10,port955,Port Hedland,Australia,AUS,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,702829,0,0,0,702829,702829,1541355
2019-01-11,2019,1,11,port955,Port Hedland,Australia,AUS,0,13,0,0,1,13,14,0,0,0,0,40680,0,40680,0,2308987,0,0,0,2308987,2308987,1541358
2019-01-12,2019,1,12,port955,Port Hedland,Australia,AUS,0,8,1,0,0,9,9,0,0,3256,0,0,3256,3256,0,1211574,0,0,0,1211574,1211574,1541360
2019-01-13,2019,1,13,port955,Port Hedland,Australia,AUS,0,9,0,0,1,9,10,0,0,0,0,26731,0,26731,0,1593706,0,0,510,1593706,1594216,1541363
2019-01-14,2019,1,14,port955,Port Hedland,Australia,AUS,0,6,1,0,0,7,7,0,0,0,0,0,0,0,0,912168,3706,0,0,915875,915875,1541366
2019-01-15,2019,1,15,port955,Port Hedland,Australia,AUS,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,1116406,0,0,0,1116406,1116406,1541369
2019-01-16,2019,1,16,port955,Port Hedland,Australia,AUS,0,5,0,0,1,5,6,0,0,0,0,10066,0,10066,0,826996,0,0,0,826996,826996,1541372
2019-01-17,2019,1,17,port955,Port Hedland,Australia,AUS,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,1241322,0,0,0,1241322,1241322,1541375
2019-01-18,2019,1,18,port955,Port Hedland,Australia,AUS,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,1416863,0,0,0,1416863,1416863,1541378
2019-01-19,2019,1,19,port955,Port Hedland,Australia,AUS,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,1247376,0,0,0,1247376,1247376,1541381
2019-01-20,2019,1,20,port955,Port Hedland,Australia,AUS,0,11,0,0,0,11,11,0,0,0,0,0,0,0,0,1661324,0,0,0,1661324,1661324,1541384
2019-01-21,2019,1,21,port955,Port Hedland,Australia,AUS,0,7,0,0,1,7,8,0,0,0,0,41814,0,41814,0,1239611,0,0,0,1239611,1239611,1541387
2019-01-22,2019,1,22,port955,Port Hedland,Australia,AUS,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,969155,0,0,0,969155,969155,1541390
2019-01-23,2019,1,23,port955,Port Hedland,Australia,AUS,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,1290483,0,0,0,1290483,1290483,1541393
2019-01-24,2019,1,24,port955,Port Hedland,Australia,AUS,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,1193293,0,0,0,1193293,1193293,1541396
2019-01-25,2019,1,25,port955,Port Hedland,Australia,AUS,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,770756,0,0,0,770756,770756,1541398
2019-01-26,2019,1,26,port955,Port Hedland,Australia,AUS,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,1270229,0,0,0,1270229,1270229,1541401
2019-01-27,2019,1,27,port955,Port Hedland,Australia,AUS,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,1405171,0,0,0,1405171,1405171,1541404
2019-01-28,2019,1,28,port955,Port Hedland,Australia,AUS,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,1367877,0,0,0,1367877,1367877,1541407
2019-01-29,2019,1,29,port955,Port Hedland,Australia,AUS,0,11,0,0,0,11,11,0,0,0,0,0,0,0,0,2079024,0,0,0,2079024,2079024,1541410
2019-01-30,2019,1,30,port955,Port Hedland,Australia,AUS,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,873976,0,0,0,873976,873976,1541413
2019-01-31,2019,1,31,port955,Port Hedland,Australia,AUS,0,9,0,0,1,9,10,0,0,0,0,39822,0,39822,0,1570950,0,0,0,1570950,1570950,1541416
2019-02-01,2019,2,1,port955,Port Hedland,Australia,AUS,0,10,0,0,1,10,11,0,0,0,0,0,0,0,0,1557941,0,0,10593,1557941,1568535,1541419
2019-02-02,2019,2,2,port955,Port Hedland,Australia,AUS,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,1000316,0,0,0,1000316,1000316,1541422
2019-02-03,2019,2,3,port955,Port Hedland,Australia,AUS,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,1129967,0,0,0,1129967,1129967,1541425
2019-02-04,2019,2,4,port955,Port Hedland,Australia,AUS,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,1360208,0,0,0,1360208,1360208,1541428
2019-02-05,2019,2,5,port955,Port Hedland,Australia,AUS,0,5,0,0,1,5,6,0,0,0,0,2831,0,2831,0,692300,0,0,137865,692300,830165,1541431
2019-02-06,2019,2,6,port955,Port Hedland,Australia,AUS,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,1398925,0,0,0,1398925,1398925,1541434
2019-02-07,2019,2,7,port955,Port Hedland,Australia,AUS,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,667358,0,0,0,667358,667358,1541436
