date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-09-24,2020,9,24,port959,Port Kembla,Australia,AUS,0,0,0,1,2,1,3,0,0,0,3231,12402,3231,15634,0,0,0,0,7842,0,7842,1936001
2020-09-25,2020,9,25,port959,Port Kembla,Australia,AUS,0,0,1,1,0,2,2,0,0,2369,0,0,2369,2369,0,0,0,0,0,0,0,1936002
2020-09-26,2020,9,26,port959,Port Kembla,Australia,AUS,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,75474,0,0,0,75474,75474,1936003
2020-09-27,2020,9,27,port959,Port Kembla,Australia,AUS,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,20133,0,0,0,20133,20133,1936004
2020-09-28,2020,9,28,port959,Port Kembla,Australia,AUS,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1936005
2020-09-29,2020,9,29,port959,Port Kembla,Australia,AUS,0,2,0,0,0,2,2,0,26826,0,0,0,26826,26826,0,42210,0,0,0,42210,42210,1936006
2020-09-30,2020,9,30,port959,Port Kembla,Australia,AUS,0,1,0,2,0,3,3,0,0,0,3331,0,3331,3331,0,33641,0,0,0,33641,33641,1936007
2020-10-01,2020,10,1,port959,Port Kembla,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,2323,0,2323,0,0,0,0,0,0,0,1936008
2020-10-02,2020,10,2,port959,Port Kembla,Australia,AUS,0,1,0,3,0,4,4,0,28838,0,5520,0,34358,34358,0,0,0,0,0,0,0,1936009
2020-10-03,2020,10,3,port959,Port Kembla,Australia,AUS,0,0,1,2,0,3,3,0,0,6429,0,0,6429,6429,0,0,0,512,0,512,512,1936010
2020-10-04,2020,10,4,port959,Port Kembla,Australia,AUS,0,1,0,1,0,2,2,0,49936,0,2794,0,52730,52730,0,0,0,0,0,0,0,1936011
