date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port960,Port Klang,Malaysia,MYS,23,1,6,0,2,30,32,151225,64927,14735,0,3024,230888,233913,74043,0,3405,0,7203,77449,84652,3595274
2019-01-02,2019,1,2,port960,Port Klang,Malaysia,MYS,16,1,1,0,1,18,19,58452,1663,1622,0,4837,61738,66576,31842,0,1135,0,736,32977,33713,3595276
2019-01-03,2019,1,3,port960,Port Klang,Malaysia,MYS,18,1,3,3,8,25,33,43647,0,1709,313,4195,45670,49865,58815,0,1511,233,56201,60559,116761,3595278
2019-01-04,2019,1,4,port960,Port Klang,Malaysia,MYS,17,2,3,0,6,22,28,78813,77574,4868,0,33491,161256,194747,47295,3601,2270,0,5384,53166,58551,3595280
2019-01-05,2019,1,5,port960,Port Klang,Malaysia,MYS,9,0,1,0,2,10,12,26785,0,87,0,3710,26872,30583,39961,0,375,0,7871,40337,48208,3595281
2019-01-06,2019,1,6,port960,Port Klang,Malaysia,MYS,11,1,0,0,3,12,15,27537,49751,0,0,14513,77288,91801,35508,0,0,0,2208,35508,37716,3595282
2019-01-07,2019,1,7,port960,Port Klang,Malaysia,MYS,24,3,7,0,9,34,43,50185,50844,4513,0,15999,105544,121543,96093,0,13643,0,8605,109736,118342,3595284
2019-01-08,2019,1,8,port960,Port Klang,Malaysia,MYS,20,1,4,1,8,26,34,38407,0,12101,0,52371,50508,102880,131769,8,1649,0,5208,133427,138636,3595286
2019-01-09,2019,1,9,port960,Port Klang,Malaysia,MYS,27,1,0,2,4,30,34,205968,0,0,0,16361,205968,222330,130651,30623,0,0,4553,161274,165828,3595288
2019-01-10,2019,1,10,port960,Port Klang,Malaysia,MYS,18,3,6,1,3,28,31,58323,4889,6987,0,7178,70200,77379,54367,0,4511,0,0,58878,58878,3595290
2019-01-11,2019,1,11,port960,Port Klang,Malaysia,MYS,23,0,6,0,7,29,36,127228,0,5042,0,24844,132270,157115,113571,0,9913,0,7824,123485,131309,3595292
2019-01-12,2019,1,12,port960,Port Klang,Malaysia,MYS,21,1,1,1,4,24,28,91221,70210,1622,0,7984,163054,171039,98043,0,1135,0,16573,99178,115751,3595294
2019-01-13,2019,1,13,port960,Port Klang,Malaysia,MYS,28,1,1,0,4,30,34,107962,0,6646,0,14902,114609,129512,111637,0,0,0,3912,111637,115549,3595296
2019-01-14,2019,1,14,port960,Port Klang,Malaysia,MYS,21,2,6,0,1,29,30,91888,49035,8841,0,3710,149765,153476,117523,3601,2953,0,3175,124078,127254,3595298
2019-01-15,2019,1,15,port960,Port Klang,Malaysia,MYS,24,1,4,0,4,29,33,43727,1444,1622,0,1151,46794,47946,164204,0,9506,0,907,173710,174618,3595300
2019-01-16,2019,1,16,port960,Port Klang,Malaysia,MYS,19,3,4,1,4,27,31,41192,32902,3140,0,11524,77235,88759,51299,4564,14750,0,10171,70614,80785,3595302
2019-01-17,2019,1,17,port960,Port Klang,Malaysia,MYS,5,0,1,0,6,6,12,8540,0,0,0,51982,8540,60522,25274,0,6422,0,9527,31696,41224,3595303
2019-01-18,2019,1,18,port960,Port Klang,Malaysia,MYS,9,2,1,0,2,12,14,33997,83268,1130,0,3024,118396,121420,42425,0,0,0,5087,42425,47513,3595305
2019-01-19,2019,1,19,port960,Port Klang,Malaysia,MYS,9,0,2,1,4,12,16,106215,0,1622,0,17302,107837,125140,77686,0,1921,0,2208,79608,81816,3595307
2019-01-20,2019,1,20,port960,Port Klang,Malaysia,MYS,9,1,1,1,2,12,14,56488,24207,1622,313,4837,82632,87470,23847,0,1135,233,988,25215,26204,3595309
2019-01-21,2019,1,21,port960,Port Klang,Malaysia,MYS,5,0,2,0,5,7,12,3124,0,6730,0,22930,9854,32785,31511,0,1135,0,3817,32646,36464,3595311
2019-01-22,2019,1,22,port960,Port Klang,Malaysia,MYS,25,3,4,0,10,32,42,110868,0,5472,0,20037,116341,136378,83981,5632,2232,0,12109,91847,103957,3595313
2019-01-23,2019,1,23,port960,Port Klang,Malaysia,MYS,27,4,5,0,5,36,41,75848,28619,6798,0,11462,111266,122729,109044,27801,6463,0,17543,143309,160852,3595315
2019-01-24,2019,1,24,port960,Port Klang,Malaysia,MYS,15,3,4,2,3,24,27,68216,15217,1253,313,15354,84999,100354,112977,33054,375,233,2822,146640,149463,3595317
2019-01-25,2019,1,25,port960,Port Klang,Malaysia,MYS,16,2,4,2,2,24,26,92720,56622,4685,313,10357,154341,164699,69196,3601,2646,233,736,75677,76413,3595319
2019-01-26,2019,1,26,port960,Port Klang,Malaysia,MYS,14,2,2,1,8,19,27,66473,81393,2627,1127,19170,151622,170792,66662,3601,2063,0,2650,72326,74977,3595321
2019-01-27,2019,1,27,port960,Port Klang,Malaysia,MYS,27,1,4,1,7,33,40,61205,44446,6125,2047,47216,113825,161042,126023,0,5903,0,10285,131926,142212,3595323
2019-01-28,2019,1,28,port960,Port Klang,Malaysia,MYS,20,0,2,1,3,23,26,107507,0,1622,0,9675,109129,118805,48242,0,8320,0,1732,56563,58295,3595325
2019-01-29,2019,1,29,port960,Port Klang,Malaysia,MYS,25,2,3,2,4,32,36,75589,11453,1300,2967,7862,91311,99173,88897,8,4903,1162,5941,94972,100914,3595327
2019-01-30,2019,1,30,port960,Port Klang,Malaysia,MYS,26,2,3,0,4,31,35,222260,30434,2892,0,8548,255587,264135,83767,7202,1135,0,32937,92104,125042,3595329
2019-01-31,2019,1,31,port960,Port Klang,Malaysia,MYS,12,0,1,0,5,13,18,51855,0,2315,0,24681,54170,78852,19612,0,0,0,3175,19612,22788,3595331
2019-02-01,2019,2,1,port960,Port Klang,Malaysia,MYS,13,2,2,1,0,18,18,60203,15217,1352,0,0,76773,76773,56807,3610,1598,0,0,62016,62016,3595333
2019-02-02,2019,2,2,port960,Port Klang,Malaysia,MYS,6,1,3,0,2,10,12,0,17021,9450,0,0,26471,26471,66391,0,1135,0,648,67527,68175,3595335
2019-02-03,2019,2,3,port960,Port Klang,Malaysia,MYS,3,0,0,0,0,3,3,4450,0,0,0,0,4450,4450,14763,0,0,0,0,14763,14763,3595337
2019-02-04,2019,2,4,port960,Port Klang,Malaysia,MYS,16,0,2,1,1,19,20,120698,0,10223,2296,0,133218,133218,39290,0,1135,0,0,40426,40426,3595339
2019-02-05,2019,2,5,port960,Port Klang,Malaysia,MYS,4,2,1,0,3,7,10,19437,30434,1622,0,14513,51494,66007,6859,7202,1135,0,2208,15196,17405,3595341
2019-02-06,2019,2,6,port960,Port Klang,Malaysia,MYS,5,1,0,0,3,6,9,30790,0,0,0,10469,30790,41260,2059,964,0,0,6993,3023,10017,3595343
2019-02-07,2019,2,7,port960,Port Klang,Malaysia,MYS,5,1,1,0,2,7,9,14741,0,1622,0,4837,16363,21201,73053,24690,1135,0,1272,98878,100151,3595345
2019-02-08,2019,2,8,port960,Port Klang,Malaysia,MYS,13,1,2,0,3,16,19,85853,0,5358,0,4837,91211,96049,38527,8,1135,0,39945,39671,79617,3595346
2019-02-09,2019,2,9,port960,Port Klang,Malaysia,MYS,9,0,1,0,3,10,13,38537,0,0,0,9197,38537,47734,23503,0,462,0,3912,23966,27878,3595348
2019-02-10,2019,2,10,port960,Port Klang,Malaysia,MYS,10,3,1,1,2,15,17,37254,58286,87,1089,1920,96717,98638,53521,29137,375,0,3081,83034,86116,3595350
2019-02-11,2019,2,11,port960,Port Klang,Malaysia,MYS,18,0,7,0,6,25,31,99975,0,5796,0,14707,105771,120478,71725,0,4084,0,4648,75810,80458,3595352
2019-02-12,2019,2,12,port960,Port Klang,Malaysia,MYS,14,1,3,0,4,18,22,32210,0,1725,0,12115,33935,46051,59399,2741,6888,0,1472,69029,70502,3595354
2019-02-13,2019,2,13,port960,Port Klang,Malaysia,MYS,21,2,0,0,7,23,30,117845,63129,0,0,74134,180974,255109,55871,0,0,0,736,55871,56607,3595356
2019-02-14,2019,2,14,port960,Port Klang,Malaysia,MYS,19,0,4,1,9,24,33,61682,0,8416,313,20145,70412,90557,120037,0,0,233,8465,120270,128736,3595358
2019-02-15,2019,2,15,port960,Port Klang,Malaysia,MYS,21,3,2,3,3,29,32,81386,21672,3368,0,4837,106427,111265,78815,6723,619,2157,12549,88316,100866,3595360
2019-02-16,2019,2,16,port960,Port Klang,Malaysia,MYS,19,3,2,0,3,24,27,76260,25472,87,0,8534,101819,110354,46537,16814,2010,0,736,65362,66099,3595362
2019-02-17,2019,2,17,port960,Port Klang,Malaysia,MYS,29,0,4,1,2,34,36,89970,0,6489,313,3710,96773,100484,103741,0,4540,233,3869,108514,112384,3595364
2019-02-18,2019,2,18,port960,Port Klang,Malaysia,MYS,21,1,5,0,4,27,31,81403,0,6140,0,3228,87543,90772,79333,0,3510,0,36258,82844,119102,3595366
2019-02-19,2019,2,19,port960,Port Klang,Malaysia,MYS,17,1,0,2,7,20,27,63667,15217,0,598,11911,79483,91394,177404,3601,0,0,19377,181005,200383,3595368
2019-02-20,2019,2,20,port960,Port Klang,Malaysia,MYS,22,3,2,1,4,28,32,106044,3283,87,0,19473,109415,128888,48701,16207,5276,0,38406,70184,108591,3595370
2019-02-21,2019,2,21,port960,Port Klang,Malaysia,MYS,11,0,3,2,4,16,20,32940,0,2589,313,10268,35843,46112,48049,0,375,233,12118,48658,60777,3595372
2019-02-22,2019,2,22,port960,Port Klang,Malaysia,MYS,18,3,6,0,3,27,30,43581,61213,8009,0,0,112805,112805,158683,0,3551,0,3536,162234,165771,3595374
2019-02-23,2019,2,23,port960,Port Klang,Malaysia,MYS,18,0,1,0,5,19,24,67734,0,1622,0,12953,69356,82310,80447,0,1135,0,1720,81582,83302,3595376
2019-02-24,2019,2,24,port960,Port Klang,Malaysia,MYS,18,0,1,1,5,20,25,58653,0,0,0,13386,58653,72040,52710,0,2664,0,47464,55374,102839,3595378
2019-02-25,2019,2,25,port960,Port Klang,Malaysia,MYS,11,4,1,0,1,16,17,72721,31576,1622,0,0,105919,105919,23117,39671,1135,0,765,63924,64689,3595380
2019-02-26,2019,2,26,port960,Port Klang,Malaysia,MYS,18,3,2,0,2,23,25,86478,61135,4685,0,13004,152299,165304,46539,35593,5058,0,0,87191,87191,3595382
2019-02-27,2019,2,27,port960,Port Klang,Malaysia,MYS,23,4,4,2,9,33,42,81572,11090,87,313,37846,93064,130911,80763,0,1284,233,42298,82281,124579,3595384
2019-02-28,2019,2,28,port960,Port Klang,Malaysia,MYS,16,2,7,1,1,26,27,103520,30434,6628,1762,619,142345,142965,49819,7202,3240,0,0,60262,60262,3595386
2019-03-01,2019,3,1,port960,Port Klang,Malaysia,MYS,20,2,2,1,6,25,31,77060,23214,3886,0,10406,104161,114567,61097,3601,5921,0,6046,70619,76666,3595388
