date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port992,Portland,Australia,AUS,0,0,1,0,1,1,2,0,0,0,0,2617,0,2617,0,0,0,0,69,0,69,2420011
2019-01-02,2019,1,2,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,0,1672,0,0,1672,1672,0,22485,4066,0,0,26552,26552,2420012
2019-01-03,2019,1,3,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,2435,0,0,2435,2435,0,0,0,0,0,0,0,2420013
2019-01-04,2019,1,4,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420014
2019-01-05,2019,1,5,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,2687,0,0,2687,2687,0,0,0,0,0,0,0,2420015
2019-01-06,2019,1,6,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420016
2019-01-07,2019,1,7,port992,Portland,Australia,AUS,0,0,3,0,0,3,3,0,0,2040,0,0,2040,2040,0,0,15426,0,0,15426,15426,2420017
2019-01-08,2019,1,8,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420018
2019-01-09,2019,1,9,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,4615,0,0,4615,4615,0,0,0,0,0,0,0,2420019
2019-01-10,2019,1,10,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,8115,41,0,0,8156,8156,0,11845,1087,0,0,12933,12933,2420020
2019-01-11,2019,1,11,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,7999,0,0,0,7999,7999,2420021
2019-01-12,2019,1,12,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420022
2019-01-13,2019,1,13,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7000,0,0,7000,7000,2420023
2019-01-14,2019,1,14,port992,Portland,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,59210,0,0,0,59210,59210,2420024
2019-01-15,2019,1,15,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420025
2019-01-16,2019,1,16,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420026
2019-01-17,2019,1,17,port992,Portland,Australia,AUS,0,1,0,0,1,1,2,0,482,0,0,0,482,482,0,0,0,0,0,0,0,2420027
2019-01-18,2019,1,18,port992,Portland,Australia,AUS,0,0,2,0,0,2,2,0,0,41,0,0,41,41,0,0,16426,0,0,16426,16426,2420028
2019-01-19,2019,1,19,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420029
2019-01-20,2019,1,20,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,13644,0,0,0,13644,13644,2420030
2019-01-21,2019,1,21,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420031
2019-01-22,2019,1,22,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,23304,0,0,0,23304,23304,0,0,0,0,0,0,0,2420032
2019-01-23,2019,1,23,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19122,0,0,0,19122,19122,2420033
2019-01-24,2019,1,24,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420034
2019-01-25,2019,1,25,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,34352,0,0,0,34352,34352,0,0,0,0,0,0,0,2420035
2019-01-26,2019,1,26,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,15855,0,0,0,15855,15855,2420036
2019-01-27,2019,1,27,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420037
2019-01-28,2019,1,28,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6708,0,0,6708,6708,2420038
2019-01-29,2019,1,29,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,1672,0,0,1672,1672,0,0,4066,0,0,4066,4066,2420039
2019-01-30,2019,1,30,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420040
2019-01-31,2019,1,31,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420041
2019-02-01,2019,2,1,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420042
2019-02-02,2019,2,2,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420043
2019-02-03,2019,2,3,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,312,0,0,312,312,2420044
2019-02-04,2019,2,4,port992,Portland,Australia,AUS,0,1,1,0,1,2,3,0,0,7046,0,6754,7046,13800,0,0,0,0,0,0,0,2420045
2019-02-05,2019,2,5,port992,Portland,Australia,AUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,23176,0,0,0,23176,23176,2420046
2019-02-06,2019,2,6,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420047
2019-02-07,2019,2,7,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,23054,0,0,0,23054,23054,2420048
2019-02-08,2019,2,8,port992,Portland,Australia,AUS,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420049
2019-02-09,2019,2,9,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,32321,2086,0,0,34408,34408,0,0,0,0,0,0,0,2420050
2019-02-10,2019,2,10,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,19473,0,0,0,19473,19473,0,0,0,0,0,0,0,2420051
2019-02-11,2019,2,11,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420052
2019-02-12,2019,2,12,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,430,0,0,430,430,0,0,0,0,0,0,0,2420053
2019-02-13,2019,2,13,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4390,0,0,4390,4390,2420054
2019-02-14,2019,2,14,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,24907,0,0,0,24907,24907,2420055
2019-02-15,2019,2,15,port992,Portland,Australia,AUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,17051,0,0,17051,17051,2420056
2019-02-16,2019,2,16,port992,Portland,Australia,AUS,0,2,0,0,0,2,2,0,37799,0,0,0,37799,37799,0,0,0,0,0,0,0,2420057
2019-02-17,2019,2,17,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420058
2019-02-18,2019,2,18,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,11631,0,0,0,11631,11631,0,0,622,0,0,622,622,2420059
2019-02-19,2019,2,19,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420060
2019-02-20,2019,2,20,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,8115,0,0,0,8115,8115,0,11845,0,0,0,11845,11845,2420061
2019-02-21,2019,2,21,port992,Portland,Australia,AUS,0,2,0,0,0,2,2,0,21008,0,0,0,21008,21008,0,29646,0,0,0,29646,29646,2420062
2019-02-22,2019,2,22,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,16827,11687,0,0,28515,28515,2420063
2019-02-23,2019,2,23,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420064
2019-02-24,2019,2,24,port992,Portland,Australia,AUS,0,1,0,0,1,1,2,0,0,0,0,2617,0,2617,0,0,0,0,69,0,69,2420065
2019-02-25,2019,2,25,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,0,3921,0,0,3921,3921,0,20824,0,0,0,20824,20824,2420066
2019-02-26,2019,2,26,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,34639,0,0,0,34639,34639,2420067
2019-02-27,2019,2,27,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420068
2019-02-28,2019,2,28,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2922,0,0,0,2922,2922,2420069
2019-03-01,2019,3,1,port992,Portland,Australia,AUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,46245,11644,0,0,57890,57890,2420070
2019-03-02,2019,3,2,port992,Portland,Australia,AUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19509,0,0,0,19509,19509,2420071
2019-03-03,2019,3,3,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420072
2019-03-04,2019,3,4,port992,Portland,Australia,AUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420073
