date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-08-08,2021,8,8,port993,"Portland, OR",United States,USA,0,0,0,1,0,1,1,0,0,0,4638,0,4638,4638,0,0,0,0,0,0,0,1530001
2021-08-09,2021,8,9,port993,"Portland, OR",United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530002
2021-08-10,2021,8,10,port993,"Portland, OR",United States,USA,0,2,0,1,1,3,4,0,0,0,3490,10451,3490,13942,0,63909,0,0,0,63909,63909,1530003
2019-05-31,2019,5,31,port993,"Portland, OR",United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530005
2021-08-11,2021,8,11,port993,"Portland, OR",United States,USA,0,1,0,0,0,1,1,0,971,0,0,0,971,971,0,37184,0,0,0,37184,37184,1530006
2021-08-12,2021,8,12,port993,"Portland, OR",United States,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9445,0,9445,1530007
2021-08-13,2021,8,13,port993,"Portland, OR",United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530008
2021-08-14,2021,8,14,port993,"Portland, OR",United States,USA,0,2,0,0,0,2,2,0,971,0,0,0,971,971,0,73212,0,0,0,73212,73212,1530009
2021-08-15,2021,8,15,port993,"Portland, OR",United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530010
2021-08-16,2021,8,16,port993,"Portland, OR",United States,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530011
2021-08-17,2021,8,17,port993,"Portland, OR",United States,USA,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,37746,7895,0,0,45641,45641,1530012
2021-08-18,2021,8,18,port993,"Portland, OR",United States,USA,0,2,0,1,1,3,4,0,971,0,0,0,971,971,0,96305,0,1912,11004,98218,109223,1530013
