date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port1021,Prince Rupert,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,18462,0,0,0,18462,18462,2008128
2019-01-02,2019,1,2,port1021,Prince Rupert,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19779,0,0,0,19779,19779,2008129
2019-01-03,2019,1,3,port1021,Prince Rupert,Canada,CAN,1,1,0,0,0,2,2,18737,0,0,0,0,18737,18737,0,54735,0,0,0,54735,54735,2008130
2019-01-04,2019,1,4,port1021,Prince Rupert,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008131
2019-01-05,2019,1,5,port1021,Prince Rupert,Canada,CAN,1,1,0,0,0,2,2,14232,0,0,0,0,14232,14232,0,47929,0,0,0,47929,47929,2008132
2019-01-06,2019,1,6,port1021,Prince Rupert,Canada,CAN,0,2,0,0,0,2,2,0,993,0,0,0,993,993,0,105642,0,0,0,105642,105642,2008133
2019-01-07,2019,1,7,port1021,Prince Rupert,Canada,CAN,0,2,0,0,0,2,2,0,689,0,0,0,689,689,0,60496,0,0,0,60496,60496,2008134
2019-01-08,2019,1,8,port1021,Prince Rupert,Canada,CAN,1,0,0,0,0,1,1,8545,0,0,0,0,8545,8545,0,0,0,0,0,0,0,2008135
2019-01-09,2019,1,9,port1021,Prince Rupert,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,51909,0,0,0,51909,51909,2008136
2019-01-10,2019,1,10,port1021,Prince Rupert,Canada,CAN,1,1,0,0,0,2,2,2440,0,0,0,0,2440,2440,0,85864,0,0,0,85864,85864,2008137
2019-01-11,2019,1,11,port1021,Prince Rupert,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008138
