date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-04-18,2020,4,18,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696001
2020-04-19,2020,4,19,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,72472,0,0,0,72472,72472,2696002
2020-04-20,2020,4,20,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696004
2020-04-21,2020,4,21,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,47790,0,0,0,47790,47790,2696005
2020-04-22,2020,4,22,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,30662,0,0,0,30662,30662,2696006
2020-04-23,2020,4,23,port1027,Puerto Bolivar,Colombia,COL,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,195393,0,0,0,195393,195393,2696007
2020-04-24,2020,4,24,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696008
2020-04-25,2020,4,25,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696009
2020-04-26,2020,4,26,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696010
2020-04-27,2020,4,27,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696011
2020-04-28,2020,4,28,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,166732,0,0,0,166732,166732,2696012
2020-04-29,2020,4,29,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696013
2020-04-30,2020,4,30,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696014
2020-05-01,2020,5,1,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,165937,0,0,0,165937,165937,2696015
2020-05-02,2020,5,2,port1027,Puerto Bolivar,Colombia,COL,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,28779,0,0,0,28779,28779,2696016
2020-05-03,2020,5,3,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696017
2020-05-04,2020,5,4,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696018
2020-05-05,2020,5,5,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696019
2020-05-06,2020,5,6,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696020
2020-05-07,2020,5,7,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696021
2020-05-08,2020,5,8,port1027,Puerto Bolivar,Colombia,COL,0,0,1,0,0,1,1,0,0,1309,0,0,1309,1309,0,0,3165,0,0,3165,3165,2696022
2020-05-09,2020,5,9,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696023
2020-05-10,2020,5,10,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696024
2020-05-11,2020,5,11,port1027,Puerto Bolivar,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696025
