date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-07-24,2019,7,24,port1069,Qingdao Port,China,CHN,19,4,4,1,2,28,30,429096,90891,5752,0,0,525739,525739,309541,197264,1907,3231,0,511945,511945,32807
2019-07-25,2019,7,25,port1069,Qingdao Port,China,CHN,19,3,2,3,1,27,28,115778,87966,4749,479,105264,208974,314238,450968,4427,2139,3318,0,460852,460852,32809
2019-07-26,2019,7,26,port1069,Qingdao Port,China,CHN,20,4,3,0,7,27,34,528106,217740,5827,0,292975,751674,1044649,337862,4427,1069,0,4199,343359,347559,32812
2019-07-27,2019,7,27,port1069,Qingdao Port,China,CHN,24,0,3,1,0,28,28,535854,0,12064,0,0,547919,547919,439411,0,1482,0,0,440894,440894,32815
2019-07-28,2019,7,28,port1069,Qingdao Port,China,CHN,20,5,0,0,4,25,29,408095,230548,0,0,137121,638644,775765,242773,8171,0,0,60228,250945,311173,32818
2019-07-29,2019,7,29,port1069,Qingdao Port,China,CHN,14,5,4,0,4,23,27,160670,200554,6278,0,61646,367502,429149,328537,10062,1069,0,7441,339669,347111,32821
2019-07-30,2019,7,30,port1069,Qingdao Port,China,CHN,16,4,8,0,4,28,32,453809,382924,11535,0,198,848269,848468,339692,960,11274,0,55573,351927,407500,32823
2019-07-31,2019,7,31,port1069,Qingdao Port,China,CHN,18,5,1,0,5,24,29,200139,396190,13678,0,77245,610008,687254,547699,32072,0,0,37389,579772,617161,32825
2019-08-01,2019,8,1,port1069,Qingdao Port,China,CHN,14,4,2,0,3,20,23,672398,298905,14349,0,358730,985652,1344382,228465,8171,1069,0,0,237707,237707,32828
2019-08-02,2019,8,2,port1069,Qingdao Port,China,CHN,24,2,1,1,2,28,30,153173,134309,6447,0,0,293930,293930,341926,4427,0,1535,1179,347889,349068,32831
2019-08-03,2019,8,3,port1069,Qingdao Port,China,CHN,15,6,2,2,5,25,30,173735,374785,16215,156,21016,564893,585910,185519,17549,4282,2222,18089,209575,227664,32834
2019-08-04,2019,8,4,port1069,Qingdao Port,China,CHN,29,5,4,0,2,38,40,693833,436162,26741,0,276827,1156738,1433565,356672,6437,1248,0,0,364358,364358,32837
2019-08-05,2019,8,5,port1069,Qingdao Port,China,CHN,20,2,3,0,5,25,30,1093122,71729,2586,0,128440,1167438,1295879,520539,0,2425,0,58735,522964,581700,32840
2019-08-06,2019,8,6,port1069,Qingdao Port,China,CHN,18,4,6,0,3,28,31,485818,376753,23873,0,33843,886445,920289,483621,4427,1069,0,47813,489117,536931,32843
2019-08-07,2019,8,7,port1069,Qingdao Port,China,CHN,10,3,2,1,3,16,19,87114,74745,1672,0,98043,163532,261575,232142,0,4880,2984,11652,240007,251660,32846
2019-08-08,2019,8,8,port1069,Qingdao Port,China,CHN,17,3,3,2,3,25,28,163529,133722,13592,0,0,310844,310844,447584,16871,2139,4119,3672,470714,474387,32849
2019-08-09,2019,8,9,port1069,Qingdao Port,China,CHN,18,1,2,2,4,23,27,92007,64965,3125,156,35202,160255,195458,305978,0,3252,1200,42060,310431,352492,32852
2019-08-10,2019,8,10,port1069,Qingdao Port,China,CHN,1,0,1,0,0,2,2,0,0,1672,0,0,1672,1672,10877,0,179,0,0,11056,11056,32855
2019-08-11,2019,8,11,port1069,Qingdao Port,China,CHN,1,0,0,1,0,2,2,0,0,0,156,0,156,156,145753,0,0,1200,0,146953,146953,32858
2019-08-12,2019,8,12,port1069,Qingdao Port,China,CHN,19,6,5,0,3,30,33,501163,562727,6422,0,32781,1070313,1103094,263189,0,3244,0,0,266433,266433,32861
2019-08-13,2019,8,13,port1069,Qingdao Port,China,CHN,26,3,4,1,5,34,39,193350,176175,21125,156,460776,390808,851585,542160,8854,9209,1200,114412,561425,675837,32864
2019-08-14,2019,8,14,port1069,Qingdao Port,China,CHN,16,5,7,0,2,28,30,789792,250412,10468,0,0,1050673,1050673,319744,8171,7037,0,3646,334953,338600,32865
2019-08-15,2019,8,15,port1069,Qingdao Port,China,CHN,24,2,3,0,3,29,32,198727,59457,2700,0,157858,260884,418743,571794,4427,6527,0,43202,582749,625951,32866
2019-08-16,2019,8,16,port1069,Qingdao Port,China,CHN,26,8,2,0,4,36,40,229913,366430,10686,0,111593,607029,718623,462851,40708,1069,0,13682,504629,518311,32867
2019-08-17,2019,8,17,port1069,Qingdao Port,China,CHN,18,2,3,0,7,23,30,91502,202083,12232,0,137238,305819,443057,383172,0,1248,0,32147,384421,416569,32868
2019-08-18,2019,8,18,port1069,Qingdao Port,China,CHN,21,5,4,0,2,30,32,396531,471759,17572,0,0,885863,885863,348967,4427,6168,0,39551,359563,399114,32869
2019-08-19,2019,8,19,port1069,Qingdao Port,China,CHN,18,3,5,3,4,29,33,119699,183101,23401,156,684291,326359,1010650,423984,22954,1752,4793,5342,453485,458827,32870
2019-08-20,2019,8,20,port1069,Qingdao Port,China,CHN,19,4,1,0,9,24,33,699452,238318,2374,0,643682,940146,1583829,415488,27858,1069,0,26982,444417,471399,32871
2019-08-21,2019,8,21,port1069,Qingdao Port,China,CHN,21,5,4,0,6,30,36,362064,314189,4840,0,111264,681093,792358,500984,0,1069,0,20277,502054,522331,32872
2019-08-22,2019,8,22,port1069,Qingdao Port,China,CHN,19,3,4,0,6,26,32,577442,244806,8602,0,261719,830851,1092571,394018,4427,2378,0,50297,400824,451121,32873
2019-08-23,2019,8,23,port1069,Qingdao Port,China,CHN,18,5,7,0,4,30,34,104243,110808,14495,0,11780,229547,241328,379868,31257,12987,0,11093,424113,435207,32874
2019-08-24,2019,8,24,port1069,Qingdao Port,China,CHN,15,1,3,1,5,20,25,222418,166001,11715,0,255636,400134,655770,330355,0,1829,0,6206,332185,338392,32875
2019-08-25,2019,8,25,port1069,Qingdao Port,China,CHN,22,8,3,0,4,33,37,120618,220764,8278,0,69273,349661,418935,406926,59341,2878,0,23035,469146,492182,32876
2019-08-26,2019,8,26,port1069,Qingdao Port,China,CHN,18,6,3,0,5,27,32,154519,375797,2973,0,315893,533290,849183,563528,8854,5376,0,5342,577759,583102,32877
2019-08-27,2019,8,27,port1069,Qingdao Port,China,CHN,18,0,4,0,4,22,26,693874,0,4458,0,113068,698333,811401,409725,0,1618,0,13704,411344,425049,32878
2019-08-28,2019,8,28,port1069,Qingdao Port,China,CHN,18,4,2,0,4,24,28,367936,231893,0,0,274155,599830,873985,593365,0,3670,0,6951,597035,603987,32879
2019-08-29,2019,8,29,port1069,Qingdao Port,China,CHN,20,4,6,0,5,30,35,47742,279202,6961,0,0,333906,333906,541020,4427,5378,0,82333,550826,633160,32880
2019-08-30,2019,8,30,port1069,Qingdao Port,China,CHN,20,4,0,0,8,24,32,72443,204852,0,0,160639,277296,437936,419893,4427,0,0,101101,424320,525421,32881
2019-08-31,2019,8,31,port1069,Qingdao Port,China,CHN,17,5,3,0,3,25,28,249351,333283,3887,0,15884,586521,602406,113032,56706,1069,0,28179,170808,198987,32882
2019-09-01,2019,9,1,port1069,Qingdao Port,China,CHN,13,1,5,1,3,20,23,201368,7506,8914,156,291090,217945,509036,229176,0,6363,1200,0,236740,236740,32883
2019-09-02,2019,9,2,port1069,Qingdao Port,China,CHN,21,2,2,0,5,25,30,519285,183904,18322,0,11930,721512,733442,389118,13349,0,0,14985,402467,417453,32884
2019-09-03,2019,9,3,port1069,Qingdao Port,China,CHN,19,8,1,0,2,28,30,445443,586301,2374,0,1334,1034120,1035455,587718,13281,1069,0,0,602069,602069,32885
2019-09-04,2019,9,4,port1069,Qingdao Port,China,CHN,15,4,5,0,5,24,29,367915,100357,5143,0,180579,473416,653996,560881,268,6909,0,11572,568059,579632,32886
2019-09-05,2019,9,5,port1069,Qingdao Port,China,CHN,16,6,3,0,5,25,30,77040,249892,2374,0,9963,329306,339270,391804,49248,2160,0,27451,443212,470663,32887
2019-09-06,2019,9,6,port1069,Qingdao Port,China,CHN,16,2,0,0,2,18,20,65794,167898,0,0,32781,233692,266473,275941,0,0,0,1527,275941,277469,32888
2019-09-07,2019,9,7,port1069,Qingdao Port,China,CHN,15,2,6,2,5,25,30,164889,117158,2985,0,60915,285033,345949,238849,0,985,3076,38286,242910,281197,32889
2019-09-08,2019,9,8,port1069,Qingdao Port,China,CHN,23,4,1,0,2,28,30,325661,408517,4824,0,142582,739003,881585,474684,4427,0,0,0,479111,479111,32890
2019-09-09,2019,9,9,port1069,Qingdao Port,China,CHN,13,6,3,1,5,23,28,198508,358896,7910,156,113062,565472,678535,211123,13756,0,1200,13346,226081,239427,32891
2019-09-10,2019,9,10,port1069,Qingdao Port,China,CHN,21,4,2,0,5,27,32,320975,241621,4047,0,327596,566644,894240,419627,0,1248,0,22187,420876,443063,32892
2019-09-11,2019,9,11,port1069,Qingdao Port,China,CHN,19,3,1,0,5,23,28,80736,213588,937,0,85535,295262,380797,370390,0,0,0,4865,370390,375256,32893
2019-09-12,2019,9,12,port1069,Qingdao Port,China,CHN,22,8,2,0,3,32,35,206242,323386,15943,0,173225,545571,718796,413370,7152,1069,0,47813,421592,469405,32894
2019-09-13,2019,9,13,port1069,Qingdao Port,China,CHN,23,4,4,0,9,31,40,421603,260421,8566,0,177565,690590,868155,487468,0,3208,0,61664,490677,552342,32895
2019-09-14,2019,9,14,port1069,Qingdao Port,China,CHN,17,5,1,0,4,23,27,87243,184218,0,0,38561,271461,310023,307677,4427,1573,0,17263,313678,330942,32896
2019-09-15,2019,9,15,port1069,Qingdao Port,China,CHN,17,3,3,0,6,23,29,825472,274486,4989,0,130464,1104949,1235413,122240,0,2139,0,18689,124380,143069,32897
