"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2020-05-21","port1099","Richards Bay","South Africa","ZAF","0","6","0","0","0","6","6","0","0","0","0","0","0","0","0","516469","0","0","0","516469","516469"
"2020-05-22","port1099","Richards Bay","South Africa","ZAF","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","108756","0","0","0","108756","108756"
"2020-05-23","port1099","Richards Bay","South Africa","ZAF","0","4","1","0","3","5","8","0","0","0","0","30858","0","30858","0","316859","16179","0","7846","333039","340885"
"2020-05-24","port1099","Richards Bay","South Africa","ZAF","0","4","0","0","1","4","5","0","0","0","0","64","0","64","0","244563","0","0","0","244563","244563"
"2020-05-25","port1099","Richards Bay","South Africa","ZAF","1","3","0","0","0","4","4","0","0","0","0","0","0","0","34985","201327","0","0","0","236312","236312"
"2020-05-26","port1099","Richards Bay","South Africa","ZAF","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","106591","0","0","0","106591","106591"
"2020-05-27","port1099","Richards Bay","South Africa","ZAF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2020-05-28","port1099","Richards Bay","South Africa","ZAF","1","6","0","0","0","7","7","0","0","0","0","0","0","0","3951","376554","0","0","0","380506","380506"
"2020-05-29","port1099","Richards Bay","South Africa","ZAF","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","129439","0","0","0","129439","129439"
"2020-05-30","port1099","Richards Bay","South Africa","ZAF","0","4","0","0","1","4","5","0","0","0","0","4178","0","4178","0","262517","0","0","7034","262517","269551"
"2020-05-31","port1099","Richards Bay","South Africa","ZAF","0","7","0","0","1","7","8","0","0","0","0","21561","0","21561","0","373768","0","0","0","373768","373768"
"2020-06-01","port1099","Richards Bay","South Africa","ZAF","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","187854","0","0","0","187854","187854"
"2020-06-02","port1099","Richards Bay","South Africa","ZAF","0","4","0","0","2","4","6","0","0","0","0","42645","0","42645","0","182794","0","0","0","182794","182794"
"2020-06-03","port1099","Richards Bay","South Africa","ZAF","0","6","0","0","0","6","6","0","0","0","0","0","0","0","0","458484","0","0","0","458484","458484"
"2020-06-04","port1099","Richards Bay","South Africa","ZAF","0","3","0","0","1","3","4","0","0","0","0","0","0","0","0","260817","0","0","6981","260817","267799"
"2020-06-05","port1099","Richards Bay","South Africa","ZAF","0","3","2","0","2","5","7","0","0","0","0","4178","0","4178","0","153731","12917","0","7929","166648","174577"
"2020-06-06","port1099","Richards Bay","South Africa","ZAF","0","3","1","0","1","4","5","0","0","0","0","13626","0","13626","0","166025","16136","0","812","182162","182974"
"2020-06-07","port1099","Richards Bay","South Africa","ZAF","0","3","0","0","1","3","4","0","0","0","0","4178","0","4178","0","190858","0","0","7034","190858","197892"
"2020-06-08","port1099","Richards Bay","South Africa","ZAF","0","5","0","0","1","5","6","0","0","0","0","0","0","0","0","410897","0","0","6349","410897","417246"
"2020-06-09","port1099","Richards Bay","South Africa","ZAF","0","5","0","0","1","5","6","0","0","0","0","4178","0","4178","0","307433","0","0","7034","307433","314467"
"2020-06-10","port1099","Richards Bay","South Africa","ZAF","0","5","0","0","1","5","6","0","0","0","0","13626","0","13626","0","261805","0","0","812","261805","262618"
"2020-06-11","port1099","Richards Bay","South Africa","ZAF","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","162706","0","0","0","162706","162706"
"2020-06-12","port1099","Richards Bay","South Africa","ZAF","0","3","0","0","1","3","4","0","0","0","0","0","0","0","0","213024","0","0","313","213024","213337"
