date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-11-25,2019,11,25,port1104,Rio Grande,Brazil,BRA,0,3,0,0,0,3,3,0,64198,0,0,0,64198,64198,0,68214,0,0,0,68214,68214,1624392
2019-11-26,2019,11,26,port1104,Rio Grande,Brazil,BRA,1,0,1,0,0,2,2,0,0,492,0,0,492,492,3238,0,0,0,0,3238,3238,1624431
2019-11-27,2019,11,27,port1104,Rio Grande,Brazil,BRA,3,1,0,1,3,5,8,0,8716,0,0,342,8716,9059,3606,23801,0,2768,16872,30176,47048,1624436
2019-11-28,2019,11,28,port1104,Rio Grande,Brazil,BRA,1,1,0,0,1,2,3,0,0,0,0,0,0,0,9805,65279,0,0,19161,75085,94246,1624440
2019-11-29,2019,11,29,port1104,Rio Grande,Brazil,BRA,1,3,1,0,1,5,6,0,30083,1110,0,27936,31194,59131,6458,43454,0,0,0,49912,49912,1624444
2019-11-30,2019,11,30,port1104,Rio Grande,Brazil,BRA,2,2,0,0,0,4,4,0,0,0,0,0,0,0,30866,35311,0,0,0,66178,66178,1624448
2019-12-01,2019,12,1,port1104,Rio Grande,Brazil,BRA,2,1,1,0,0,4,4,0,0,0,0,0,0,0,8593,70875,0,0,0,79469,79469,1624452
2019-12-02,2019,12,2,port1104,Rio Grande,Brazil,BRA,1,2,0,0,0,3,3,0,0,0,0,0,0,0,1699,52298,0,0,0,53998,53998,1624455
2019-12-03,2019,12,3,port1104,Rio Grande,Brazil,BRA,1,0,0,0,0,1,1,719,0,0,0,0,719,719,5626,0,0,0,0,5626,5626,1624457
2019-12-04,2019,12,4,port1104,Rio Grande,Brazil,BRA,2,1,0,0,0,3,3,561,0,0,0,0,561,561,1717,1453,0,0,0,3171,3171,1624461
2019-12-05,2019,12,5,port1104,Rio Grande,Brazil,BRA,2,4,0,0,0,6,6,0,0,0,0,0,0,0,10930,129649,0,0,0,140579,140579,1624465
2019-12-06,2019,12,6,port1104,Rio Grande,Brazil,BRA,1,3,0,0,2,4,6,0,35204,0,0,0,35204,35204,0,66818,0,0,23202,66818,90021,1624469
2019-12-07,2019,12,7,port1104,Rio Grande,Brazil,BRA,1,3,1,0,0,5,5,0,2406,1916,0,0,4323,4323,14128,29668,0,0,0,43796,43796,1624473
2019-12-08,2019,12,8,port1104,Rio Grande,Brazil,BRA,1,2,1,1,1,5,6,0,30531,1855,0,0,32386,32386,16501,66942,6027,515,0,89986,89986,1624477
2019-12-09,2019,12,9,port1104,Rio Grande,Brazil,BRA,1,2,0,0,2,3,5,0,0,0,0,0,0,0,9937,43038,0,0,0,52975,52975,1624481
2019-12-10,2019,12,10,port1104,Rio Grande,Brazil,BRA,3,2,1,0,0,6,6,719,694,0,0,0,1413,1413,13965,2770,1427,0,0,18163,18163,1624485
2019-12-11,2019,12,11,port1104,Rio Grande,Brazil,BRA,2,4,0,0,1,6,7,719,16722,0,0,16414,17441,33856,17069,53956,0,0,0,71026,71026,1624489
2019-12-12,2019,12,12,port1104,Rio Grande,Brazil,BRA,0,3,0,0,0,3,3,0,25170,0,0,0,25170,25170,0,44829,0,0,0,44829,44829,1624493
2019-12-13,2019,12,13,port1104,Rio Grande,Brazil,BRA,1,2,0,0,2,3,5,0,17432,0,0,0,17432,17432,8030,47602,0,0,10762,55633,66396,1624496
2019-12-14,2019,12,14,port1104,Rio Grande,Brazil,BRA,2,0,0,0,0,2,2,1439,0,0,0,0,1439,1439,11252,0,0,0,0,11252,11252,1624500
2019-12-15,2019,12,15,port1104,Rio Grande,Brazil,BRA,2,2,0,0,1,4,5,719,17432,0,0,0,18152,18152,15891,47602,0,0,33929,63493,97423,1624504
2019-12-16,2019,12,16,port1104,Rio Grande,Brazil,BRA,0,4,0,0,1,4,5,0,2727,0,0,0,2727,2727,0,38487,0,0,0,38487,38487,1624508
2019-12-17,2019,12,17,port1104,Rio Grande,Brazil,BRA,2,2,2,0,0,6,6,9188,71492,3710,0,0,84391,84391,3712,0,12055,0,0,15768,15768,1624512
2019-12-18,2019,12,18,port1104,Rio Grande,Brazil,BRA,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2339,0,2339,1624516
2019-12-19,2019,12,19,port1104,Rio Grande,Brazil,BRA,1,3,1,0,1,5,6,719,17432,0,0,5132,18152,23284,5626,111346,13214,0,5742,130186,135929,1624520
2019-12-20,2019,12,20,port1104,Rio Grande,Brazil,BRA,2,2,0,0,1,4,5,1284,8716,0,0,0,10000,10000,5626,52562,0,0,0,58189,58189,1624524
2019-12-21,2019,12,21,port1104,Rio Grande,Brazil,BRA,1,1,1,0,2,3,5,719,0,231,0,13820,951,14772,5626,78991,1660,0,5742,86278,92021,1624528
2019-12-22,2019,12,22,port1104,Rio Grande,Brazil,BRA,2,1,0,0,0,3,3,719,0,0,0,0,719,719,5626,0,0,0,0,5626,5626,1624532
2019-12-23,2019,12,23,port1104,Rio Grande,Brazil,BRA,1,3,0,0,3,4,7,0,17432,0,0,8758,17432,26191,9054,47602,0,0,1425,56657,58082,1624535
2019-12-24,2019,12,24,port1104,Rio Grande,Brazil,BRA,2,2,0,0,0,4,4,719,9881,0,0,0,10601,10601,15915,23801,0,0,0,39717,39717,1624537
2019-12-25,2019,12,25,port1104,Rio Grande,Brazil,BRA,2,1,0,0,0,3,3,719,680,0,0,0,1399,1399,22524,0,0,0,0,22524,22524,1624541
2019-12-26,2019,12,26,port1104,Rio Grande,Brazil,BRA,3,2,0,1,1,6,7,13204,2729,0,0,621,15934,16556,10453,0,0,0,0,10453,10453,1624545
2019-12-27,2019,12,27,port1104,Rio Grande,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1624549
2019-12-28,2019,12,28,port1104,Rio Grande,Brazil,BRA,2,1,1,0,2,4,6,719,0,1855,0,0,2575,2575,8846,64372,6027,0,0,79246,79246,1624553
2019-12-29,2019,12,29,port1104,Rio Grande,Brazil,BRA,0,2,0,0,1,2,3,0,35401,0,0,0,35401,35401,0,0,0,0,3158,0,3158,1624557
2019-12-30,2019,12,30,port1104,Rio Grande,Brazil,BRA,0,1,0,0,0,1,1,0,2912,0,0,0,2912,2912,0,0,0,0,0,0,0,1624561
2019-12-31,2019,12,31,port1104,Rio Grande,Brazil,BRA,3,0,0,0,0,3,3,1078,0,0,0,0,1078,1078,7612,0,0,0,0,7612,7612,1624565
2020-01-01,2020,1,1,port1104,Rio Grande,Brazil,BRA,2,1,0,0,1,3,4,11420,8716,0,0,5132,20136,25268,5626,23801,0,0,5742,29427,35170,1624569
2020-01-02,2020,1,2,port1104,Rio Grande,Brazil,BRA,1,3,0,0,2,4,6,1196,73351,0,0,3934,74548,78482,0,23801,0,0,0,23801,23801,1624573
2020-01-03,2020,1,3,port1104,Rio Grande,Brazil,BRA,0,0,0,0,1,0,1,0,0,0,0,5132,0,5132,0,0,0,0,5742,0,5742,1624576
2020-01-04,2020,1,4,port1104,Rio Grande,Brazil,BRA,2,0,0,0,1,2,3,4308,0,0,0,0,4308,4308,476,0,0,0,0,476,476,1624580
2020-01-05,2020,1,5,port1104,Rio Grande,Brazil,BRA,1,1,0,0,0,2,2,0,8716,0,0,0,8716,8716,0,23801,0,0,0,23801,23801,1624584
2020-01-06,2020,1,6,port1104,Rio Grande,Brazil,BRA,0,3,0,0,0,3,3,0,17432,0,0,0,17432,17432,0,79089,0,0,0,79089,79089,1624588
2020-01-07,2020,1,7,port1104,Rio Grande,Brazil,BRA,2,1,0,0,1,3,4,0,8716,0,0,7945,8716,16661,16520,23801,0,0,0,40321,40321,1624592
2020-01-08,2020,1,8,port1104,Rio Grande,Brazil,BRA,3,0,0,0,0,3,3,5842,0,0,0,0,5842,5842,5626,0,0,0,0,5626,5626,1624596
2020-01-09,2020,1,9,port1104,Rio Grande,Brazil,BRA,1,2,0,0,0,3,3,0,17432,0,0,0,17432,17432,3503,47602,0,0,0,51105,51105,1624600
2020-01-10,2020,1,10,port1104,Rio Grande,Brazil,BRA,0,2,0,0,0,2,2,0,24766,0,0,0,24766,24766,0,34918,0,0,0,34918,34918,1624604
2020-01-11,2020,1,11,port1104,Rio Grande,Brazil,BRA,2,2,0,0,1,4,5,0,40426,0,0,17240,40426,57667,4533,23801,0,0,5522,28335,33857,1624608
2020-01-12,2020,1,12,port1104,Rio Grande,Brazil,BRA,1,2,0,0,0,3,3,0,32016,0,0,0,32016,32016,0,20033,0,0,0,20033,20033,1624612
2020-01-13,2020,1,13,port1104,Rio Grande,Brazil,BRA,1,0,0,0,0,1,1,4652,0,0,0,0,4652,4652,0,0,0,0,0,0,0,1624615
2020-01-14,2020,1,14,port1104,Rio Grande,Brazil,BRA,2,1,0,0,0,3,3,0,0,0,0,0,0,0,0,25370,0,0,0,25370,25370,1624619
2020-01-15,2020,1,15,port1104,Rio Grande,Brazil,BRA,3,4,0,0,1,7,8,0,37608,0,0,2670,37608,40278,12375,23801,0,0,0,36177,36177,1624623
