date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-11-11,2019,11,11,port1105,Rizhao,China,CHN,1,8,2,0,1,11,12,3018,348669,20307,0,690,371995,372686,0,39206,0,0,104,39206,39311,116022
2020-12-15,2020,12,15,port1105,Rizhao,China,CHN,2,4,0,0,0,6,6,1098,366310,0,0,0,367409,367409,8276,0,0,0,0,8276,8276,116131
2019-11-12,2019,11,12,port1105,Rizhao,China,CHN,1,4,2,0,1,7,8,1098,422010,3575,0,6308,426685,432994,4960,6731,5599,0,251,17291,17542,116405
2020-12-16,2020,12,16,port1105,Rizhao,China,CHN,0,5,4,0,1,9,10,0,186671,8377,0,985,195048,196033,0,58092,20632,0,402,78724,79126,116407
2019-11-13,2019,11,13,port1105,Rizhao,China,CHN,1,3,0,0,0,4,4,0,113998,0,0,0,113998,113998,27333,11189,0,0,0,38522,38522,116409
2019-11-14,2019,11,14,port1105,Rizhao,China,CHN,1,3,3,0,1,7,8,0,418339,0,0,985,418339,419324,8666,9164,18659,0,402,36490,36892,116412
2020-12-17,2020,12,17,port1105,Rizhao,China,CHN,3,2,3,0,2,8,10,0,285715,3124,0,26560,288839,315400,24961,0,8985,0,0,33946,33946,116413
2019-11-15,2019,11,15,port1105,Rizhao,China,CHN,2,2,3,0,1,7,8,0,184526,11224,0,586,195751,196337,12330,0,13101,0,0,25431,25431,116416
2020-12-18,2020,12,18,port1105,Rizhao,China,CHN,2,4,2,0,2,8,10,7341,435877,1711,0,690,444929,445620,4960,18747,2772,0,104,26480,26584,116417
2019-11-16,2019,11,16,port1105,Rizhao,China,CHN,4,6,2,0,1,12,13,1098,290980,1711,0,647,293789,294437,31320,8393,4055,0,0,43768,43768,116420
2020-12-19,2020,12,19,port1105,Rizhao,China,CHN,3,3,2,0,0,8,8,0,190005,0,0,0,190005,190005,16027,0,3609,0,0,19636,19636,116421
2019-11-17,2019,11,17,port1105,Rizhao,China,CHN,2,1,0,0,0,3,3,0,0,0,0,0,0,0,19802,0,0,0,0,19802,19802,116424
2020-12-20,2020,12,20,port1105,Rizhao,China,CHN,1,7,2,0,2,10,12,0,218188,4264,0,3437,222453,225891,2319,69047,4624,0,0,75991,75991,116425
2019-11-18,2019,11,18,port1105,Rizhao,China,CHN,3,4,0,1,0,8,8,3295,207201,0,2247,0,212745,212745,14880,0,0,0,0,14880,14880,116428
2020-12-21,2020,12,21,port1105,Rizhao,China,CHN,2,6,3,0,0,11,11,2197,516275,0,0,0,518472,518472,9920,6731,12119,0,0,28772,28772,116429
2019-11-19,2019,11,19,port1105,Rizhao,China,CHN,0,8,4,0,2,12,14,0,531302,22390,0,7633,553692,561326,0,52699,108,0,1264,52808,54073,116432
2020-12-22,2020,12,22,port1105,Rizhao,China,CHN,2,2,0,0,1,4,5,6641,61036,0,0,690,67678,68369,7999,27735,0,0,104,35734,35839,116433
2019-11-20,2019,11,20,port1105,Rizhao,China,CHN,3,2,1,0,5,6,11,0,428907,0,0,26509,428907,455417,36529,0,4298,0,2034,40828,42862,116436
2020-12-23,2020,12,23,port1105,Rizhao,China,CHN,3,5,2,0,1,10,11,2197,173193,803,0,30206,176193,206400,23554,47721,2831,0,0,74106,74106,116437
2019-11-21,2019,11,21,port1105,Rizhao,China,CHN,2,5,0,0,1,7,8,28795,150383,0,0,0,179178,179178,0,0,0,0,0,0,0,116440
2020-12-24,2020,12,24,port1105,Rizhao,China,CHN,0,3,0,0,2,3,5,0,84900,0,0,5310,84900,90210,0,21835,0,0,104,21835,21939,116441
