date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-02-15,2020,2,15,port1108,Rosario,Argentina,ARG,1,3,0,0,0,4,4,0,0,0,0,0,0,0,2872,72306,0,0,0,75178,75178,3144001
2020-02-16,2020,2,16,port1108,Rosario,Argentina,ARG,0,2,1,0,0,3,3,0,0,554,0,0,554,554,0,30626,8715,0,0,39342,39342,3144002
2020-02-17,2020,2,17,port1108,Rosario,Argentina,ARG,0,1,0,0,2,1,3,0,0,0,0,2859,0,2859,0,683,0,0,0,683,683,3144003
2020-02-18,2020,2,18,port1108,Rosario,Argentina,ARG,0,3,0,0,3,3,6,0,1265,0,0,4637,1265,5903,0,56367,0,0,37771,56367,94138,3144004
2020-02-19,2020,2,19,port1108,Rosario,Argentina,ARG,1,0,0,0,0,1,1,0,0,0,0,0,0,0,858,0,0,0,0,858,858,3144005
2020-02-20,2020,2,20,port1108,Rosario,Argentina,ARG,0,1,0,0,1,1,2,0,0,0,0,11970,0,11970,0,15092,0,0,0,15092,15092,3144006
2020-02-21,2020,2,21,port1108,Rosario,Argentina,ARG,0,4,1,0,2,5,7,0,0,0,0,10964,0,10964,0,148269,1060,0,0,149329,149329,3144007
2020-02-22,2020,2,22,port1108,Rosario,Argentina,ARG,1,0,0,0,1,1,2,475,0,0,0,0,475,475,1769,0,0,0,0,1769,1769,3144008
2020-02-23,2020,2,23,port1108,Rosario,Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3144009
2020-02-24,2020,2,24,port1108,Rosario,Argentina,ARG,0,6,0,1,1,7,8,0,2530,0,0,0,2530,2530,0,226110,0,1059,26012,227169,253181,3144010
2020-02-25,2020,2,25,port1108,Rosario,Argentina,ARG,0,5,1,0,2,6,8,0,1265,554,0,0,1819,1819,0,164843,8715,0,0,173559,173559,3144011
2020-02-26,2020,2,26,port1108,Rosario,Argentina,ARG,1,1,1,0,0,3,3,0,0,0,0,0,0,0,643,30122,0,0,0,30766,30766,3144012
2020-02-27,2020,2,27,port1108,Rosario,Argentina,ARG,0,1,0,0,2,1,3,0,0,0,0,43105,0,43105,0,0,0,0,0,0,0,3144013
2020-02-28,2020,2,28,port1108,Rosario,Argentina,ARG,0,3,0,0,1,3,4,0,1265,0,0,0,1265,1265,0,125027,0,0,0,125027,125027,3144014
2020-02-29,2020,2,29,port1108,Rosario,Argentina,ARG,1,4,2,1,1,8,9,475,0,554,0,0,1029,1029,1769,144435,8715,1059,0,155980,155980,3144015
2020-03-01,2020,3,1,port1108,Rosario,Argentina,ARG,0,3,0,0,2,3,5,0,1265,0,0,30590,1265,31855,0,66146,0,0,0,66146,66146,3144016
2020-03-02,2020,3,2,port1108,Rosario,Argentina,ARG,0,2,0,0,1,2,3,0,681,0,0,0,681,681,0,40840,0,0,0,40840,40840,3144017
2020-03-03,2020,3,3,port1108,Rosario,Argentina,ARG,1,6,0,0,5,7,12,475,0,0,0,11529,475,12004,1769,204784,0,0,66620,206553,273174,3144018
2020-03-04,2020,3,4,port1108,Rosario,Argentina,ARG,0,2,0,0,2,2,4,0,17480,0,0,12307,17480,29787,0,632,0,0,0,632,632,3144019
2020-03-05,2020,3,5,port1108,Rosario,Argentina,ARG,0,5,0,0,0,5,5,0,1265,0,0,0,1265,1265,0,147784,0,0,0,147784,147784,3144020
2020-03-06,2020,3,6,port1108,Rosario,Argentina,ARG,0,4,1,0,1,5,6,0,1265,230,0,0,1496,1496,0,91740,132,0,0,91872,91872,3144021
2020-03-07,2020,3,7,port1108,Rosario,Argentina,ARG,1,8,0,0,0,9,9,0,2530,0,0,0,2530,2530,7490,233924,0,0,0,241414,241414,3144022
2020-03-08,2020,3,8,port1108,Rosario,Argentina,ARG,0,1,0,1,2,2,4,0,0,0,0,10728,0,10728,0,57619,0,1059,0,58678,58678,3144023
2020-03-09,2020,3,9,port1108,Rosario,Argentina,ARG,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,63326,0,0,0,63326,63326,3144024
2020-03-10,2020,3,10,port1108,Rosario,Argentina,ARG,0,2,0,0,2,2,4,0,0,0,0,5851,0,5851,0,22047,0,0,0,22047,22047,3144025
2020-03-11,2020,3,11,port1108,Rosario,Argentina,ARG,1,4,1,0,2,6,8,0,0,230,0,12307,230,12538,2126,90161,132,0,0,92420,92420,3144026
2020-03-12,2020,3,12,port1108,Rosario,Argentina,ARG,0,6,1,0,1,7,8,0,1265,0,0,0,1265,1265,0,258422,6703,0,21718,265125,286843,3144027
