date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port1114,Rotterdam,The Netherlands,NLD,19,1,15,1,45,36,81,225618,0,10639,0,446915,236257,683173,125534,0,9781,2058,57944,137375,195320,374107
2019-01-02,2019,1,2,port1114,Rotterdam,The Netherlands,NLD,12,0,22,1,42,35,77,301252,0,20583,403,362057,322239,684297,47147,0,9361,0,57868,56508,114377,374108
2019-01-03,2019,1,3,port1114,Rotterdam,The Netherlands,NLD,27,1,13,8,49,49,98,265378,29763,3191,2207,646883,300540,947424,162445,0,7858,5503,92273,175807,268081,374109
2019-01-04,2019,1,4,port1114,Rotterdam,The Netherlands,NLD,20,2,14,7,46,43,89,164906,84292,5465,2085,267845,256750,524595,146198,0,5949,1186,125891,153334,279225,374110
2019-01-05,2019,1,5,port1114,Rotterdam,The Netherlands,NLD,18,4,7,4,59,33,92,138340,258645,4595,4039,984394,405621,1390016,183794,0,1065,3558,158694,188417,347112,374111
2019-01-06,2019,1,6,port1114,Rotterdam,The Netherlands,NLD,18,3,9,4,44,34,78,60185,55209,5966,0,355111,121360,476472,160601,1191,3198,2171,148580,167162,315742,374112
2019-01-07,2019,1,7,port1114,Rotterdam,The Netherlands,NLD,28,2,19,7,51,56,107,251887,178481,20674,2153,287409,453197,740606,75691,0,7715,4319,428195,87726,515921,374113
2019-01-08,2019,1,8,port1114,Rotterdam,The Netherlands,NLD,17,3,8,8,59,36,95,45639,131945,2466,649,502689,180701,683390,100190,0,6522,6226,97311,112939,210251,374114
2019-01-09,2019,1,9,port1114,Rotterdam,The Netherlands,NLD,23,3,17,6,51,49,100,267524,232588,9516,2499,328728,512129,840857,111638,0,6079,1186,121045,118904,239950,374115
2019-01-10,2019,1,10,port1114,Rotterdam,The Netherlands,NLD,24,1,15,5,58,45,103,367656,44650,12816,2083,758373,427208,1185581,252483,0,7252,4471,150899,264207,415107,374116
