date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-05-31,2019,5,31,port746,Salalah,Oman,OMN,3,0,0,0,1,3,4,125988,0,0,0,33298,125988,159286,34146,0,0,0,0,34146,34146,3756001
2019-06-01,2019,6,1,port746,Salalah,Oman,OMN,2,1,0,0,0,3,3,127485,0,0,0,0,127485,127485,0,3488,0,0,0,3488,3488,3756003
2019-06-02,2019,6,2,port746,Salalah,Oman,OMN,4,1,0,0,2,5,7,59387,32195,0,0,6660,91582,98243,50732,0,0,0,23715,50732,74448,3756005
2019-06-03,2019,6,3,port746,Salalah,Oman,OMN,3,2,0,0,0,5,5,107011,0,0,0,0,107011,107011,16241,43485,0,0,0,59727,59727,3756007
2019-06-04,2019,6,4,port746,Salalah,Oman,OMN,4,1,2,0,0,7,7,124767,0,755,0,0,125522,125522,17968,55645,1077,0,0,74691,74691,3756010
2019-06-05,2019,6,5,port746,Salalah,Oman,OMN,4,0,0,0,1,4,5,61013,0,0,0,28465,61013,89478,53513,0,0,0,0,53513,53513,3756013
2019-06-06,2019,6,6,port746,Salalah,Oman,OMN,2,2,0,0,0,4,4,99136,4880,0,0,0,104016,104016,37521,86083,0,0,0,123605,123605,3756016
2020-07-04,2020,7,4,port746,Salalah,Oman,OMN,2,0,0,0,0,2,2,87685,0,0,0,0,87685,87685,21189,0,0,0,0,21189,21189,3756017
2019-06-07,2019,6,7,port746,Salalah,Oman,OMN,3,1,1,0,0,5,5,177660,4880,243,0,0,182784,182784,0,33028,0,0,0,33028,33028,3756020
2020-07-05,2020,7,5,port746,Salalah,Oman,OMN,4,2,0,0,0,6,6,91818,0,0,0,0,91818,91818,42379,101459,0,0,0,143838,143838,3756021
2019-06-08,2019,6,8,port746,Salalah,Oman,OMN,1,0,0,0,0,1,1,30394,0,0,0,0,30394,30394,0,0,0,0,0,0,0,3756025
2019-06-09,2019,6,9,port746,Salalah,Oman,OMN,3,2,0,0,0,5,5,88988,13924,0,0,0,102913,102913,23679,33028,0,0,0,56708,56708,3756026
2019-06-10,2019,6,10,port746,Salalah,Oman,OMN,4,0,0,0,1,4,5,22745,0,0,0,6660,22745,29406,119581,0,0,0,5415,119581,124996,3756027
2019-06-11,2019,6,11,port746,Salalah,Oman,OMN,5,0,0,0,1,5,6,138916,0,0,0,0,138916,138916,88442,0,0,0,0,88442,88442,3756028
2019-06-12,2019,6,12,port746,Salalah,Oman,OMN,1,1,0,0,0,2,2,0,0,0,0,0,0,0,20352,52995,0,0,0,73348,73348,3756029
2019-06-13,2019,6,13,port746,Salalah,Oman,OMN,3,0,1,0,0,4,4,15098,0,0,0,0,15098,15098,48005,0,498,0,0,48504,48504,3756030
2019-06-14,2019,6,14,port746,Salalah,Oman,OMN,3,0,0,0,1,3,4,49742,0,0,0,3206,49742,52948,26756,0,0,0,0,26756,26756,3756031
2019-06-15,2019,6,15,port746,Salalah,Oman,OMN,3,0,0,0,1,3,4,159551,0,0,0,6660,159551,166211,49486,0,0,0,5415,49486,54902,3756032
2019-06-16,2019,6,16,port746,Salalah,Oman,OMN,3,1,0,0,2,4,6,22745,0,0,0,2206,22745,24952,98909,44438,0,0,4470,143347,147818,3756033
2019-06-17,2019,6,17,port746,Salalah,Oman,OMN,3,0,0,0,1,3,4,22745,0,0,0,6660,22745,29406,129242,0,0,0,5415,129242,134657,3756034
2019-06-18,2019,6,18,port746,Salalah,Oman,OMN,3,2,0,0,1,5,6,66313,725,0,0,0,67038,67038,20286,4586,0,0,40853,24873,65727,3756035
2019-06-19,2019,6,19,port746,Salalah,Oman,OMN,4,2,0,0,0,6,6,0,0,0,0,0,0,0,328936,82618,0,0,0,411555,411555,3756036
2019-06-20,2019,6,20,port746,Salalah,Oman,OMN,4,1,0,0,0,5,5,55402,0,0,0,0,55402,55402,164334,0,0,0,0,164334,164334,3756037
2019-06-21,2019,6,21,port746,Salalah,Oman,OMN,1,1,0,0,0,2,2,0,0,0,0,0,0,0,37632,75368,0,0,0,113001,113001,3756038
2019-06-22,2019,6,22,port746,Salalah,Oman,OMN,2,0,0,0,0,2,2,144731,0,0,0,0,144731,144731,0,0,0,0,0,0,0,3756039
2019-06-23,2019,6,23,port746,Salalah,Oman,OMN,3,1,0,0,1,4,5,58749,6369,0,0,31413,65119,96533,26756,0,0,0,0,26756,26756,3756040
2019-06-24,2019,6,24,port746,Salalah,Oman,OMN,3,1,0,0,0,4,4,4390,0,0,0,0,4390,4390,180852,44131,0,0,0,224983,224983,3756041
2019-06-25,2019,6,25,port746,Salalah,Oman,OMN,4,0,1,0,1,5,6,79901,0,590,0,0,80491,80491,53513,0,4981,0,0,58495,58495,3756042
2019-06-26,2019,6,26,port746,Salalah,Oman,OMN,2,1,0,0,1,3,4,0,0,0,0,6660,0,6660,44830,27542,0,0,5415,72373,77788,3756043
2019-06-27,2019,6,27,port746,Salalah,Oman,OMN,4,0,0,0,0,4,4,144407,0,0,0,0,144407,144407,86764,0,0,0,0,86764,86764,3756044
2019-06-28,2019,6,28,port746,Salalah,Oman,OMN,2,0,0,0,1,2,3,12083,0,0,0,0,12083,12083,26814,0,0,0,0,26814,26814,3756045
2019-06-29,2019,6,29,port746,Salalah,Oman,OMN,4,0,1,0,1,5,6,158317,0,0,0,4026,158317,162343,89999,0,2151,0,0,92151,92151,3756046
2019-06-30,2019,6,30,port746,Salalah,Oman,OMN,3,1,0,0,0,4,4,0,0,0,0,0,0,0,54082,0,0,0,0,54082,54082,3756047
2019-07-01,2019,7,1,port746,Salalah,Oman,OMN,4,2,0,0,1,6,7,72177,0,0,0,0,72177,72177,99738,56508,0,0,42534,156246,198781,3756048
2019-07-02,2019,7,2,port746,Salalah,Oman,OMN,3,0,1,0,1,4,5,57264,0,590,0,6660,57854,64514,84163,0,4981,0,5415,89145,94560,3756049
2019-07-03,2019,7,3,port746,Salalah,Oman,OMN,3,1,0,0,1,4,5,0,0,0,0,0,0,0,188898,16445,0,0,34853,205343,240197,3756050
2019-07-04,2019,7,4,port746,Salalah,Oman,OMN,3,1,0,0,1,4,5,99428,0,0,0,6660,99428,106088,68553,41912,0,0,5415,110465,115880,3756051
2019-07-05,2019,7,5,port746,Salalah,Oman,OMN,3,1,0,0,0,4,4,43269,4880,0,0,0,48150,48150,59990,33028,0,0,0,93019,93019,3756052
2019-07-06,2019,7,6,port746,Salalah,Oman,OMN,3,1,0,0,1,4,5,253326,0,0,0,0,253326,253326,0,51090,0,0,28327,51090,79418,3756053
2019-07-07,2019,7,7,port746,Salalah,Oman,OMN,4,0,0,0,0,4,4,151339,0,0,0,0,151339,151339,68553,0,0,0,0,68553,68553,3756054
2019-07-08,2019,7,8,port746,Salalah,Oman,OMN,3,3,0,0,1,6,7,56299,0,0,0,6660,56299,62960,86672,96698,0,0,5415,183370,188786,3756055
2019-07-09,2019,7,9,port746,Salalah,Oman,OMN,5,0,1,0,1,6,7,120796,0,590,0,3327,121386,124713,185112,0,4981,0,0,190094,190094,3756056
