date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,177796,0,0,0,177796,177796,2835115
2019-01-02,2019,1,2,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,45795,0,0,0,45795,45795,2835116
2019-01-03,2019,1,3,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,197578,0,0,0,197578,197578,2835117
2019-01-04,2019,1,4,port1133,Saldanha Bay,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835118
2019-01-05,2019,1,5,port1133,Saldanha Bay,South Africa,ZAF,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835119
2019-01-06,2019,1,6,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835120
2019-01-07,2019,1,7,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,200987,0,0,0,200987,200987,2835121
2019-01-08,2019,1,8,port1133,Saldanha Bay,South Africa,ZAF,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,137571,0,0,0,137571,137571,2835122
2019-01-09,2019,1,9,port1133,Saldanha Bay,South Africa,ZAF,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,443255,0,0,0,443255,443255,2835123
2019-01-10,2019,1,10,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,197458,0,0,0,197458,197458,2835124
2019-01-11,2019,1,11,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,175210,0,0,0,175210,175210,2835125
2019-01-12,2019,1,12,port1133,Saldanha Bay,South Africa,ZAF,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,228526,0,0,0,228526,228526,2835126
2019-01-13,2019,1,13,port1133,Saldanha Bay,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835127
2019-01-14,2019,1,14,port1133,Saldanha Bay,South Africa,ZAF,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,219631,0,0,0,219631,219631,2835128
2019-01-15,2019,1,15,port1133,Saldanha Bay,South Africa,ZAF,0,1,0,0,1,1,2,0,0,0,0,51747,0,51747,0,169046,0,0,5469,169046,174516,2835129
2019-01-16,2019,1,16,port1133,Saldanha Bay,South Africa,ZAF,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1938,0,0,1938,1938,2835130
2019-01-17,2019,1,17,port1133,Saldanha Bay,South Africa,ZAF,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,241133,0,0,0,241133,241133,2835131
2019-01-18,2019,1,18,port1133,Saldanha Bay,South Africa,ZAF,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,244328,0,0,0,244328,244328,2835132
2019-01-19,2019,1,19,port1133,Saldanha Bay,South Africa,ZAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835133
