"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2019-01-01","port1137","Samarinda","Indonesia","IDN","0","2","0","0","0","2","2","0","0","0","0","0","0","0","0","71777","0","0","0","71777","71777"
"2019-01-02","port1137","Samarinda","Indonesia","IDN","1","2","0","0","0","3","3","1298","0","0","0","0","1298","1298","188","60354","0","0","0","60542","60542"
"2019-01-03","port1137","Samarinda","Indonesia","IDN","0","4","1","0","1","5","6","0","0","0","0","918","0","918","0","178051","1644","0","738","179695","180434"
"2019-01-04","port1137","Samarinda","Indonesia","IDN","0","4","1","0","0","5","5","0","0","795","0","0","795","795","0","106708","1360","0","0","108069","108069"
"2019-01-05","port1137","Samarinda","Indonesia","IDN","0","4","1","0","1","5","6","0","0","0","0","918","0","918","0","188987","1976","0","738","190963","191702"
"2019-01-06","port1137","Samarinda","Indonesia","IDN","1","7","0","0","2","8","10","0","0","0","0","918","0","918","3746","79153","0","0","13107","82900","96008"
"2019-01-07","port1137","Samarinda","Indonesia","IDN","0","6","2","0","0","8","8","0","0","795","0","0","795","795","0","317639","1800","0","0","319440","319440"
"2019-01-08","port1137","Samarinda","Indonesia","IDN","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","41224","0","0","0","41224","41224"
"2019-01-09","port1137","Samarinda","Indonesia","IDN","0","7","2","0","1","9","10","0","0","795","0","918","795","1713","0","170236","7207","0","738","177444","178182"
"2019-01-10","port1137","Samarinda","Indonesia","IDN","0","5","0","0","0","5","5","0","0","0","0","0","0","0","0","84675","0","0","0","84675","84675"
"2019-01-11","port1137","Samarinda","Indonesia","IDN","1","6","0","0","0","7","7","1298","0","0","0","0","1298","1298","188","203020","0","0","0","203208","203208"
"2019-01-12","port1137","Samarinda","Indonesia","IDN","1","8","0","0","1","9","10","1035","0","0","0","918","1035","1953","0","202142","0","0","738","202142","202881"
"2019-01-13","port1137","Samarinda","Indonesia","IDN","1","4","1","0","0","6","6","1557","0","420","0","0","1977","1977","82","225258","0","0","0","225341","225341"
"2019-01-14","port1137","Samarinda","Indonesia","IDN","0","9","1","0","1","10","11","0","0","3443","0","918","3443","4361","0","294425","0","0","738","294425","295163"
"2019-01-15","port1137","Samarinda","Indonesia","IDN","0","1","2","0","0","3","3","0","0","1590","0","0","1590","1590","0","0","2721","0","0","2721","2721"
"2019-01-16","port1137","Samarinda","Indonesia","IDN","0","4","0","0","0","4","4","0","0","0","0","0","0","0","0","253380","0","0","0","253380","253380"
"2019-01-17","port1137","Samarinda","Indonesia","IDN","1","7","0","0","0","8","8","410","0","0","0","0","410","410","0","127426","0","0","0","127426","127426"
"2019-01-18","port1137","Samarinda","Indonesia","IDN","1","4","1","0","0","6","6","621","0","795","0","0","1416","1416","0","63493","1360","0","0","64854","64854"
