date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-09-19,2021,9,19,port1154,Santa Marta,Colombia,COL,2,1,0,0,0,3,3,0,0,0,0,0,0,0,14331,15034,0,0,0,29365,29365,2716001
2019-07-12,2019,7,12,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,3440,0,0,0,0,3440,3440,0,0,0,0,0,0,0,2716002
2022-10-24,2022,10,24,port1154,Santa Marta,Colombia,COL,1,2,0,0,0,3,3,368,57106,0,0,0,57474,57474,0,0,0,0,0,0,0,2716003
2021-09-20,2021,9,20,port1154,Santa Marta,Colombia,COL,0,2,0,0,0,2,2,0,7421,0,0,0,7421,7421,0,0,0,0,0,0,0,2716004
2020-08-15,2020,8,15,port1154,Santa Marta,Colombia,COL,3,1,0,0,0,4,4,3933,20334,0,0,0,24267,24267,13128,0,0,0,0,13128,13128,2716005
2019-07-13,2019,7,13,port1154,Santa Marta,Colombia,COL,3,0,1,0,0,4,4,4697,0,7307,0,0,12005,12005,3081,0,0,0,0,3081,3081,2716006
2022-10-25,2022,10,25,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4826,0,0,0,0,4826,4826,2716007
2021-09-21,2021,9,21,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,676,0,0,0,0,676,676,0,0,0,0,0,0,0,2716008
2020-08-16,2020,8,16,port1154,Santa Marta,Colombia,COL,1,0,1,0,0,2,2,821,0,3566,0,0,4388,4388,0,0,0,0,0,0,0,2716009
2019-07-14,2019,7,14,port1154,Santa Marta,Colombia,COL,1,0,1,0,0,2,2,0,0,11569,0,0,11569,11569,7838,0,0,0,0,7838,7838,2716010
2022-10-26,2022,10,26,port1154,Santa Marta,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716011
2021-09-22,2021,9,22,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,549,0,0,0,0,549,549,0,0,0,0,0,0,0,2716012
2020-08-17,2020,8,17,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3115,0,0,0,0,3115,3115,2716013
2019-07-15,2019,7,15,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,734,0,0,0,0,734,734,0,0,0,0,0,0,0,2716014
2022-10-27,2022,10,27,port1154,Santa Marta,Colombia,COL,2,0,0,0,0,2,2,765,0,0,0,0,765,765,483,0,0,0,0,483,483,2716015
2021-09-23,2021,9,23,port1154,Santa Marta,Colombia,COL,1,0,1,0,0,2,2,0,0,0,0,0,0,0,721,0,259,0,0,980,980,2716016
2020-08-18,2020,8,18,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,1800,0,0,0,0,1800,1800,0,0,0,0,0,0,0,2716017
2019-07-16,2019,7,16,port1154,Santa Marta,Colombia,COL,0,1,0,0,0,1,1,0,19644,0,0,0,19644,19644,0,0,0,0,0,0,0,2716018
2022-10-28,2022,10,28,port1154,Santa Marta,Colombia,COL,1,1,1,0,0,3,3,0,444,0,0,0,444,444,485,0,1423,0,0,1908,1908,2716019
2021-09-24,2021,9,24,port1154,Santa Marta,Colombia,COL,1,0,0,0,1,1,2,12099,0,0,0,0,12099,12099,0,0,0,0,983,0,983,2716020
2020-08-19,2020,8,19,port1154,Santa Marta,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716021
2019-07-17,2019,7,17,port1154,Santa Marta,Colombia,COL,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716022
2022-10-29,2022,10,29,port1154,Santa Marta,Colombia,COL,1,0,0,0,1,1,2,0,0,0,0,22134,0,22134,1535,0,0,0,0,1535,1535,2716023
2021-09-25,2021,9,25,port1154,Santa Marta,Colombia,COL,2,0,0,0,0,2,2,0,0,0,0,0,0,0,3197,0,0,0,0,3197,3197,2716024
2020-08-20,2020,8,20,port1154,Santa Marta,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716025
2019-07-18,2019,7,18,port1154,Santa Marta,Colombia,COL,2,0,1,0,0,3,3,658,0,1875,0,0,2533,2533,2361,0,782,0,0,3143,3143,2716026
2022-10-30,2022,10,30,port1154,Santa Marta,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716027
2021-09-26,2021,9,26,port1154,Santa Marta,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716028
2020-08-21,2020,8,21,port1154,Santa Marta,Colombia,COL,2,0,0,0,2,2,4,8652,0,0,0,6560,8652,15212,2154,0,0,0,9380,2154,11535,2716029
2019-07-19,2019,7,19,port1154,Santa Marta,Colombia,COL,1,1,0,0,0,2,2,4748,0,0,0,0,4748,4748,0,32190,0,0,0,32190,32190,2716030
2022-10-31,2022,10,31,port1154,Santa Marta,Colombia,COL,1,1,0,0,0,2,2,741,20291,0,0,0,21033,21033,0,0,0,0,0,0,0,2716031
2021-09-27,2021,9,27,port1154,Santa Marta,Colombia,COL,1,0,0,0,0,1,1,0,0,0,0,0,0,0,740,0,0,0,0,740,740,2716032
2020-08-22,2020,8,22,port1154,Santa Marta,Colombia,COL,3,1,1,0,0,5,5,0,53955,2069,0,0,56024,56024,23522,0,0,0,0,23522,23522,2716033
2019-07-20,2019,7,20,port1154,Santa Marta,Colombia,COL,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1469,0,0,0,0,1469,1469,2716034
2019-07-21,2019,7,21,port1154,Santa Marta,Colombia,COL,2,1,1,0,0,4,4,0,46294,1088,0,0,47382,47382,12636,0,0,0,0,12636,12636,2716035
2019-07-22,2019,7,22,port1154,Santa Marta,Colombia,COL,1,1,0,0,0,2,2,0,50199,0,0,0,50199,50199,5660,0,0,0,0,5660,5660,2716036
2019-07-23,2019,7,23,port1154,Santa Marta,Colombia,COL,0,1,0,1,0,2,2,0,0,0,606,0,606,606,0,46237,0,93,0,46330,46330,2716037
2019-07-24,2019,7,24,port1154,Santa Marta,Colombia,COL,1,0,1,0,0,2,2,659,0,759,0,0,1418,1418,0,0,0,0,0,0,0,2716038
2019-07-25,2019,7,25,port1154,Santa Marta,Colombia,COL,2,0,0,0,1,2,3,0,0,0,0,0,0,0,270,0,0,0,33063,270,33334,2716039
2019-07-26,2019,7,26,port1154,Santa Marta,Colombia,COL,1,1,0,0,0,2,2,5168,30501,0,0,0,35670,35670,0,0,0,0,0,0,0,2716040
2019-07-27,2019,7,27,port1154,Santa Marta,Colombia,COL,2,0,0,0,1,2,3,0,0,0,0,0,0,0,4712,0,0,0,2501,4712,7214,2716041
