date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2022-02-19,2022,2,19,port1160,Santos,Brazil,BRA,7,7,0,1,3,15,18,32974,92959,0,0,9542,125934,135476,41230,139044,0,1695,11776,181970,193747,1628019
2023-03-26,2023,3,26,port1160,Santos,Brazil,BRA,5,5,0,0,2,10,12,26982,0,0,0,0,26982,26982,70047,244374,0,0,0,314421,314421,1628023
2019-01-01,2019,1,1,port1160,Santos,Brazil,BRA,4,5,1,0,0,10,10,48585,37075,0,0,0,85661,85661,19163,39625,5506,0,0,64294,64294,1628058
2019-01-02,2019,1,2,port1160,Santos,Brazil,BRA,7,6,0,1,2,14,16,24279,26557,0,0,37551,50837,88388,58785,95765,0,2213,0,156764,156764,1628059
2019-01-03,2019,1,3,port1160,Santos,Brazil,BRA,5,6,1,0,0,12,12,16077,59255,0,0,0,75332,75332,26983,71119,24608,0,0,122711,122711,1628060
2019-01-04,2019,1,4,port1160,Santos,Brazil,BRA,4,2,0,0,6,6,12,15603,0,0,0,77899,15603,93502,37240,72913,0,0,1833,110153,111987,1628061
2019-01-05,2019,1,5,port1160,Santos,Brazil,BRA,5,2,0,1,1,8,9,26648,21116,0,0,0,47765,47765,86827,50896,0,0,35214,137724,172938,1628062
2019-01-06,2019,1,6,port1160,Santos,Brazil,BRA,4,3,0,0,4,7,11,52609,80536,0,0,8986,133146,142133,24410,30232,0,0,41804,54642,96447,1628063
2019-01-07,2019,1,7,port1160,Santos,Brazil,BRA,6,5,0,0,1,11,12,30780,4302,0,0,0,35083,35083,33051,76125,0,0,1048,109176,110225,1628064
2019-01-08,2019,1,8,port1160,Santos,Brazil,BRA,5,4,0,0,1,9,10,48945,3295,0,0,0,52240,52240,17133,104788,0,0,0,121922,121922,1628065
2019-01-09,2019,1,9,port1160,Santos,Brazil,BRA,7,2,2,0,1,11,12,30905,0,0,0,7624,30905,38530,51393,126827,5738,0,0,183960,183960,1628066
2019-01-10,2019,1,10,port1160,Santos,Brazil,BRA,4,5,1,0,2,10,12,11462,60773,0,0,16814,72235,89049,8733,125449,18348,0,6948,152530,159478,1628067
2019-01-11,2019,1,11,port1160,Santos,Brazil,BRA,6,2,0,0,2,8,10,23131,0,0,0,15653,23131,38785,16616,46289,0,0,6251,62905,69157,1628068
