date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-09-11,2020,9,11,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524001
2020-09-12,2020,9,12,port1181,Sept Iles,Canada,CAN,0,1,1,0,1,2,3,0,0,0,0,2279,0,2279,0,0,7881,0,0,7881,7881,2524002
2020-09-13,2020,9,13,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524003
2020-09-14,2020,9,14,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524004
2020-09-15,2020,9,15,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524005
2020-09-16,2020,9,16,port1181,Sept Iles,Canada,CAN,0,0,1,0,0,1,1,0,0,625,0,0,625,625,0,0,0,0,0,0,0,2524006
2020-09-17,2020,9,17,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,138066,0,0,0,138066,138066,2524007
2020-09-18,2020,9,18,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,74160,0,0,0,74160,74160,2524008
2020-09-19,2020,9,19,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,72790,0,0,0,72790,72790,2524009
2020-09-20,2020,9,20,port1181,Sept Iles,Canada,CAN,0,0,0,0,1,0,1,0,0,0,0,286,0,286,0,0,0,0,0,0,0,2524010
2020-09-21,2020,9,21,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524011
2020-09-22,2020,9,22,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524012
2020-09-23,2020,9,23,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,30942,0,0,0,30942,30942,2524013
2020-09-24,2020,9,24,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524014
2020-09-25,2020,9,25,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524015
2020-09-26,2020,9,26,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,78278,0,0,0,78278,78278,2524016
2020-09-27,2020,9,27,port1181,Sept Iles,Canada,CAN,0,1,0,0,1,1,2,0,0,0,0,4956,0,4956,0,78696,0,0,192,78696,78888,2524017
2020-09-28,2020,9,28,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524018
2020-09-29,2020,9,29,port1181,Sept Iles,Canada,CAN,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,83903,0,0,0,83903,83903,2524019
2020-09-30,2020,9,30,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524020
2020-10-01,2020,10,1,port1181,Sept Iles,Canada,CAN,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,71504,0,0,0,71504,71504,2524021
2020-10-02,2020,10,2,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,62413,0,0,0,62413,62413,2524022
2020-10-03,2020,10,3,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524023
2020-10-04,2020,10,4,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,41296,0,0,0,41296,41296,2524024
2020-10-05,2020,10,5,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524025
2020-10-06,2020,10,6,port1181,Sept Iles,Canada,CAN,0,1,0,0,1,1,2,0,0,0,0,4956,0,4956,0,20763,0,0,192,20763,20956,2524026
2020-10-07,2020,10,7,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524027
2020-10-08,2020,10,8,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524028
2020-10-09,2020,10,9,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4195,0,0,0,4195,4195,2524029
2020-10-10,2020,10,10,port1181,Sept Iles,Canada,CAN,0,0,1,0,0,1,1,0,0,5859,0,0,5859,5859,0,0,0,0,0,0,0,2524030
2020-10-11,2020,10,11,port1181,Sept Iles,Canada,CAN,0,3,0,0,1,3,4,0,0,0,0,2851,0,2851,0,89338,0,0,0,89338,89338,2524031
2020-10-12,2020,10,12,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524032
2020-10-13,2020,10,13,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524033
2020-10-14,2020,10,14,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524034
2020-10-15,2020,10,15,port1181,Sept Iles,Canada,CAN,0,1,0,0,1,1,2,0,0,0,0,2831,0,2831,0,43317,0,0,77,43317,43395,2524035
2020-10-16,2020,10,16,port1181,Sept Iles,Canada,CAN,0,2,0,0,1,2,3,0,0,0,0,296,0,296,0,179220,0,0,0,179220,179220,2524036
2020-10-17,2020,10,17,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524037
2020-10-18,2020,10,18,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,29585,0,0,0,29585,29585,2524038
2020-10-19,2020,10,19,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524039
2020-10-20,2020,10,20,port1181,Sept Iles,Canada,CAN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,352020,0,0,0,352020,352020,2524040
2020-10-21,2020,10,21,port1181,Sept Iles,Canada,CAN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,226108,0,0,0,226108,226108,2524041
2020-10-22,2020,10,22,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,176962,0,0,0,176962,176962,2524042
2020-10-23,2020,10,23,port1181,Sept Iles,Canada,CAN,0,0,0,0,1,0,1,0,0,0,0,4956,0,4956,0,0,0,0,192,0,192,2524043
2020-10-24,2020,10,24,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524044
2020-10-25,2020,10,25,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524045
2020-10-26,2020,10,26,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4195,0,0,0,4195,4195,2524046
2020-10-27,2020,10,27,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524047
2020-10-28,2020,10,28,port1181,Sept Iles,Canada,CAN,0,1,0,0,1,1,2,0,0,0,0,7499,0,7499,0,93595,0,0,9064,93595,102659,2524048
2020-10-29,2020,10,29,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524049
2020-10-30,2020,10,30,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,166468,0,0,0,166468,166468,2524050
2020-10-31,2020,10,31,port1181,Sept Iles,Canada,CAN,0,0,0,0,1,0,1,0,0,0,0,2831,0,2831,0,0,0,0,77,0,77,2524051
2020-11-01,2020,11,1,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524052
2020-11-02,2020,11,2,port1181,Sept Iles,Canada,CAN,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524053
2020-11-03,2020,11,3,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524054
2020-11-04,2020,11,4,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524055
2020-11-05,2020,11,5,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524056
2020-11-06,2020,11,6,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524057
2020-11-07,2020,11,7,port1181,Sept Iles,Canada,CAN,0,0,1,0,0,1,1,0,0,16706,0,0,16706,16706,0,0,0,0,0,0,0,2524058
2020-11-08,2020,11,8,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,161512,0,0,0,161512,161512,2524059
2020-11-09,2020,11,9,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,83757,0,0,0,83757,83757,2524060
2020-11-10,2020,11,10,port1181,Sept Iles,Canada,CAN,0,3,1,0,0,4,4,0,0,0,0,0,0,0,0,151009,7732,0,0,158741,158741,2524061
2020-11-11,2020,11,11,port1181,Sept Iles,Canada,CAN,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,245743,0,0,0,245743,245743,2524062
2020-11-12,2020,11,12,port1181,Sept Iles,Canada,CAN,0,1,1,0,0,2,2,0,0,5188,0,0,5188,5188,0,0,0,0,0,0,0,2524063
2020-11-13,2020,11,13,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524064
2020-11-14,2020,11,14,port1181,Sept Iles,Canada,CAN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,43658,0,0,0,43658,43658,2524065
2020-11-15,2020,11,15,port1181,Sept Iles,Canada,CAN,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,111876,0,0,0,111876,111876,2524066
2020-11-16,2020,11,16,port1181,Sept Iles,Canada,CAN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,83949,0,0,0,83949,83949,2524067
2020-11-17,2020,11,17,port1181,Sept Iles,Canada,CAN,0,1,0,0,1,1,2,0,0,0,0,2831,0,2831,0,99768,0,0,77,99768,99845,2524068
2020-11-18,2020,11,18,port1181,Sept Iles,Canada,CAN,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,278908,0,0,0,278908,278908,2524069
2020-11-19,2020,11,19,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524070
2020-11-20,2020,11,20,port1181,Sept Iles,Canada,CAN,0,2,0,0,1,2,3,0,0,0,0,2851,0,2851,0,0,0,0,0,0,0,2524071
2020-11-21,2020,11,21,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524072
2020-11-22,2020,11,22,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524073
2020-11-23,2020,11,23,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524074
2020-11-24,2020,11,24,port1181,Sept Iles,Canada,CAN,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,257885,0,0,0,257885,257885,2524075
2020-11-25,2020,11,25,port1181,Sept Iles,Canada,CAN,0,1,0,0,1,1,2,0,0,0,0,10372,0,10372,0,37053,0,0,0,37053,37053,2524076
2020-11-26,2020,11,26,port1181,Sept Iles,Canada,CAN,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,159415,3621,0,0,163037,163037,2524077
2020-11-27,2020,11,27,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524078
2020-11-28,2020,11,28,port1181,Sept Iles,Canada,CAN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,195676,0,0,0,195676,195676,2524079
2020-11-29,2020,11,29,port1181,Sept Iles,Canada,CAN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,151439,0,0,0,151439,151439,2524080
2020-11-30,2020,11,30,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524081
2020-12-01,2020,12,1,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,35057,0,0,0,35057,35057,2524082
2020-12-02,2020,12,2,port1181,Sept Iles,Canada,CAN,0,0,0,0,1,0,1,0,0,0,0,4956,0,4956,0,0,0,0,192,0,192,2524083
2020-12-03,2020,12,3,port1181,Sept Iles,Canada,CAN,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,150026,0,0,0,150026,150026,2524084
2020-12-04,2020,12,4,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524085
2020-12-05,2020,12,5,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524086
2020-12-06,2020,12,6,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,42077,0,0,0,42077,42077,2524087
2020-12-07,2020,12,7,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524088
2020-12-08,2020,12,8,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,45270,0,0,0,45270,45270,2524089
2020-12-09,2020,12,9,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524090
2020-12-10,2020,12,10,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524091
2020-12-11,2020,12,11,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524092
2020-12-12,2020,12,12,port1181,Sept Iles,Canada,CAN,0,1,1,0,0,2,2,0,0,1535,0,0,1535,1535,0,43154,4085,0,0,47239,47239,2524093
2020-12-13,2020,12,13,port1181,Sept Iles,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524094
2020-12-14,2020,12,14,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,57506,0,0,0,57506,57506,2524095
2020-12-15,2020,12,15,port1181,Sept Iles,Canada,CAN,0,2,1,0,1,3,4,0,0,7206,0,3914,7206,11120,0,35918,0,0,0,35918,35918,2524096
2020-12-16,2020,12,16,port1181,Sept Iles,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5954,0,0,0,5954,5954,2524097
