date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2022-02-13,2022,2,13,port1188,Shanghai,China,CHN,26,36,13,5,17,80,97,265943,203510,10286,749,39828,480490,520318,204613,248786,21949,11579,63607,486930,550537,186020
2021-01-09,2021,1,9,port1188,Shanghai,China,CHN,29,56,17,4,27,106,133,114284,546317,14052,817,86632,675471,762103,287260,396504,11294,2924,89979,697984,787963,186021
2019-01-01,2019,1,1,port1188,Shanghai,China,CHN,32,32,19,2,22,85,107,286811,434224,10967,817,35987,732820,768808,162502,125716,23605,2924,51527,314748,366276,186064
2019-01-02,2019,1,2,port1188,Shanghai,China,CHN,22,27,16,3,33,68,101,556926,406157,34478,817,74732,998380,1073113,352938,169298,6654,2924,41499,531816,573316,186065
2019-01-03,2019,1,3,port1188,Shanghai,China,CHN,27,45,16,2,20,90,110,327494,586124,21568,408,45882,935595,981477,158922,261889,34603,4416,17882,459832,477715,186066
2019-01-04,2019,1,4,port1188,Shanghai,China,CHN,16,20,15,3,11,54,65,141058,314470,18433,1226,86540,475188,561728,320532,272511,13538,4387,52674,610970,663645,186067
2019-01-05,2019,1,5,port1188,Shanghai,China,CHN,44,40,17,5,38,106,144,471817,438330,18511,817,127050,929476,1056527,479934,230493,16181,4642,306996,731251,1038248,186068
2019-01-06,2019,1,6,port1188,Shanghai,China,CHN,32,39,9,5,25,85,110,308417,323440,8651,1832,77434,642341,719776,256514,237699,7483,4387,66900,506085,572985,186069
2019-01-07,2019,1,7,port1188,Shanghai,China,CHN,42,34,17,7,26,100,126,446683,374098,17086,1741,119041,839609,958651,267996,261664,29853,5754,102053,565267,667321,186070
2019-01-08,2019,1,8,port1188,Shanghai,China,CHN,29,42,13,5,26,89,115,239770,671662,25915,1992,167560,939340,1106900,300716,193849,14443,1462,51811,510472,562284,186071
2019-01-09,2019,1,9,port1188,Shanghai,China,CHN,28,39,9,5,22,81,103,198581,375647,4493,1783,62616,580506,643123,331272,460866,33730,5570,150352,831440,981793,186072
2019-01-10,2019,1,10,port1188,Shanghai,China,CHN,27,44,15,2,20,88,108,122677,479445,13925,408,28044,616456,644500,295669,279044,13544,1837,110835,590095,700931,186073
2019-01-11,2019,1,11,port1188,Shanghai,China,CHN,39,38,12,6,35,95,130,406395,584223,18718,2276,114538,1011613,1126152,642921,132488,14819,14666,75165,804895,880061,186074
2019-01-12,2019,1,12,port1188,Shanghai,China,CHN,32,36,12,6,29,86,115,422791,364046,11436,2136,50587,800411,850999,301545,233437,26045,4698,128525,565726,694252,186075
2019-01-13,2019,1,13,port1188,Shanghai,China,CHN,31,41,20,2,21,94,115,484522,394174,10476,0,41444,889174,930618,286728,306778,22390,0,29115,615897,645012,186076
2019-01-14,2019,1,14,port1188,Shanghai,China,CHN,31,44,29,2,24,106,130,399410,692070,48321,817,91790,1140620,1232411,351301,596693,20973,2924,56471,971893,1028365,186077
2019-01-15,2019,1,15,port1188,Shanghai,China,CHN,35,37,12,5,24,89,113,174951,444962,7411,1635,31460,628961,660422,381854,317417,13853,6874,33149,720000,753149,186078
2019-01-16,2019,1,16,port1188,Shanghai,China,CHN,35,51,6,4,23,96,119,521140,342358,13767,1890,41123,879156,920280,361365,265468,5635,1462,73414,633931,707345,186079
2019-01-17,2019,1,17,port1188,Shanghai,China,CHN,26,39,20,2,24,87,111,210509,318884,15313,2560,75167,547267,622435,334122,323421,18497,0,47466,676041,723507,186080
2019-01-18,2019,1,18,port1188,Shanghai,China,CHN,30,31,17,2,27,80,107,134559,378727,10338,817,64280,524442,588723,443624,195302,50230,2924,40701,692082,732783,186081
2019-01-19,2019,1,19,port1188,Shanghai,China,CHN,31,34,9,6,22,80,102,253228,341311,11777,1226,78025,607544,685570,283822,294054,13335,4387,57242,595600,652842,186082
2019-01-20,2019,1,20,port1188,Shanghai,China,CHN,32,33,19,3,24,87,111,382224,311949,26715,817,65839,721706,787546,268441,172328,62592,2924,112977,506287,619264,186083
