date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port1252,Taichung,Taiwan Province of China,TWN,3,1,0,0,0,4,4,26069,0,0,0,0,26069,26069,29190,3329,0,0,0,32519,32519,2898765
2019-01-02,2019,1,2,port1252,Taichung,Taiwan Province of China,TWN,0,1,0,0,1,1,2,0,17241,0,0,4149,17241,21391,0,0,0,0,1256,0,1256,2898766
2019-01-03,2019,1,3,port1252,Taichung,Taiwan Province of China,TWN,5,1,0,0,1,6,7,83888,96493,0,0,4149,180381,184531,6844,0,0,0,1256,6844,8100,2898767
2019-01-04,2019,1,4,port1252,Taichung,Taiwan Province of China,TWN,1,2,0,0,1,3,4,0,57517,0,0,4149,57517,61667,59213,2226,0,0,1256,61439,62695,2898768
2019-01-05,2019,1,5,port1252,Taichung,Taiwan Province of China,TWN,2,4,0,0,0,6,6,9893,47390,0,0,0,57283,57283,6844,0,0,0,0,6844,6844,2898769
2019-01-06,2019,1,6,port1252,Taichung,Taiwan Province of China,TWN,3,2,1,0,0,6,6,0,53739,0,0,0,53739,53739,36328,0,2541,0,0,38869,38869,2898770
2019-01-07,2019,1,7,port1252,Taichung,Taiwan Province of China,TWN,4,1,0,0,2,5,7,20506,56828,0,0,8299,77335,85634,21702,0,0,0,2512,21702,24215,2898771
2019-01-08,2019,1,8,port1252,Taichung,Taiwan Province of China,TWN,1,3,0,0,0,4,4,4167,67518,0,0,0,71685,71685,6844,0,0,0,0,6844,6844,2898772
2019-01-09,2019,1,9,port1252,Taichung,Taiwan Province of China,TWN,3,2,0,0,0,5,5,8334,71390,0,0,0,79725,79725,23748,2226,0,0,0,25974,25974,2898773
2019-01-10,2019,1,10,port1252,Taichung,Taiwan Province of China,TWN,4,3,2,0,2,9,11,56601,235772,3053,0,7898,295427,303326,13688,0,1129,0,0,14818,14818,2898774
2019-01-11,2019,1,11,port1252,Taichung,Taiwan Province of China,TWN,1,0,1,0,1,2,3,0,0,0,0,0,0,0,32598,0,1329,0,2864,33928,36792,2898775
2019-01-12,2019,1,12,port1252,Taichung,Taiwan Province of China,TWN,5,0,1,0,0,6,6,8334,0,1398,0,0,9733,9733,84028,0,1129,0,0,85157,85157,2898776
2019-01-13,2019,1,13,port1252,Taichung,Taiwan Province of China,TWN,3,0,0,0,0,3,3,19798,0,0,0,0,19798,19798,15479,0,0,0,0,15479,15479,2898777
2019-01-14,2019,1,14,port1252,Taichung,Taiwan Province of China,TWN,1,3,1,0,2,5,7,16097,73525,497,0,12057,90120,102178,0,2226,0,0,0,2226,2226,2898778
2019-01-15,2019,1,15,port1252,Taichung,Taiwan Province of China,TWN,2,2,0,0,5,4,9,15559,100484,0,0,34187,116044,150231,1604,2916,0,0,24682,4521,29203,2898779
2019-01-16,2019,1,16,port1252,Taichung,Taiwan Province of China,TWN,6,2,2,0,1,10,11,58853,0,6344,0,4149,65197,69347,28896,28568,1129,0,1256,58595,59851,2898780
2019-01-17,2019,1,17,port1252,Taichung,Taiwan Province of China,TWN,3,7,1,0,3,11,14,30030,265113,0,0,0,295143,295143,13688,5078,2410,0,2357,21178,23536,2898781
2019-01-18,2019,1,18,port1252,Taichung,Taiwan Province of China,TWN,4,0,1,0,0,5,5,48081,0,0,0,0,48081,48081,65946,0,2131,0,0,68078,68078,2898782
2019-01-19,2019,1,19,port1252,Taichung,Taiwan Province of China,TWN,8,8,2,0,8,18,26,56011,302524,10403,0,66140,368939,435079,58984,10146,0,0,2618,69130,71748,2898783
2019-01-20,2019,1,20,port1252,Taichung,Taiwan Province of China,TWN,5,3,0,0,1,8,9,12502,54365,0,0,4149,66867,71017,49960,2226,0,0,1256,52186,53442,2898784
2019-01-21,2019,1,21,port1252,Taichung,Taiwan Province of China,TWN,8,0,1,1,1,10,11,41880,0,0,1157,38266,43038,81304,36670,0,3162,0,0,39832,39832,2898785
2019-01-22,2019,1,22,port1252,Taichung,Taiwan Province of China,TWN,4,3,0,0,2,7,9,4167,175126,0,0,48246,179293,227540,23830,0,0,0,0,23830,23830,2898786
2019-01-23,2019,1,23,port1252,Taichung,Taiwan Province of China,TWN,5,1,0,1,0,7,7,24233,40336,0,0,0,64570,64570,16059,0,0,0,0,16059,16059,2898787
2019-01-24,2019,1,24,port1252,Taichung,Taiwan Province of China,TWN,4,1,2,0,1,7,8,16830,0,4285,0,798,21115,21913,6844,35349,3250,0,0,45445,45445,2898788
2019-01-25,2019,1,25,port1252,Taichung,Taiwan Province of China,TWN,7,4,1,0,4,12,16,51139,139168,1398,0,4149,191706,195856,35837,90075,1129,0,1256,127043,128300,2898789
2019-01-26,2019,1,26,port1252,Taichung,Taiwan Province of China,TWN,6,2,2,0,1,10,11,20220,7736,2797,0,1012,30754,31767,33444,625,2259,0,0,36329,36329,2898790
2019-01-27,2019,1,27,port1252,Taichung,Taiwan Province of China,TWN,8,1,0,0,1,9,10,49119,0,0,0,74239,49119,123359,40007,3531,0,0,0,43539,43539,2898791
2019-01-28,2019,1,28,port1252,Taichung,Taiwan Province of China,TWN,8,6,0,0,1,14,15,79152,88544,0,0,40753,167696,208450,24796,2226,0,0,0,27022,27022,2898792
