date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port881,Panjang,Indonesia,IDN,0,1,0,0,2,1,3,0,429,0,0,1923,429,2352,0,3981,0,0,1630,3981,5612,2208735
2019-01-02,2019,1,2,port881,Panjang,Indonesia,IDN,1,0,2,0,2,3,5,0,0,1835,0,417,1835,2253,193,0,5342,0,29875,5536,35411,2208736
2019-01-03,2019,1,3,port881,Panjang,Indonesia,IDN,0,3,1,0,2,4,6,0,3621,957,0,13018,4579,17597,0,75821,2086,0,3321,77907,81229,2208737
2019-01-04,2019,1,4,port881,Panjang,Indonesia,IDN,0,1,0,0,2,1,3,0,0,0,0,18546,0,18546,0,5078,0,0,1630,5078,6709,2208738
2019-01-05,2019,1,5,port881,Panjang,Indonesia,IDN,1,2,0,0,0,3,3,396,4734,0,0,0,5131,5131,2647,78544,0,0,0,81192,81192,2208739
2019-01-06,2019,1,6,port881,Panjang,Indonesia,IDN,0,0,0,0,1,0,1,0,0,0,0,1923,0,1923,0,0,0,0,1630,0,1630,2208740
2019-01-07,2019,1,7,port881,Panjang,Indonesia,IDN,0,1,2,0,1,3,4,0,429,1288,0,3321,1717,5039,0,3981,2086,0,0,6067,6067,2208741
2019-01-08,2019,1,8,port881,Panjang,Indonesia,IDN,0,1,2,0,4,3,7,0,0,1915,0,4794,1915,6710,0,5714,4172,0,9901,9886,19787,2208742
2019-01-09,2019,1,9,port881,Panjang,Indonesia,IDN,2,2,1,0,1,5,6,2049,429,0,0,1923,2478,4401,2647,3981,1815,0,1630,8445,10075,2208743
2019-01-10,2019,1,10,port881,Panjang,Indonesia,IDN,0,2,2,0,3,4,7,0,359,456,0,1363,816,2180,0,78775,2041,0,45410,80816,126226,2208744
2019-01-11,2019,1,11,port881,Panjang,Indonesia,IDN,2,2,0,0,3,4,7,396,13058,0,0,12870,13455,26325,2956,139,0,0,18717,3096,21813,2208745
2019-01-12,2019,1,12,port881,Panjang,Indonesia,IDN,0,1,1,0,3,2,5,0,429,957,0,0,1387,1387,0,3981,2086,0,16279,6067,22347,2208746
2019-01-13,2019,1,13,port881,Panjang,Indonesia,IDN,0,0,1,0,2,1,3,0,0,336,0,0,336,336,0,0,2008,0,42927,2008,44935,2208747
2019-01-14,2019,1,14,port881,Panjang,Indonesia,IDN,0,3,1,0,4,4,8,0,105210,0,0,5769,105210,110980,0,3981,1704,0,4892,5686,10578,2208748
2019-01-15,2019,1,15,port881,Panjang,Indonesia,IDN,0,1,0,0,2,1,3,0,429,0,0,3846,429,4275,0,3981,0,0,3261,3981,7243,2208749
2019-01-16,2019,1,16,port881,Panjang,Indonesia,IDN,2,1,1,0,2,4,6,1341,429,0,0,1202,1770,2972,2936,3981,3170,0,6035,10088,16124,2208750
