date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565829
2019-01-02,2019,1,2,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565831
2019-01-03,2019,1,3,port1295,Thunder Bay,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,12561,0,0,0,12561,12561,2565834
2019-01-04,2019,1,4,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565836
2019-01-05,2019,1,5,port1295,Thunder Bay,Canada,CAN,0,1,0,0,0,1,1,0,62,0,0,0,62,62,0,4755,0,0,0,4755,4755,2565838
2019-01-06,2019,1,6,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565840
2019-01-07,2019,1,7,port1295,Thunder Bay,Canada,CAN,0,1,0,0,0,1,1,0,505,0,0,0,505,505,0,11022,0,0,0,11022,11022,2565842
2019-01-08,2019,1,8,port1295,Thunder Bay,Canada,CAN,0,1,0,0,0,1,1,0,62,0,0,0,62,62,0,4755,0,0,0,4755,4755,2565844
2019-01-09,2019,1,9,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565846
2019-01-10,2019,1,10,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565848
2019-01-11,2019,1,11,port1295,Thunder Bay,Canada,CAN,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4098,0,0,0,4098,4098,2565850
2019-01-12,2019,1,12,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565852
2019-01-13,2019,1,13,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565854
2019-01-14,2019,1,14,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565856
2019-01-15,2019,1,15,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565858
2019-01-16,2019,1,16,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565860
2019-01-17,2019,1,17,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565862
2019-01-18,2019,1,18,port1295,Thunder Bay,Canada,CAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565864
