date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2021-12-06,2021,12,6,port1297,Tianjin Xin Gang,China,CHN,12,11,3,2,7,28,35,85431,577137,1048,2047,13281,665665,678946,504436,172475,18682,0,16446,695594,712040,306001
2021-12-07,2021,12,7,port1297,Tianjin Xin Gang,China,CHN,8,9,5,3,9,25,34,645364,362272,1048,630,70258,1009316,1079574,140895,272913,23792,3927,5483,441528,447012,306002
2021-12-08,2021,12,8,port1297,Tianjin Xin Gang,China,CHN,13,8,5,4,3,30,33,83825,283208,1455,630,6769,369120,375890,357680,175571,3131,1344,534,537727,538261,306003
2021-12-09,2021,12,9,port1297,Tianjin Xin Gang,China,CHN,8,4,4,0,7,16,23,130917,86593,0,0,276567,217511,494078,183018,101908,3499,0,931,288427,289358,306004
2021-12-10,2021,12,10,port1297,Tianjin Xin Gang,China,CHN,14,13,7,1,11,35,46,664237,612595,0,630,128158,1277464,1405622,504801,216168,16975,474,61201,738420,799622,306005
2021-12-11,2021,12,11,port1297,Tianjin Xin Gang,China,CHN,7,11,4,2,7,24,31,50892,369300,3732,0,167192,423926,591118,210196,277022,7220,1967,13077,496407,509484,306006
2021-12-12,2021,12,12,port1297,Tianjin Xin Gang,China,CHN,7,6,1,2,5,16,21,36217,61410,476,1068,198709,99173,297883,300657,231278,1508,0,0,533445,533445,306007
2021-12-13,2021,12,13,port1297,Tianjin Xin Gang,China,CHN,13,13,6,3,9,35,44,268480,612660,4718,3142,19087,889001,908089,321483,307555,19888,474,4990,649400,654391,306008
2021-12-14,2021,12,14,port1297,Tianjin Xin Gang,China,CHN,9,12,4,1,6,26,32,44438,396385,2097,630,55545,443552,499098,209529,251154,32394,474,41586,493553,535139,306009
2021-12-15,2021,12,15,port1297,Tianjin Xin Gang,China,CHN,12,7,6,1,7,26,33,121666,446444,1237,630,150356,569979,720335,328464,71877,19144,474,6422,419960,426383,306010
2021-12-16,2021,12,16,port1297,Tianjin Xin Gang,China,CHN,5,9,2,2,8,18,26,0,288220,6960,1261,118787,296443,415230,120245,180896,0,948,994,302090,303084,306011
2021-12-17,2021,12,17,port1297,Tianjin Xin Gang,China,CHN,11,10,5,2,6,28,34,455979,304132,6091,630,44593,766834,811428,164875,267038,56565,1984,12425,490464,502889,306012
2021-12-18,2021,12,18,port1297,Tianjin Xin Gang,China,CHN,9,13,4,2,8,28,36,90544,663377,0,0,81421,753922,835343,257283,257944,17911,2513,32314,535652,567966,306013
2021-12-19,2021,12,19,port1297,Tianjin Xin Gang,China,CHN,12,8,5,2,4,27,31,155309,175065,4426,1261,33844,336064,369909,374290,190026,8417,948,8119,573683,581802,306014
2021-12-20,2021,12,20,port1297,Tianjin Xin Gang,China,CHN,12,12,3,0,7,27,34,191046,704979,0,0,78825,896025,974851,233407,101073,12428,0,3574,346909,350484,306015
2021-12-21,2021,12,21,port1297,Tianjin Xin Gang,China,CHN,9,12,8,1,6,30,36,97738,472627,6948,630,45048,577945,622994,157672,163617,19496,474,28581,341260,369842,306016
2021-12-22,2021,12,22,port1297,Tianjin Xin Gang,China,CHN,13,10,3,2,7,28,35,99544,287074,5519,1261,292698,393400,686098,185980,354319,4048,948,3889,545296,549186,306017
2021-12-23,2021,12,23,port1297,Tianjin Xin Gang,China,CHN,2,6,1,1,9,10,19,0,212011,0,0,76433,212011,288444,46179,113684,2655,2513,22875,165032,187908,306018
2021-12-24,2021,12,24,port1297,Tianjin Xin Gang,China,CHN,9,16,2,2,2,29,31,146264,620879,0,1068,99414,768212,867626,170195,236369,3377,0,6894,409942,416837,306019
2021-12-25,2021,12,25,port1297,Tianjin Xin Gang,China,CHN,5,11,5,4,7,25,32,281537,589934,12544,2166,50640,886182,936823,42791,151220,14881,909,34708,209801,244509,306020
2021-12-26,2021,12,26,port1297,Tianjin Xin Gang,China,CHN,12,7,0,2,8,21,29,432209,172370,0,0,202412,604579,806992,335857,198419,0,547,11112,534824,545936,306021
2021-12-27,2021,12,27,port1297,Tianjin Xin Gang,China,CHN,5,12,7,2,2,26,28,18108,388668,46387,1684,4269,454848,459118,141012,215647,17094,377,0,374131,374131,306022
2021-12-28,2021,12,28,port1297,Tianjin Xin Gang,China,CHN,9,8,6,1,7,24,31,121107,489726,0,0,411148,610833,1021981,169274,186356,15233,0,40125,370864,410990,306023
2021-12-29,2021,12,29,port1297,Tianjin Xin Gang,China,CHN,11,10,6,0,8,27,35,239858,419350,1493,0,121068,660702,781770,137103,205261,18315,0,560,360679,361240,306024
2021-12-30,2021,12,30,port1297,Tianjin Xin Gang,China,CHN,16,7,1,4,4,28,32,31285,102312,0,2269,92931,135867,228798,465033,85071,2201,1422,10176,553729,563906,306025
2021-12-31,2021,12,31,port1297,Tianjin Xin Gang,China,CHN,9,16,5,1,7,31,38,252703,515788,6734,958,30264,776185,806450,154029,344305,9042,0,16389,507377,523767,306026
2022-01-01,2022,1,1,port1297,Tianjin Xin Gang,China,CHN,12,8,1,3,3,24,27,381492,224895,0,630,418679,607018,1025698,435983,203882,3435,1393,0,644695,644695,306027
2022-01-02,2022,1,2,port1297,Tianjin Xin Gang,China,CHN,6,7,7,0,10,20,30,145869,233199,4480,0,130935,383548,514484,396560,72650,6192,0,22586,475403,497990,306028
2022-01-03,2022,1,3,port1297,Tianjin Xin Gang,China,CHN,8,18,7,1,5,34,39,1013973,501460,1467,560,28031,1517462,1545494,121881,358229,22054,0,249,502165,502415,306029
2022-01-04,2022,1,4,port1297,Tianjin Xin Gang,China,CHN,12,9,6,2,5,29,34,140216,442491,2113,1261,93821,586083,679904,474306,217741,23906,948,6408,716902,723311,306030
2022-01-05,2022,1,5,port1297,Tianjin Xin Gang,China,CHN,6,9,5,0,5,20,25,149894,618627,4212,0,250919,772734,1023654,142278,98212,5122,0,11682,245613,257296,306031
2022-01-06,2022,1,6,port1297,Tianjin Xin Gang,China,CHN,17,4,6,2,6,29,35,1616211,235763,0,1644,119736,1853619,1973355,395374,27318,7673,0,12480,430366,442847,306032
2022-01-07,2022,1,7,port1297,Tianjin Xin Gang,China,CHN,10,9,5,4,5,28,33,191574,362713,1048,630,195677,555967,751645,330827,181099,19211,988,0,532125,532125,306033
2022-01-08,2022,1,8,port1297,Tianjin Xin Gang,China,CHN,7,8,5,2,6,22,28,309910,229375,1048,630,13943,540964,554908,292727,184403,19428,1348,6753,497907,504661,306034
2022-01-09,2022,1,9,port1297,Tianjin Xin Gang,China,CHN,6,9,5,1,4,21,25,41595,287593,1048,630,138157,330868,469026,299588,239590,6122,474,0,545775,545775,306035
2022-01-10,2022,1,10,port1297,Tianjin Xin Gang,China,CHN,15,6,3,2,4,26,30,121594,432655,83,1143,6291,555477,561769,348525,84727,9126,474,6171,442853,449024,306036
2022-01-11,2022,1,11,port1297,Tianjin Xin Gang,China,CHN,8,8,2,3,10,21,31,221066,183125,0,3566,134950,407759,542709,648787,198499,3602,474,25880,851363,877244,306037
2022-01-12,2022,1,12,port1297,Tianjin Xin Gang,China,CHN,9,7,3,0,7,19,26,245099,241132,1048,0,56342,487280,543622,402034,154103,7317,0,16884,563455,580339,306038
2022-01-13,2022,1,13,port1297,Tianjin Xin Gang,China,CHN,5,8,3,0,5,16,21,625219,515950,1150,0,333147,1142319,1475467,308417,124633,623,0,2733,433674,436407,306039
2022-01-14,2022,1,14,port1297,Tianjin Xin Gang,China,CHN,12,15,3,2,2,32,34,124787,319070,2117,630,0,446606,446606,357999,297176,20130,474,7671,675780,683452,306040
2022-01-15,2022,1,15,port1297,Tianjin Xin Gang,China,CHN,9,5,2,2,7,18,25,83191,84657,1048,1068,387125,169966,557092,537975,151316,4721,3384,39396,697397,736794,306041
2022-01-16,2022,1,16,port1297,Tianjin Xin Gang,China,CHN,10,8,4,0,7,22,29,202971,412226,0,0,202991,615197,818188,286875,124133,8339,0,7610,419347,426958,306042
2022-01-17,2022,1,17,port1297,Tianjin Xin Gang,China,CHN,7,8,5,4,4,24,28,1013416,509766,0,904,20235,1524087,1544322,147783,47436,19654,3112,9449,217986,227435,306043
2022-01-18,2022,1,18,port1297,Tianjin Xin Gang,China,CHN,6,6,3,2,10,17,27,0,243053,0,630,42403,243684,286088,308079,228880,7628,474,20559,545063,565622,306044
2022-01-19,2022,1,19,port1297,Tianjin Xin Gang,China,CHN,9,12,4,0,8,25,33,603290,477752,2284,0,292321,1083327,1375649,355730,187421,5115,0,23707,548267,571975,306045
2022-01-20,2022,1,20,port1297,Tianjin Xin Gang,China,CHN,6,12,5,2,6,25,31,227076,373621,3808,0,50038,604505,654544,248081,212099,7713,2949,11151,470843,481994,306046
2022-01-21,2022,1,21,port1297,Tianjin Xin Gang,China,CHN,10,9,5,3,7,27,34,111739,31128,1048,1261,150713,145178,295891,236953,309416,11958,948,6140,559276,565417,306047
2022-01-22,2022,1,22,port1297,Tianjin Xin Gang,China,CHN,6,8,4,2,11,20,31,108418,282670,2942,630,57696,394662,452358,349125,119810,2059,474,17767,471468,489235,306048
