date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-02-18,2020,2,18,port1328,Tubarao,Brazil,BRA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,387740,0,0,0,387740,387740,1638014
2020-02-19,2020,2,19,port1328,Tubarao,Brazil,BRA,0,2,0,0,0,2,2,0,78945,0,0,0,78945,78945,0,17480,0,0,0,17480,17480,1638018
2020-02-20,2020,2,20,port1328,Tubarao,Brazil,BRA,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,112383,0,0,0,112383,112383,1638020
2020-02-21,2020,2,21,port1328,Tubarao,Brazil,BRA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,89218,0,0,0,89218,89218,1638024
2020-02-22,2020,2,22,port1328,Tubarao,Brazil,BRA,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,68727,3970,0,0,72697,72697,1638028
2020-02-23,2020,2,23,port1328,Tubarao,Brazil,BRA,0,2,0,0,0,2,2,0,95511,0,0,0,95511,95511,0,0,0,0,0,0,0,1638032
2020-02-24,2020,2,24,port1328,Tubarao,Brazil,BRA,0,7,0,0,0,7,7,0,136959,0,0,0,136959,136959,0,411477,0,0,0,411477,411477,1638036
2020-02-25,2020,2,25,port1328,Tubarao,Brazil,BRA,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,87260,0,0,0,87260,87260,1638040
2020-02-26,2020,2,26,port1328,Tubarao,Brazil,BRA,0,3,1,0,0,4,4,0,25525,0,0,0,25525,25525,0,450358,7494,0,0,457852,457852,1638044
2020-02-27,2020,2,27,port1328,Tubarao,Brazil,BRA,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,378502,0,0,0,378502,378502,1638048
2020-02-28,2020,2,28,port1328,Tubarao,Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638052
2019-01-14,2019,1,14,port1328,Tubarao,Brazil,BRA,0,2,1,0,0,3,3,0,72386,6613,0,0,79000,79000,0,172204,0,0,0,172204,172204,1638214
2019-01-01,2019,1,1,port1328,Tubarao,Brazil,BRA,0,4,0,0,0,4,4,0,35312,0,0,0,35312,35312,0,272090,0,0,0,272090,272090,1638433
2019-01-02,2019,1,2,port1328,Tubarao,Brazil,BRA,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,307459,0,0,0,307459,307459,1638434
2019-01-03,2019,1,3,port1328,Tubarao,Brazil,BRA,0,5,0,0,0,5,5,0,178110,0,0,0,178110,178110,0,180104,0,0,0,180104,180104,1638435
