date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-06-21,2020,6,21,port1331,Tuticorin,India,IND,1,1,1,0,0,3,3,11596,59396,4457,0,0,75449,75449,0,0,0,0,0,0,0,3230001
2020-06-22,2020,6,22,port1331,Tuticorin,India,IND,2,1,0,0,1,3,4,9158,54298,0,0,14173,63457,77630,365,0,0,0,0,365,365,3230002
2020-06-23,2020,6,23,port1331,Tuticorin,India,IND,1,2,0,0,1,3,4,1855,82487,0,0,9308,84342,93651,0,0,0,0,1227,0,1227,3230003
2020-06-24,2020,6,24,port1331,Tuticorin,India,IND,1,2,1,0,1,4,5,0,111805,7895,0,4186,119700,123886,7153,0,0,0,0,7153,7153,3230004
2020-06-25,2020,6,25,port1331,Tuticorin,India,IND,0,1,1,0,0,2,2,0,1437,0,0,0,1437,1437,0,0,429,0,0,429,429,3230005
2020-06-26,2020,6,26,port1331,Tuticorin,India,IND,1,1,0,0,1,2,3,3484,5462,0,0,18814,8947,27761,1200,0,0,0,0,1200,1200,3230006
2020-06-27,2020,6,27,port1331,Tuticorin,India,IND,1,1,1,0,0,3,3,0,53186,1262,0,0,54449,54449,3627,0,693,0,0,4321,4321,3230007
2020-06-28,2020,6,28,port1331,Tuticorin,India,IND,2,1,0,0,0,3,3,11986,50052,0,0,0,62039,62039,1329,0,0,0,0,1329,1329,3230008
2020-06-29,2020,6,29,port1331,Tuticorin,India,IND,1,2,1,0,0,4,4,5457,31299,1262,0,0,38019,38019,0,56267,693,0,0,56961,56961,3230009
2020-06-30,2020,6,30,port1331,Tuticorin,India,IND,2,1,2,0,1,5,6,6935,0,1262,0,3668,8198,11866,1200,0,915,0,0,2115,2115,3230010
2020-07-01,2020,7,1,port1331,Tuticorin,India,IND,2,2,0,0,1,4,5,9578,77364,0,0,0,86942,86942,0,0,0,0,0,0,0,3230011
2020-07-02,2020,7,2,port1331,Tuticorin,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230012
2020-07-03,2020,7,3,port1331,Tuticorin,India,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3230013
2020-07-04,2020,7,4,port1331,Tuticorin,India,IND,1,1,2,0,1,4,5,0,42826,3492,0,35193,46318,81512,1104,2563,0,0,0,3667,3667,3230014
