date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-02-09,2020,2,9,port1095,Ust-Luga,Russian Federation,RUS,0,1,1,0,7,2,9,0,0,0,0,1317,0,1317,0,72201,7316,0,332083,79518,411601,1702011
2020-02-10,2020,2,10,port1095,Ust-Luga,Russian Federation,RUS,1,3,0,0,1,4,5,0,0,0,0,5675,0,5675,1042,125717,0,0,0,126760,126760,1702014
2020-02-11,2020,2,11,port1095,Ust-Luga,Russian Federation,RUS,0,2,2,0,8,4,12,0,0,0,0,160,0,160,0,105413,2766,0,308163,108180,416343,1702017
2020-02-12,2020,2,12,port1095,Ust-Luga,Russian Federation,RUS,1,1,0,1,4,3,7,6217,0,0,0,0,6217,6217,0,71800,0,0,261576,71800,333377,1702021
2019-01-05,2019,1,5,port1095,Ust-Luga,Russian Federation,RUS,0,2,0,0,2,2,4,0,0,0,0,0,0,0,0,117592,0,0,106622,117592,224214,1702024
2020-02-13,2020,2,13,port1095,Ust-Luga,Russian Federation,RUS,1,3,1,0,5,5,10,0,0,0,0,0,0,0,1617,178933,1130,0,349483,181681,531165,1702026
2019-01-06,2019,1,6,port1095,Ust-Luga,Russian Federation,RUS,1,3,2,1,6,7,13,2590,0,4195,0,680,6786,7467,1375,187145,2465,0,200012,190986,390998,1702029
2020-02-14,2020,2,14,port1095,Ust-Luga,Russian Federation,RUS,0,1,0,0,5,1,6,0,0,0,0,0,0,0,0,75549,0,0,186981,75549,262530,1702031
2019-01-07,2019,1,7,port1095,Ust-Luga,Russian Federation,RUS,1,2,2,0,3,5,8,6017,0,0,0,0,6017,6017,0,114458,2159,0,141936,116618,258554,1702034
2020-02-15,2020,2,15,port1095,Ust-Luga,Russian Federation,RUS,1,2,2,0,3,5,8,3641,0,0,0,0,3641,3641,0,76026,3700,0,111363,79727,191090,1702036
2019-01-08,2019,1,8,port1095,Ust-Luga,Russian Federation,RUS,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,222989,0,222989,1702039
2019-01-09,2019,1,9,port1095,Ust-Luga,Russian Federation,RUS,0,3,3,0,8,6,14,0,0,76,0,0,76,76,0,65784,10309,0,265352,76093,341446,1702432
2019-01-10,2019,1,10,port1095,Ust-Luga,Russian Federation,RUS,0,0,1,0,5,1,6,0,0,0,0,0,0,0,0,0,3227,0,108761,3227,111988,1702435
2019-01-11,2019,1,11,port1095,Ust-Luga,Russian Federation,RUS,1,6,0,1,3,8,11,0,0,0,0,0,0,0,2129,300393,0,0,74260,302523,376783,1702438
2019-01-12,2019,1,12,port1095,Ust-Luga,Russian Federation,RUS,1,1,1,0,2,3,5,0,0,0,0,12973,0,12973,966,72459,2158,0,106202,75584,181787,1702441
2019-01-13,2019,1,13,port1095,Ust-Luga,Russian Federation,RUS,1,1,0,1,1,3,4,7461,0,0,0,0,7461,7461,0,39523,0,0,103400,39523,142924,1702444
2019-01-14,2019,1,14,port1095,Ust-Luga,Russian Federation,RUS,1,2,0,0,3,3,6,1010,0,0,0,348,1010,1359,0,110356,0,0,43425,110356,153782,1702447
2019-01-15,2019,1,15,port1095,Ust-Luga,Russian Federation,RUS,1,0,1,0,5,2,7,0,0,0,0,0,0,0,3213,0,1750,0,121245,4963,126209,1702450
2019-01-16,2019,1,16,port1095,Ust-Luga,Russian Federation,RUS,1,1,2,1,4,5,9,2590,0,0,0,0,2590,2590,1375,82273,17329,0,34065,100979,135044,1702453
2019-01-17,2019,1,17,port1095,Ust-Luga,Russian Federation,RUS,0,2,0,0,8,2,10,0,0,0,0,528,0,528,0,91162,0,0,346639,91162,437801,1702456
2019-01-18,2019,1,18,port1095,Ust-Luga,Russian Federation,RUS,0,4,0,0,6,4,10,0,0,0,0,0,0,0,0,93651,0,0,237545,93651,331196,1702459
2019-01-19,2019,1,19,port1095,Ust-Luga,Russian Federation,RUS,0,1,1,0,2,2,4,0,0,0,0,0,0,0,0,38751,1309,0,168634,40061,208695,1702461
2019-01-20,2019,1,20,port1095,Ust-Luga,Russian Federation,RUS,2,2,0,1,4,5,9,0,0,0,0,93,0,93,14940,148205,0,0,131306,163145,294452,1702464
2019-01-21,2019,1,21,port1095,Ust-Luga,Russian Federation,RUS,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,76943,0,0,105284,76943,182228,1702467
2019-01-22,2019,1,22,port1095,Ust-Luga,Russian Federation,RUS,0,1,2,0,7,3,10,0,0,769,0,0,769,769,0,37345,1884,0,248042,39229,287272,1702470
2019-01-23,2019,1,23,port1095,Ust-Luga,Russian Federation,RUS,0,1,3,1,3,5,8,0,0,0,0,0,0,0,0,3322,9777,0,142542,13099,155642,1702473
2019-01-24,2019,1,24,port1095,Ust-Luga,Russian Federation,RUS,1,1,1,0,8,3,11,2590,0,0,0,0,2590,2590,1375,40594,1476,0,183125,43447,226572,1702476
2019-01-25,2019,1,25,port1095,Ust-Luga,Russian Federation,RUS,0,1,2,0,4,3,7,0,0,0,0,0,0,0,0,6608,2268,0,202021,8876,210898,1702479
2019-01-26,2019,1,26,port1095,Ust-Luga,Russian Federation,RUS,0,5,4,1,3,10,13,0,0,0,0,0,0,0,0,238384,8082,0,238647,246467,485114,1702482
2019-01-27,2019,1,27,port1095,Ust-Luga,Russian Federation,RUS,0,2,0,0,2,2,4,0,0,0,0,0,0,0,0,156531,0,0,0,156531,156531,1702485
2019-01-28,2019,1,28,port1095,Ust-Luga,Russian Federation,RUS,0,0,2,1,5,3,8,0,0,0,0,0,0,0,0,0,3572,0,261355,3572,264928,1702488
2019-01-29,2019,1,29,port1095,Ust-Luga,Russian Federation,RUS,1,1,1,0,4,3,7,0,0,0,0,0,0,0,3141,2766,1780,0,116459,7688,124148,1702491
2019-01-30,2019,1,30,port1095,Ust-Luga,Russian Federation,RUS,1,1,1,0,8,3,11,4380,0,0,0,702,4380,5082,0,72504,2759,0,241962,75263,317225,1702494
2019-01-31,2019,1,31,port1095,Ust-Luga,Russian Federation,RUS,0,1,0,0,3,1,4,0,0,0,0,0,0,0,0,53357,0,0,135180,53357,188537,1702497
2019-01-01,2019,1,1,port1095,Ust-Luga,Russian Federation,RUS,0,2,0,1,5,3,8,0,0,0,0,704,0,704,0,49180,0,0,137589,49180,186770,1702865
2019-01-02,2019,1,2,port1095,Ust-Luga,Russian Federation,RUS,0,1,1,0,6,2,8,0,0,0,0,0,0,0,0,15722,7925,0,257310,23648,280959,1702866
2019-01-03,2019,1,3,port1095,Ust-Luga,Russian Federation,RUS,0,1,2,0,4,3,7,0,0,0,0,0,0,0,0,38764,4168,0,131232,42932,174164,1702867
2019-01-04,2019,1,4,port1095,Ust-Luga,Russian Federation,RUS,0,2,1,0,3,3,6,0,0,0,0,0,0,0,0,107496,978,0,155492,108475,263967,1702868
2020-02-16,2020,2,16,port1095,Ust-Luga,Russian Federation,RUS,0,2,2,0,4,4,8,0,0,0,0,132,0,132,0,84511,4312,0,146709,88824,235533,1702869
2019-02-01,2019,2,1,port1095,Ust-Luga,Russian Federation,RUS,1,3,1,1,6,6,12,4058,0,0,0,132,4058,4191,0,125454,1900,0,158068,127355,285423,1702874
2020-02-17,2020,2,17,port1095,Ust-Luga,Russian Federation,RUS,0,0,0,0,1,0,1,0,0,0,0,1188,0,1188,0,0,0,0,0,0,0,1702876
