date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-12-13,2020,12,13,port1350,Vancouver,Canada,CAN,2,10,0,0,1,12,13,0,5500,0,0,0,5500,5500,127846,466865,0,0,40676,594711,635388,2604001
2020-12-14,2020,12,14,port1350,Vancouver,Canada,CAN,0,2,0,0,2,2,4,0,0,0,0,0,0,0,0,39288,0,0,53793,39288,93081,2604002
2020-12-15,2020,12,15,port1350,Vancouver,Canada,CAN,1,3,0,1,0,5,5,236629,0,0,1196,0,237825,237825,0,148367,0,0,0,148367,148367,2604003
2020-12-16,2020,12,16,port1350,Vancouver,Canada,CAN,2,2,0,0,0,4,4,0,1411,0,0,0,1411,1411,136396,68166,0,0,0,204563,204563,2604004
2020-12-17,2020,12,17,port1350,Vancouver,Canada,CAN,0,4,1,0,0,5,5,0,2823,0,0,0,2823,2823,0,91755,7340,0,0,99095,99095,2604005
2020-12-18,2020,12,18,port1350,Vancouver,Canada,CAN,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,81010,11067,0,0,92078,92078,2604006
2020-12-19,2020,12,19,port1350,Vancouver,Canada,CAN,1,8,0,0,0,9,9,36416,2823,0,0,0,39240,39240,0,241678,0,0,0,241678,241678,2604007
2020-12-20,2020,12,20,port1350,Vancouver,Canada,CAN,2,3,1,0,1,6,7,0,0,455,0,0,455,455,135459,118856,0,0,11512,254316,265828,2604008
2020-12-21,2020,12,21,port1350,Vancouver,Canada,CAN,1,4,0,0,0,5,5,0,3134,0,0,0,3134,3134,87455,206058,0,0,0,293513,293513,2604009
2020-12-22,2020,12,22,port1350,Vancouver,Canada,CAN,0,3,0,0,1,3,4,0,2855,0,0,0,2855,2855,0,95558,0,0,162037,95558,257596,2604010
2020-12-23,2020,12,23,port1350,Vancouver,Canada,CAN,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,273398,0,0,0,273398,273398,2604011
2020-12-24,2020,12,24,port1350,Vancouver,Canada,CAN,1,4,0,1,1,6,7,0,0,0,540,0,540,540,43762,94938,0,527,25998,139227,165226,2604012
2020-12-25,2020,12,25,port1350,Vancouver,Canada,CAN,1,0,0,0,0,1,1,143918,0,0,0,0,143918,143918,25344,0,0,0,0,25344,25344,2604013
2020-12-26,2020,12,26,port1350,Vancouver,Canada,CAN,0,2,0,0,3,2,5,0,2823,0,0,0,2823,2823,0,69654,0,0,67494,69654,137148,2604014
