date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-05-13,2019,5,13,port187,Vanino,Russian Federation,RUS,0,1,3,0,0,4,4,0,0,474,0,0,474,474,0,27960,5966,0,0,33926,33926,1658012
2021-07-21,2021,7,21,port187,Vanino,Russian Federation,RUS,0,1,1,0,0,2,2,0,0,345,0,0,345,345,0,63493,2529,0,0,66022,66022,1658064
2019-01-01,2019,1,1,port187,Vanino,Russian Federation,RUS,0,2,0,0,1,2,3,0,2098,0,0,416,2098,2515,0,43824,0,0,7774,43824,51599,1658272
2019-01-02,2019,1,2,port187,Vanino,Russian Federation,RUS,0,0,1,0,0,1,1,0,0,345,0,0,345,345,0,0,2529,0,0,2529,2529,1658273
2019-01-03,2019,1,3,port187,Vanino,Russian Federation,RUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658274
2019-01-04,2019,1,4,port187,Vanino,Russian Federation,RUS,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,67531,0,0,1764,67531,69296,1658275
2019-01-05,2019,1,5,port187,Vanino,Russian Federation,RUS,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,13896,0,0,13896,13896,1658276
2019-01-06,2019,1,6,port187,Vanino,Russian Federation,RUS,0,4,2,0,1,6,7,0,37083,0,0,416,37083,37499,0,87649,6426,0,7774,94076,101850,1658277
2019-01-07,2019,1,7,port187,Vanino,Russian Federation,RUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,79208,0,0,0,79208,79208,1658278
2019-01-08,2019,1,8,port187,Vanino,Russian Federation,RUS,0,2,0,0,1,2,3,0,2098,0,0,260,2098,2358,0,98604,0,0,5535,98604,104140,1658279
2019-01-09,2019,1,9,port187,Vanino,Russian Federation,RUS,0,3,0,0,1,3,4,0,2098,0,0,0,2098,2098,0,99468,0,0,1944,99468,101412,1658280
2019-01-10,2019,1,10,port187,Vanino,Russian Federation,RUS,0,0,1,0,1,1,2,0,0,0,0,416,0,416,0,0,160,0,7774,160,7935,1658281
2019-01-11,2019,1,11,port187,Vanino,Russian Federation,RUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,54281,3822,0,0,58103,58103,1658282
2019-01-12,2019,1,12,port187,Vanino,Russian Federation,RUS,0,1,1,0,0,2,2,0,0,345,0,0,345,345,0,66435,2529,0,0,68965,68965,1658283
2019-01-13,2019,1,13,port187,Vanino,Russian Federation,RUS,0,2,0,0,1,2,3,0,0,0,0,250,0,250,0,90044,0,0,0,90044,90044,1658284
2019-01-14,2019,1,14,port187,Vanino,Russian Federation,RUS,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3957,0,0,0,0,3957,3957,1658285
2019-01-15,2019,1,15,port187,Vanino,Russian Federation,RUS,0,3,1,0,1,4,5,0,0,345,0,0,345,345,0,73319,2529,0,9424,75848,85273,1658286
2019-01-16,2019,1,16,port187,Vanino,Russian Federation,RUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,143059,0,0,0,143059,143059,1658287
2019-01-17,2019,1,17,port187,Vanino,Russian Federation,RUS,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,64455,0,0,30571,64455,95026,1658288
2019-01-18,2019,1,18,port187,Vanino,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658289
2019-01-19,2019,1,19,port187,Vanino,Russian Federation,RUS,0,3,1,0,2,4,6,0,2098,0,0,676,2098,2775,0,59495,5042,0,13310,64537,77847,1658290
2019-01-20,2019,1,20,port187,Vanino,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658291
2019-01-21,2019,1,21,port187,Vanino,Russian Federation,RUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,9595,2362,0,0,11958,11958,1658292
2019-01-22,2019,1,22,port187,Vanino,Russian Federation,RUS,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,32646,0,32646,1658293
2019-01-23,2019,1,23,port187,Vanino,Russian Federation,RUS,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,40344,4473,0,0,44817,44817,1658294
2019-01-24,2019,1,24,port187,Vanino,Russian Federation,RUS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1604,0,0,1604,1604,1658295
2019-01-25,2019,1,25,port187,Vanino,Russian Federation,RUS,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,228690,0,0,0,228690,228690,1658296
2019-01-26,2019,1,26,port187,Vanino,Russian Federation,RUS,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,25872,6204,0,9624,32076,41701,1658297
2019-01-27,2019,1,27,port187,Vanino,Russian Federation,RUS,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30571,0,30571,1658298
2019-01-28,2019,1,28,port187,Vanino,Russian Federation,RUS,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,50834,3822,0,0,54656,54656,1658299
2019-01-29,2019,1,29,port187,Vanino,Russian Federation,RUS,0,1,0,0,1,1,2,0,0,0,0,4582,0,4582,0,9895,0,0,0,9895,9895,1658300
2019-01-30,2019,1,30,port187,Vanino,Russian Federation,RUS,0,1,3,0,0,4,4,0,0,345,0,0,345,345,0,67228,10571,0,0,77800,77800,1658301
2019-01-31,2019,1,31,port187,Vanino,Russian Federation,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658302
2019-02-01,2019,2,1,port187,Vanino,Russian Federation,RUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,27462,0,0,0,27462,27462,1658303
2019-02-02,2019,2,2,port187,Vanino,Russian Federation,RUS,0,2,0,0,3,2,5,0,0,0,0,520,0,520,0,23466,0,0,41642,23466,65109,1658304
2019-02-03,2019,2,3,port187,Vanino,Russian Federation,RUS,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,165677,0,0,0,165677,165677,1658305
2019-02-04,2019,2,4,port187,Vanino,Russian Federation,RUS,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,115988,0,0,44641,115988,160629,1658306
2019-02-05,2019,2,5,port187,Vanino,Russian Federation,RUS,0,2,1,0,0,3,3,0,4197,0,0,0,4197,4197,0,87649,2365,0,0,90015,90015,1658307
2019-02-06,2019,2,6,port187,Vanino,Russian Federation,RUS,0,0,0,0,1,0,1,0,0,0,0,260,0,260,0,0,0,0,5535,0,5535,1658308
2019-02-07,2019,2,7,port187,Vanino,Russian Federation,RUS,0,2,1,0,0,3,3,0,0,345,0,0,345,345,0,68607,2529,0,0,71136,71136,1658309
2019-02-08,2019,2,8,port187,Vanino,Russian Federation,RUS,0,1,1,0,0,2,2,0,2098,0,0,0,2098,2098,0,43824,0,0,0,43824,43824,1658310
2019-02-09,2019,2,9,port187,Vanino,Russian Federation,RUS,0,1,1,0,2,2,4,0,0,345,0,832,345,1178,0,19446,2529,0,15549,21976,37525,1658311
2019-02-10,2019,2,10,port187,Vanino,Russian Federation,RUS,0,1,0,0,0,1,1,0,2098,0,0,0,2098,2098,0,43824,0,0,0,43824,43824,1658312
2019-02-11,2019,2,11,port187,Vanino,Russian Federation,RUS,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,4073,0,136,4073,4210,1658313
2019-02-12,2019,2,12,port187,Vanino,Russian Federation,RUS,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,79601,0,0,9624,79601,89226,1658314
