"date","portid","portname","country","ISO3","portcalls_container","portcalls_dry_bulk","portcalls_general_cargo","portcalls_roro","portcalls_tanker","portcalls_cargo","portcalls","import_container","import_dry_bulk","import_general_cargo","import_roro","import_tanker","import_cargo","import","export_container","export_dry_bulk","export_general_cargo","export_roro","export_tanker","export_cargo","export"
"2019-01-01","port1367","Visakhapatnam","India","IND","1","2","1","0","2","4","6","0","120697","0","0","70156","120697","190853","7519","0","7895","0","0","15415","15415"
"2019-01-02","port1367","Visakhapatnam","India","IND","1","5","0","0","2","6","8","10132","146379","0","0","7559","156512","164072","0","54984","0","0","5224","54984","60209"
"2019-01-03","port1367","Visakhapatnam","India","IND","0","3","1","0","3","4","7","0","108733","2954","0","0","111688","111688","0","70425","3233","0","0","73659","73659"
"2019-01-04","port1367","Visakhapatnam","India","IND","1","4","1","0","2","6","8","0","138054","2954","0","15255","141009","156265","3495","60091","3233","0","0","66820","66820"
"2019-01-05","port1367","Visakhapatnam","India","IND","1","4","0","0","3","5","8","1653","105094","0","0","3160","106748","109908","4138","103483","0","0","33623","107621","141245"
"2019-01-06","port1367","Visakhapatnam","India","IND","0","2","0","0","2","2","4","0","18807","0","0","40197","18807","59004","0","32856","0","0","4918","32856","37775"
"2019-01-07","port1367","Visakhapatnam","India","IND","1","6","0","0","1","7","8","1653","272745","0","0","12633","274399","287032","4138","39979","0","0","0","44117","44117"
"2019-01-08","port1367","Visakhapatnam","India","IND","1","3","0","0","3","4","7","0","21072","0","0","49629","21072","70701","1498","33220","0","0","0","34719","34719"
"2019-01-09","port1367","Visakhapatnam","India","IND","2","4","0","0","2","6","8","1653","274831","0","0","16004","276485","292490","4881","15701","0","0","0","20582","20582"
"2019-01-10","port1367","Visakhapatnam","India","IND","0","5","2","0","1","7","8","0","342225","2954","0","0","345180","345180","0","42149","11948","0","3690","54097","57788"
"2019-01-11","port1367","Visakhapatnam","India","IND","1","4","1","0","2","6","8","1653","131207","2954","0","63832","135816","199648","4138","61022","3233","0","8426","68393","76819"
"2019-01-12","port1367","Visakhapatnam","India","IND","0","3","0","1","2","4","6","0","104422","0","0","31075","104422","135497","0","54817","0","4670","0","59488","59488"
"2019-01-13","port1367","Visakhapatnam","India","IND","0","3","1","0","1","4","5","0","152284","986","0","15515","153270","168786","0","3459","0","0","0","3459","3459"
"2019-01-14","port1367","Visakhapatnam","India","IND","1","2","1","0","2","4","6","1653","104533","0","0","30530","106186","136717","4138","15701","17519","0","388","37358","37747"
"2019-01-15","port1367","Visakhapatnam","India","IND","1","1","0","0","4","2","6","1653","55096","0","0","39623","56749","96372","4138","0","0","0","4530","4138","8668"
"2019-01-16","port1367","Visakhapatnam","India","IND","1","4","0","0","0","5","5","6740","100711","0","0","0","107452","107452","0","16537","0","0","0","16537","16537"
"2019-01-17","port1367","Visakhapatnam","India","IND","0","3","0","0","1","3","4","0","86756","0","0","0","86756","86756","0","17747","0","0","0","17747","17747"
"2019-01-18","port1367","Visakhapatnam","India","IND","0","1","0","0","1","1","2","0","0","0","0","0","0","0","0","47059","0","0","0","47059","47059"
"2019-01-19","port1367","Visakhapatnam","India","IND","0","2","0","0","0","2","2","0","114976","0","0","0","114976","114976","0","15701","0","0","0","15701","15701"
"2019-01-20","port1367","Visakhapatnam","India","IND","1","1","0","0","0","2","2","6597","160302","0","0","0","166899","166899","0","0","0","0","0","0","0"
"2019-01-21","port1367","Visakhapatnam","India","IND","1","4","0","0","0","5","5","0","155247","0","0","0","155247","155247","6156","47104","0","0","0","53260","53260"
"2019-01-22","port1367","Visakhapatnam","India","IND","1","5","0","0","0","6","6","1653","162890","0","0","0","164543","164543","4138","59106","0","0","0","63244","63244"
"2019-01-23","port1367","Visakhapatnam","India","IND","0","2","1","0","0","3","3","0","68639","4802","0","0","73441","73441","0","31402","0","0","0","31402","31402"
"2019-01-24","port1367","Visakhapatnam","India","IND","0","1","0","0","0","1","1","0","34319","0","0","0","34319","34319","0","15701","0","0","0","15701","15701"
"2019-01-25","port1367","Visakhapatnam","India","IND","0","1","1","0","2","2","4","0","51498","2954","0","30530","54453","84983","0","0","3233","0","388","3233","3622"
"2019-01-26","port1367","Visakhapatnam","India","IND","0","5","0","0","0","5","5","0","254508","0","0","0","254508","254508","0","30858","0","0","0","30858","30858"
"2019-01-27","port1367","Visakhapatnam","India","IND","1","1","0","0","1","2","3","0","34319","0","0","9666","34319","43986","17424","15701","0","0","4530","33125","37655"
"2019-01-28","port1367","Visakhapatnam","India","IND","0","3","1","0","1","4","5","0","141757","13918","0","0","155675","155675","0","15701","0","0","2642","15701","18344"
"2019-01-29","port1367","Visakhapatnam","India","IND","1","1","2","0","0","4","4","1653","34319","9769","0","0","45743","45743","4138","15701","3233","0","0","23073","23073"
"2019-01-30","port1367","Visakhapatnam","India","IND","1","1","0","0","0","2","2","1653","35907","0","0","0","37560","37560","4138","0","0","0","0","4138","4138"
"2019-01-31","port1367","Visakhapatnam","India","IND","1","4","0","1","1","6","7","1653","168244","0","2674","0","172572","172572","4138","0","0","0","0","4138","4138"
"2019-02-01","port1367","Visakhapatnam","India","IND","0","2","0","0","0","2","2","0","195434","0","0","0","195434","195434","0","15701","0","0","0","15701","15701"
"2019-02-02","port1367","Visakhapatnam","India","IND","1","2","1","0","1","4","5","0","87759","2954","0","0","90714","90714","502","15701","3233","0","41732","19437","61170"
"2019-02-03","port1367","Visakhapatnam","India","IND","0","2","0","0","1","2","3","0","55089","0","0","9666","55089","64756","0","86577","0","0","4530","86577","91107"
"2019-02-04","port1367","Visakhapatnam","India","IND","0","0","1","0","1","1","2","0","0","2954","0","51292","2954","54247","0","0","3233","0","0","3233","3233"
"2019-02-05","port1367","Visakhapatnam","India","IND","0","3","0","0","0","3","3","0","166629","0","0","0","166629","166629","0","15701","0","0","0","15701","15701"
"2019-02-06","port1367","Visakhapatnam","India","IND","1","3","0","0","0","4","4","4331","1647","0","0","0","5978","5978","0","45422","0","0","0","45422","45422"
"2019-02-07","port1367","Visakhapatnam","India","IND","0","2","0","0","0","2","2","0","46413","0","0","0","46413","46413","0","0","0","0","0","0","0"
"2019-02-08","port1367","Visakhapatnam","India","IND","0","1","0","0","0","1","1","0","79147","0","0","0","79147","79147","0","0","0","0","0","0","0"
"2019-02-09","port1367","Visakhapatnam","India","IND","0","2","0","0","0","2","2","0","34319","0","0","0","34319","34319","0","61933","0","0","0","61933","61933"
"2019-02-10","port1367","Visakhapatnam","India","IND","0","2","1","0","0","3","3","0","25276","7707","0","0","32983","32983","0","2464","0","0","0","2464","2464"
"2019-02-11","port1367","Visakhapatnam","India","IND","1","4","0","0","2","5","7","0","175831","0","0","19333","175831","195164","5204","47104","0","0","9060","52308","61368"
"2019-02-12","port1367","Visakhapatnam","India","IND","1","3","0","0","0","4","4","1653","97509","0","0","0","99162","99162","4138","49993","0","0","0","54131","54131"
"2019-02-13","port1367","Visakhapatnam","India","IND","1","2","0","0","0","3","3","0","109389","0","0","0","109389","109389","10999","15701","0","0","0","26700","26700"
"2019-02-14","port1367","Visakhapatnam","India","IND","0","3","0","0","1","3","4","0","73062","0","0","0","73062","73062","0","13802","0","0","4903","13802","18705"
"2019-02-15","port1367","Visakhapatnam","India","IND","1","1","0","0","0","2","2","0","79668","0","0","0","79668","79668","5493","0","0","0","0","5493","5493"
"2019-02-16","port1367","Visakhapatnam","India","IND","0","3","1","0","0","4","4","0","103230","2954","0","0","106185","106185","0","31402","3233","0","0","34636","34636"
"2019-02-17","port1367","Visakhapatnam","India","IND","0","1","0","0","0","1","1","0","78948","0","0","0","78948","78948","0","0","0","0","0","0","0"
"2019-02-18","port1367","Visakhapatnam","India","IND","0","0","2","0","0","2","2","0","0","0","0","0","0","0","0","0","5499","0","0","5499","5499"
"2019-02-19","port1367","Visakhapatnam","India","IND","2","4","0","0","1","6","7","0","128068","0","0","9666","128068","137735","27966","70453","0","0","4530","98420","102950"
"2019-02-20","port1367","Visakhapatnam","India","IND","0","2","1","0","1","3","4","0","97205","3368","0","0","100573","100573","0","0","0","0","0","0","0"
"2019-02-21","port1367","Visakhapatnam","India","IND","0","5","2","0","4","7","11","0","216771","2599","0","19038","219370","238408","0","77531","0","0","0","77531","77531"
