date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2020-06-17,2020,6,17,port1374,Vostochnyy,Russian Federation,RUS,1,3,1,0,0,5,5,472,0,0,0,0,472,472,0,126870,1845,0,0,128715,128715,414001
2020-06-18,2020,6,18,port1374,Vostochnyy,Russian Federation,RUS,3,1,0,0,1,4,5,1780,0,0,0,0,1780,1780,5641,33791,0,0,0,39432,39432,414002
2020-06-19,2020,6,19,port1374,Vostochnyy,Russian Federation,RUS,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,92300,0,0,0,92300,92300,414003
2020-06-20,2020,6,20,port1374,Vostochnyy,Russian Federation,RUS,0,1,1,0,2,2,4,0,0,1225,0,0,1225,1225,0,39528,0,0,0,39528,39528,414004
2020-06-21,2020,6,21,port1374,Vostochnyy,Russian Federation,RUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,39832,0,0,0,39832,39832,414005
2020-06-22,2020,6,22,port1374,Vostochnyy,Russian Federation,RUS,3,4,0,0,0,7,7,4455,0,0,0,0,4455,4455,1828,109875,0,0,0,111704,111704,414006
2020-06-23,2020,6,23,port1374,Vostochnyy,Russian Federation,RUS,1,2,0,0,2,3,5,0,0,0,0,0,0,0,4722,22650,0,0,0,27373,27373,414007
2020-06-24,2020,6,24,port1374,Vostochnyy,Russian Federation,RUS,2,5,0,0,2,7,9,853,0,0,0,6450,853,7303,1152,218949,0,0,0,220102,220102,414008
2020-06-25,2020,6,25,port1374,Vostochnyy,Russian Federation,RUS,1,3,0,0,1,4,5,2359,0,0,0,0,2359,2359,0,89491,0,0,0,89491,89491,414009
2021-07-22,2021,7,22,port1374,Vostochnyy,Russian Federation,RUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,65385,0,0,0,65385,65385,414011
2020-06-26,2020,6,26,port1374,Vostochnyy,Russian Federation,RUS,1,2,1,0,2,4,6,0,0,0,0,0,0,0,1003,116975,1977,0,36461,119956,156417,414013
2020-06-27,2020,6,27,port1374,Vostochnyy,Russian Federation,RUS,1,3,0,0,1,4,5,0,437,0,0,0,437,437,249,56835,0,0,0,57084,57084,414014
2020-06-28,2020,6,28,port1374,Vostochnyy,Russian Federation,RUS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,52753,0,0,0,52753,52753,414015
2020-06-29,2020,6,29,port1374,Vostochnyy,Russian Federation,RUS,4,1,1,0,1,6,7,7401,0,0,0,8781,7401,16182,1972,56488,12035,0,0,70496,70496,414016
2020-06-30,2020,6,30,port1374,Vostochnyy,Russian Federation,RUS,0,2,0,0,1,2,3,0,0,0,0,677,0,677,0,62129,0,0,3404,62129,65534,414017
2020-07-01,2020,7,1,port1374,Vostochnyy,Russian Federation,RUS,2,3,0,0,0,5,5,2023,0,0,0,0,2023,2023,1428,141170,0,0,0,142599,142599,414018
2020-07-02,2020,7,2,port1374,Vostochnyy,Russian Federation,RUS,1,0,0,0,0,1,1,1678,0,0,0,0,1678,1678,0,0,0,0,0,0,0,414019
2020-07-03,2020,7,3,port1374,Vostochnyy,Russian Federation,RUS,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,153286,0,0,0,153286,153286,414020
2020-07-04,2020,7,4,port1374,Vostochnyy,Russian Federation,RUS,0,2,0,0,2,2,4,0,0,0,0,0,0,0,0,81169,0,0,0,81169,81169,414021
2020-07-05,2020,7,5,port1374,Vostochnyy,Russian Federation,RUS,2,7,1,0,1,10,11,2815,875,740,0,677,4432,5109,1428,210281,0,0,3404,211710,215115,414022
2020-07-06,2020,7,6,port1374,Vostochnyy,Russian Federation,RUS,1,0,0,0,0,1,1,4180,0,0,0,0,4180,4180,0,0,0,0,0,0,0,414023
2020-07-07,2020,7,7,port1374,Vostochnyy,Russian Federation,RUS,0,4,0,0,1,4,5,0,437,0,0,677,437,1115,0,127291,0,0,3404,127291,130695,414024
