date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-11-18,2019,11,18,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314001
2019-11-19,2019,11,19,port1385,Weifang Port,China,CHN,1,1,2,0,1,4,5,274,4034,722,0,469,5031,5500,1273,0,2334,0,0,3607,3607,314003
2019-11-20,2019,11,20,port1385,Weifang Port,China,CHN,0,2,1,0,1,3,4,0,21586,0,0,2566,21586,24153,0,0,5534,0,0,5534,5534,314005
2019-11-21,2019,11,21,port1385,Weifang Port,China,CHN,1,2,0,0,0,3,3,0,30255,0,0,0,30255,30255,2127,0,0,0,0,2127,2127,314007
2019-11-22,2019,11,22,port1385,Weifang Port,China,CHN,0,0,1,0,0,1,1,0,0,2484,0,0,2484,2484,0,0,0,0,0,0,0,314009
2022-01-26,2022,1,26,port1385,Weifang Port,China,CHN,1,3,1,0,1,5,6,1291,30662,0,0,0,31954,31954,445,696,79,0,10146,1221,11367,314011
2019-11-23,2019,11,23,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314012
2022-01-27,2022,1,27,port1385,Weifang Port,China,CHN,0,1,0,0,2,1,3,0,0,0,0,4551,0,4551,0,837,0,0,4129,837,4967,314015
2019-11-24,2019,11,24,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314016
2020-12-22,2020,12,22,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2646,0,2646,314018
2022-01-28,2022,1,28,port1385,Weifang Port,China,CHN,0,1,1,0,1,2,3,0,22677,0,0,0,22677,22677,0,0,1193,0,7670,1193,8863,314020
2019-11-25,2019,11,25,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314021
2020-12-23,2020,12,23,port1385,Weifang Port,China,CHN,0,1,2,0,0,3,3,0,1899,722,0,0,2622,2622,0,0,4780,0,0,4780,4780,314023
2022-01-29,2022,1,29,port1385,Weifang Port,China,CHN,1,1,1,0,1,3,4,0,14401,1170,0,0,15572,15572,426,0,0,0,1663,426,2089,314025
2019-11-26,2019,11,26,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314026
2020-12-24,2020,12,24,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314028
2022-01-30,2022,1,30,port1385,Weifang Port,China,CHN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,446,0,0,0,0,446,446,314030
2022-01-31,2022,1,31,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314031
2022-02-01,2022,2,1,port1385,Weifang Port,China,CHN,1,2,1,0,1,4,5,274,0,4452,0,30772,4727,35499,1273,5064,0,0,0,6337,6337,314032
2022-02-02,2022,2,2,port1385,Weifang Port,China,CHN,0,1,3,0,0,4,4,0,12123,5560,0,0,17684,17684,0,0,8880,0,0,8880,8880,314033
2022-02-03,2022,2,3,port1385,Weifang Port,China,CHN,1,1,0,0,1,2,3,0,12468,0,0,29733,12468,42201,1373,0,0,0,0,1373,1373,314034
2022-02-04,2022,2,4,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314035
2022-02-05,2022,2,5,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314036
2022-02-06,2022,2,6,port1385,Weifang Port,China,CHN,0,0,2,0,1,2,3,0,0,722,0,4642,722,5364,0,0,2708,0,0,2708,2708,314037
2022-02-07,2022,2,7,port1385,Weifang Port,China,CHN,1,1,0,0,1,2,3,414,13263,0,0,584,13677,14262,0,0,0,0,0,0,0,314038
2022-02-08,2022,2,8,port1385,Weifang Port,China,CHN,0,3,1,0,2,4,6,0,15076,722,0,1504,15798,17303,0,24974,1763,0,10509,26737,37246,314039
2022-02-09,2022,2,9,port1385,Weifang Port,China,CHN,0,1,1,0,3,2,5,0,39977,0,0,6912,39977,46890,0,0,3137,0,9948,3137,13086,314040
2022-02-10,2022,2,10,port1385,Weifang Port,China,CHN,0,1,0,0,2,1,3,0,0,0,0,27847,0,27847,0,20197,0,0,4212,20197,24410,314041
2022-02-11,2022,2,11,port1385,Weifang Port,China,CHN,1,0,2,0,0,3,3,0,0,0,0,0,0,0,1063,0,2233,0,0,3297,3297,314042
2022-02-12,2022,2,12,port1385,Weifang Port,China,CHN,0,0,1,0,0,1,1,0,0,722,0,0,722,722,0,0,1763,0,0,1763,1763,314043
2022-02-13,2022,2,13,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314044
2022-02-14,2022,2,14,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,30772,0,30772,0,0,0,0,0,0,0,314045
2022-02-15,2022,2,15,port1385,Weifang Port,China,CHN,0,1,3,0,3,4,7,0,0,0,0,3569,0,3569,0,2709,10466,0,17125,13175,30301,314046
2022-02-16,2022,2,16,port1385,Weifang Port,China,CHN,1,1,0,0,0,2,2,831,22256,0,0,0,23088,23088,0,0,0,0,0,0,0,314047
2022-02-17,2022,2,17,port1385,Weifang Port,China,CHN,1,1,2,1,2,5,7,274,0,0,0,35140,274,35414,1273,8107,2629,1791,10600,13803,24403,314048
2022-02-18,2022,2,18,port1385,Weifang Port,China,CHN,1,0,3,0,0,4,4,1291,0,7668,0,0,8959,8959,445,0,3526,0,0,3971,3971,314049
2022-02-19,2022,2,19,port1385,Weifang Port,China,CHN,0,1,0,0,0,1,1,0,9809,0,0,0,9809,9809,0,3785,0,0,0,3785,3785,314050
2022-02-20,2022,2,20,port1385,Weifang Port,China,CHN,1,1,4,0,2,6,8,0,14661,722,0,30792,15383,46175,1676,0,4692,0,10614,6369,16983,314051
2022-02-21,2022,2,21,port1385,Weifang Port,China,CHN,0,1,2,1,2,4,6,0,13836,1265,1791,16738,16894,33632,0,0,1763,0,0,1763,1763,314052
2022-02-22,2022,2,22,port1385,Weifang Port,China,CHN,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,2691,0,0,5074,2691,7766,314053
2022-02-23,2022,2,23,port1385,Weifang Port,China,CHN,0,0,2,0,2,2,4,0,0,0,0,754,0,754,0,0,4682,0,4629,4682,9312,314054
2022-02-24,2022,2,24,port1385,Weifang Port,China,CHN,2,2,2,1,1,7,8,0,26327,0,1791,0,28119,28119,3363,8107,8242,0,3851,19713,23564,314055
2022-02-25,2022,2,25,port1385,Weifang Port,China,CHN,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1193,0,0,1193,1193,314056
2022-02-26,2022,2,26,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7670,0,7670,314057
2022-02-27,2022,2,27,port1385,Weifang Port,China,CHN,1,1,3,0,0,5,5,0,0,8065,0,0,8065,8065,1909,2772,1824,0,0,6505,6505,314058
2022-02-28,2022,2,28,port1385,Weifang Port,China,CHN,0,2,0,0,0,2,2,0,23636,0,0,0,23636,23636,0,3785,0,0,0,3785,3785,314059
2022-03-01,2022,3,1,port1385,Weifang Port,China,CHN,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,963,10936,963,11900,314060
2022-03-02,2022,3,2,port1385,Weifang Port,China,CHN,0,1,0,0,1,1,2,0,11540,0,0,30418,11540,41959,0,0,0,0,0,0,0,314061
2022-03-03,2022,3,3,port1385,Weifang Port,China,CHN,1,1,2,0,0,4,4,146,0,0,0,0,146,146,0,8107,2468,0,0,10575,10575,314062
2022-03-04,2022,3,4,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314063
2022-03-05,2022,3,5,port1385,Weifang Port,China,CHN,2,1,3,0,3,6,9,274,11907,1406,0,815,13588,14403,3010,0,3501,0,10981,6511,17493,314064
2022-03-06,2022,3,6,port1385,Weifang Port,China,CHN,0,1,0,1,2,2,4,0,17261,0,612,29876,17873,47749,0,0,0,440,1180,440,1621,314065
2022-03-07,2022,3,7,port1385,Weifang Port,China,CHN,0,1,1,0,0,2,2,0,0,10130,0,0,10130,10130,0,25015,0,0,0,25015,25015,314066
2022-03-08,2022,3,8,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,4211,0,4211,0,0,0,0,0,0,0,314067
2022-03-09,2022,3,9,port1385,Weifang Port,China,CHN,0,0,1,0,2,1,3,0,0,0,0,35472,0,35472,0,0,10130,0,6091,10130,16221,314068
2022-03-10,2022,3,10,port1385,Weifang Port,China,CHN,2,0,1,1,0,4,4,1291,0,0,612,0,1903,1903,2608,0,2499,440,0,5549,5549,314069
2022-03-11,2022,3,11,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314070
2022-03-12,2022,3,12,port1385,Weifang Port,China,CHN,0,1,1,0,1,2,3,0,0,0,0,878,0,878,0,4759,1703,0,0,6463,6463,314071
2022-03-13,2022,3,13,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314072
2022-03-14,2022,3,14,port1385,Weifang Port,China,CHN,1,0,2,1,1,4,5,0,0,703,612,2841,1316,4157,639,0,5679,440,473,6759,7232,314073
2022-03-15,2022,3,15,port1385,Weifang Port,China,CHN,1,0,0,0,1,1,2,274,0,0,0,0,274,274,1273,0,0,0,1041,1273,2315,314074
2022-03-16,2022,3,16,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314075
2022-03-17,2022,3,17,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3145,0,3145,314076
2022-03-18,2022,3,18,port1385,Weifang Port,China,CHN,0,3,0,0,0,3,3,0,46063,0,0,0,46063,46063,0,8107,0,0,0,8107,8107,314077
2022-03-19,2022,3,19,port1385,Weifang Port,China,CHN,1,0,0,0,1,1,2,0,0,0,0,0,0,0,917,0,0,0,10384,917,11302,314078
2022-03-20,2022,3,20,port1385,Weifang Port,China,CHN,1,2,2,0,1,5,6,0,15544,722,0,34656,16266,50923,1459,9365,4331,0,0,15157,15157,314079
2022-03-21,2022,3,21,port1385,Weifang Port,China,CHN,1,0,1,1,1,3,4,1291,0,543,1791,0,3626,3626,445,0,0,0,22129,445,22574,314080
2022-03-22,2022,3,22,port1385,Weifang Port,China,CHN,0,2,0,0,1,2,3,0,14333,0,0,3932,14333,18266,0,0,0,0,0,0,0,314081
2022-03-23,2022,3,23,port1385,Weifang Port,China,CHN,1,0,1,0,1,2,3,274,0,0,0,3074,274,3349,1273,0,1548,0,0,2822,2822,314082
2022-03-24,2022,3,24,port1385,Weifang Port,China,CHN,0,1,2,0,0,3,3,0,11540,2387,0,0,13927,13927,0,0,1763,0,0,1763,1763,314083
2022-03-25,2022,3,25,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12133,0,12133,314084
2022-03-26,2022,3,26,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6145,0,6145,314085
2022-03-27,2022,3,27,port1385,Weifang Port,China,CHN,2,1,2,0,0,5,5,0,7422,7355,0,0,14777,14777,1417,0,1468,0,0,2886,2886,314086
2022-03-28,2022,3,28,port1385,Weifang Port,China,CHN,1,0,3,0,0,4,4,1291,0,8094,0,0,9385,9385,445,0,1237,0,0,1682,1682,314087
2022-03-29,2022,3,29,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314088
2022-03-30,2022,3,30,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,1975,0,1975,0,0,0,0,0,0,0,314089
2022-03-31,2022,3,31,port1385,Weifang Port,China,CHN,1,2,3,0,2,6,8,274,33300,722,0,35472,34297,69769,1273,0,4771,0,0,6045,6045,314090
2022-04-01,2022,4,1,port1385,Weifang Port,China,CHN,0,2,0,0,1,2,3,0,37902,0,0,0,37902,37902,0,0,0,0,10496,0,10496,314091
2022-04-02,2022,4,2,port1385,Weifang Port,China,CHN,1,1,0,0,2,2,4,0,26300,0,0,5039,26300,31340,1254,0,0,0,15330,1254,16584,314092
2022-04-03,2022,4,3,port1385,Weifang Port,China,CHN,1,1,1,0,1,3,4,0,20986,722,0,815,21708,22524,0,0,1763,0,6091,1763,7854,314093
2022-04-04,2022,4,4,port1385,Weifang Port,China,CHN,0,0,1,0,1,1,2,0,0,0,0,30405,0,30405,0,0,1193,0,0,1193,1193,314094
2022-04-05,2022,4,5,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314095
2022-04-06,2022,4,6,port1385,Weifang Port,China,CHN,0,2,0,0,0,2,2,0,39805,0,0,0,39805,39805,0,0,0,0,0,0,0,314096
2022-04-07,2022,4,7,port1385,Weifang Port,China,CHN,1,1,3,0,1,5,6,0,0,722,0,4616,722,5338,1001,0,6274,0,0,7276,7276,314097
2022-04-08,2022,4,8,port1385,Weifang Port,China,CHN,0,0,2,1,1,3,4,0,0,0,0,0,0,0,0,0,5380,1791,4384,7172,11556,314098
2022-04-09,2022,4,9,port1385,Weifang Port,China,CHN,0,3,3,0,2,6,8,0,24147,9147,0,36316,33295,69612,0,2601,1548,0,0,4150,4150,314099
2022-04-10,2022,4,10,port1385,Weifang Port,China,CHN,0,1,0,0,1,1,2,0,9809,0,0,31245,9809,41055,0,3785,0,0,0,3785,3785,314100
2022-04-11,2022,4,11,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314101
2022-04-12,2022,4,12,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314102
2022-04-13,2022,4,13,port1385,Weifang Port,China,CHN,2,4,1,0,1,7,8,274,69987,0,0,0,70262,70262,1822,4946,1211,0,21243,7980,29223,314103
2022-04-14,2022,4,14,port1385,Weifang Port,China,CHN,1,2,3,0,2,6,8,1291,35179,0,0,5414,36470,41885,445,0,4161,0,6091,4606,10697,314104
2022-04-15,2022,4,15,port1385,Weifang Port,China,CHN,1,1,1,0,1,3,4,0,2187,722,0,0,2909,2909,1307,0,1763,0,2674,3070,5744,314105
2022-04-16,2022,4,16,port1385,Weifang Port,China,CHN,1,0,1,0,2,2,4,2934,0,0,0,34521,2934,37456,0,0,1250,0,0,1250,1250,314106
2022-04-17,2022,4,17,port1385,Weifang Port,China,CHN,1,2,3,0,1,6,7,0,61263,10766,0,0,72030,72030,1468,0,2755,0,10879,4223,15103,314107
2022-04-18,2022,4,18,port1385,Weifang Port,China,CHN,0,1,1,0,1,2,3,0,13256,835,0,7451,14092,21544,0,0,0,0,2722,0,2722,314108
2022-04-19,2022,4,19,port1385,Weifang Port,China,CHN,0,1,1,0,2,2,4,0,18304,722,0,10836,19026,29863,0,0,1763,0,0,1763,1763,314109
2022-04-20,2022,4,20,port1385,Weifang Port,China,CHN,1,0,1,0,1,2,3,831,0,0,0,0,831,831,0,0,1881,0,6464,1881,8345,314110
2022-04-21,2022,4,21,port1385,Weifang Port,China,CHN,1,0,0,0,0,1,1,274,0,0,0,0,274,274,1273,0,0,0,0,1273,1273,314111
2022-04-22,2022,4,22,port1385,Weifang Port,China,CHN,0,1,1,0,0,2,2,0,12148,14740,0,0,26889,26889,0,0,0,0,0,0,0,314112
2022-04-23,2022,4,23,port1385,Weifang Port,China,CHN,0,0,2,1,1,3,4,0,0,0,612,4642,612,5254,0,0,2234,440,0,2675,2675,314113
2022-04-24,2022,4,24,port1385,Weifang Port,China,CHN,0,4,0,0,1,4,5,0,44585,0,0,0,44585,44585,0,21909,0,0,11215,21909,33124,314114
2022-04-25,2022,4,25,port1385,Weifang Port,China,CHN,0,2,2,0,2,4,6,0,35092,0,0,0,35092,35092,0,0,1255,0,0,1255,1255,314115
2022-04-26,2022,4,26,port1385,Weifang Port,China,CHN,1,2,1,0,1,4,5,0,21332,0,0,0,21332,21332,1057,1431,2368,0,5074,4857,9932,314116
2022-04-27,2022,4,27,port1385,Weifang Port,China,CHN,0,0,1,0,0,1,1,0,0,2110,0,0,2110,2110,0,0,0,0,0,0,0,314117
2022-04-28,2022,4,28,port1385,Weifang Port,China,CHN,1,0,0,0,1,1,2,274,0,0,0,0,274,274,1273,0,0,0,6542,1273,7816,314118
2022-04-29,2022,4,29,port1385,Weifang Port,China,CHN,1,2,5,1,3,9,12,0,61426,722,612,5091,62761,67853,1736,0,6494,440,9866,8671,18538,314119
2022-04-30,2022,4,30,port1385,Weifang Port,China,CHN,0,1,1,0,1,2,3,0,12025,0,0,34426,12025,46451,0,0,1023,0,0,1023,1023,314120
2022-05-01,2022,5,1,port1385,Weifang Port,China,CHN,1,1,2,0,0,4,4,0,26405,0,0,0,26405,26405,840,0,1881,0,0,2721,2721,314121
2022-05-02,2022,5,2,port1385,Weifang Port,China,CHN,1,1,1,0,3,3,6,1291,12985,0,0,38337,14276,52614,445,0,1250,0,0,1695,1695,314122
2022-05-03,2022,5,3,port1385,Weifang Port,China,CHN,1,1,0,0,0,2,2,274,0,0,0,0,274,274,1273,26195,0,0,0,27469,27469,314123
2022-05-04,2022,5,4,port1385,Weifang Port,China,CHN,0,1,1,1,1,3,4,0,0,722,612,2841,1334,4175,0,4946,1763,440,473,7150,7624,314124
2022-05-05,2022,5,5,port1385,Weifang Port,China,CHN,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,275,0,275,314125
2022-05-06,2022,5,6,port1385,Weifang Port,China,CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314126
2022-05-07,2022,5,7,port1385,Weifang Port,China,CHN,0,0,2,0,2,2,4,0,0,722,0,5242,722,5965,0,0,1937,0,0,1937,1937,314127
2022-05-08,2022,5,8,port1385,Weifang Port,China,CHN,2,2,1,0,2,5,7,5946,62739,722,0,0,69408,69408,445,0,1763,0,15220,2208,17428,314128
2022-05-09,2022,5,9,port1385,Weifang Port,China,CHN,2,1,1,1,2,5,7,0,13256,0,612,31458,13868,45327,787,0,0,440,0,1228,1228,314129
2022-05-10,2022,5,10,port1385,Weifang Port,China,CHN,0,0,3,0,2,3,5,0,0,5801,0,4474,5801,10276,0,0,4773,0,0,4773,4773,314130
2022-05-11,2022,5,11,port1385,Weifang Port,China,CHN,0,2,0,0,2,2,4,0,6629,0,0,3745,6629,10374,0,2624,0,0,10223,2624,12847,314131
2022-05-12,2022,5,12,port1385,Weifang Port,China,CHN,1,1,0,0,0,2,2,0,3474,0,0,0,3474,3474,1874,0,0,0,0,1874,1874,314132
2022-05-13,2022,5,13,port1385,Weifang Port,China,CHN,0,1,2,0,2,3,5,0,0,0,0,4211,0,4211,0,22688,1861,0,6210,24550,30761,314133
